,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.3454098991814231,0.4168851924136529,0,25.7,PAL,Deepspeech,0.618298819313248,0.007011627856750592
1,0.4584848628642642,0.24831189384411004,1,25.7,PAL,Deepspeech,0.5270138264209386,0.0012414227534573387
2,0.40153859987543256,0.4619491090390733,2,25.7,PAL,Deepspeech,0.5270138264209386,0.003153979765892755
3,0.4689140263720293,0.3391732777652962,3,25.7,PAL,Deepspeech,0.5270138264209386,0.001679459403368363
4,0.2446496167463945,0.4812946965948157,4,25.7,PAL,Deepspeech,0.47474893354928505,0.00016473146099889148
5,0.41071848098096175,0.29648662199741443,5,25.7,PAL,Deepspeech,0.46899792945657937,0.008211731639652393
6,0.3197883959849919,0.4881797509748427,6,25.7,PAL,Deepspeech,0.46899792945657937,0.00640640226256051
7,0.4174576543168256,0.29923524038819993,7,25.7,PAL,Deepspeech,0.46899792945657937,0.0016029529795445275
8,0.2301805922161565,0.5127067760020705,8,25.7,PAL,Deepspeech,0.4619472718451345,0.008715623174062251
9,0.4744486298901877,0.1917290517343316,9,25.7,PAL,Deepspeech,0.43221008164963337,0.008830061221400735
10,0.4234093887439603,0.4122819239649265,10,25.7,PAL,Deepspeech,0.43221008164963337,0.0021678730273076165
11,0.2621830066128938,0.5055806542728418,11,25.7,PAL,Deepspeech,0.43221008164963337,0.009250447386131554
12,0.4810700766284113,0.2531070264176614,12,25.7,PAL,Deepspeech,0.43221008164963337,0.005827426203171331
13,0.20921471285566529,0.4725483715089742,13,25.7,PAL,Deepspeech,0.41968925931257206,0.004927707047393446
14,0.35475688954549833,0.3625013030022656,14,25.7,PAL,Deepspeech,0.41664585031266055,0.0027624922970090004
15,0.470023517497413,0.18490868698692825,15,25.7,PAL,Deepspeech,0.4127808319586087,0.002105090609036534
16,0.3773849027359108,0.14570936658351613,16,25.7,PAL,Deepspeech,0.3763936839512412,0.001454669434548933
17,0.23539658583556836,0.3799877709820897,17,25.7,PAL,Deepspeech,0.36586590575941647,0.008503804320018134
18,0.2575687375622239,0.2816523879260452,18,25.7,PAL,Deepspeech,0.3544794212888569,0.0034360974821600544
