,Energy,Error,Method,Architecture
0,0.319375496282448,0.197772034201778,PAL,Deepspeech
1,0.307753104995806,0.225334032290959,PAL,Deepspeech
2,0.252172748845724,0.235287567149381,PAL,Deepspeech
3,0.241972448415469,0.242781149281081,PAL,Deepspeech
4,0.21470453440903,0.321498057334697,PAL,Deepspeech
5,0.177585255846992,0.323381734699652,PAL,Deepspeech
6,0.138092572783247,0.330189524459672,PAL,Deepspeech
7,0.124919226302836,0.331555457831165,PAL,Deepspeech
8,0.340013689575767,0.211069319582115,PESMO,Deepspeech
9,0.3160458424407,0.211389074564622,PESMO,Deepspeech
10,0.313533565060744,0.217697383273497,PESMO,Deepspeech
11,0.281353729483754,0.223579322870187,PESMO,Deepspeech
12,0.258943553851891,0.234765293501199,PESMO,Deepspeech
13,0.218145854721758,0.24560758559114,PESMO,Deepspeech
14,0.183484587211583,0.286558146910346,PESMO,Deepspeech
15,0.106965235360442,0.292264386237008,PESMO,Deepspeech
16,0.37697275744399,0.304517501829759,ParEGO,Deepspeech
17,0.28501072716595,0.304517501829759,ParEGO,Deepspeech
18,0.261297897678939,0.304517501829759,ParEGO,Deepspeech
19,0.239993949170606,0.304517501829759,ParEGO,Deepspeech
20,0.230825147242471,0.304517501829759,ParEGO,Deepspeech
21,0.210513221262914,0.304517501829759,ParEGO,Deepspeech
22,0.206173143425187,0.304517501829759,ParEGO,Deepspeech
23,0.20513191498037,0.304517501829759,ParEGO,Deepspeech
24,0.170691794903524,0.304517501829759,ParEGO,Deepspeech
25,0.159449918184913,0.307577504969279,ParEGO,Deepspeech
26,0.156130376314522,0.311976581365732,ParEGO,Deepspeech
27,0.151040178866569,0.320521761722997,ParEGO,Deepspeech
28,0.150971091594667,0.328271531316008,ParEGO,Deepspeech
29,0.140660982653265,0.336466598222777,ParEGO,Deepspeech
30,0.271813871032526,0.236139669395063,SMSEGO,Deepspeech
31,0.264231762097471,0.239724000337182,SMSEGO,Deepspeech
32,0.252133270129224,0.244389221513883,SMSEGO,Deepspeech
33,0.242835351689951,0.251014119105261,SMSEGO,Deepspeech
