,Error,Energy,Iteration,Cost,Method,Architecture
0,0.17919353439274502,0.301598170565055,36,18.1,PAL,BERT-IMDB
1,0.18154044314175602,0.23150135520634196,166,18.1,PAL,BERT-IMDB
2,0.20745687702248,0.223490816669061,89,18.1,PAL,BERT-IMDB
3,0.22243898506787,0.21138967731133604,88,18.1,PAL,BERT-IMDB
4,0.224616477543052,0.20820024882771698,72,18.1,PAL,BERT-IMDB
5,0.22648183090263502,0.19537731535642397,158,18.1,PAL,BERT-IMDB
6,0.22728616482085,0.152308744981725,33,18.1,PAL,BERT-IMDB
7,0.237990144018889,0.13836782850935198,90,18.1,PAL,BERT-IMDB
8,0.243671512762715,0.12004026330911699,126,18.1,PAL,BERT-IMDB
9,0.25121923655489603,0.111953376037181,133,18.1,PAL,BERT-IMDB
10,0.282319691941825,0.102864081534157,91,18.1,PAL,BERT-IMDB
11,0.32649259925535196,0.091684591101343,22,18.1,PAL,BERT-IMDB
12,0.38709123735328327,0.33586133861194706,92,18.1,PAL,BERT-IMDB
13,0.35456816778848993,0.9766544857675797,68,18.1,PAL,BERT-IMDB
14,0.4028153144793999,0.3230846877963066,120,18.1,PAL,BERT-IMDB
15,0.5196226878359815,0.9670275909529772,117,18.1,PAL,BERT-IMDB
16,0.2972619205685306,0.4832309178911431,31,18.1,PAL,BERT-IMDB
17,0.28813720429852524,0.9914083208351694,129,18.1,PAL,BERT-IMDB
18,0.31409879463811563,0.902248632092077,118,18.1,PAL,BERT-IMDB
19,0.4983666743174627,0.2599747142825628,80,18.1,PAL,BERT-IMDB
20,0.49815150796929664,0.8210652808611745,110,18.1,PAL,BERT-IMDB
21,0.2613665440659655,0.21177827030604685,94,18.1,PAL,BERT-IMDB
22,0.24594752699156447,0.5944256257466282,104,18.1,PAL,BERT-IMDB
23,0.5188678530134005,0.2556440348753042,7,18.1,PAL,BERT-IMDB
24,0.5419024662145717,0.4751803509073983,183,18.1,PAL,BERT-IMDB
25,0.39068066334391993,0.35839918296851475,55,18.1,PAL,BERT-IMDB
26,0.46426747788938694,0.21529322227343384,86,18.1,PAL,BERT-IMDB
27,0.4498144230631707,0.5816499019129566,188,18.1,PAL,BERT-IMDB
