,Error,Energy,Iteration,Cost,Method,Architecture
0,0.22159898972599398,0.43103672987435,136,18.1,PAL,BERT-IMDB
1,0.23996563501841697,0.32957223084429405,133,18.1,PAL,BERT-IMDB
2,0.24256617671340697,0.312926194637101,117,18.1,PAL,BERT-IMDB
3,0.24686086160278,0.229259622691635,79,18.1,PAL,BERT-IMDB
4,0.255357073147771,0.210009988426902,50,18.1,PAL,BERT-IMDB
5,0.261156668504433,0.205450375763505,88,18.1,PAL,BERT-IMDB
6,0.263773025055212,0.171738644698005,102,18.1,PAL,BERT-IMDB
7,0.28736757117960604,0.153194526170097,84,18.1,PAL,BERT-IMDB
8,0.303750221208977,0.141987372994471,63,18.1,PAL,BERT-IMDB
9,0.309442915315589,0.135323177788611,69,18.1,PAL,BERT-IMDB
10,0.32066428642196004,0.12781000376637802,52,18.1,PAL,BERT-IMDB
11,0.344563564107268,0.11469746599382101,73,18.1,PAL,BERT-IMDB
12,0.35132282572949103,0.10192102026298,54,18.1,PAL,BERT-IMDB
13,0.36078749360204,0.092989880759158,129,18.1,PAL,BERT-IMDB
14,0.381048421578982,0.091205151191647,120,18.1,PAL,BERT-IMDB
15,0.3876679781164671,0.08913132985654902,131,18.1,PAL,BERT-IMDB
16,0.39174810069219795,0.08743351345842701,99,18.1,PAL,BERT-IMDB
17,0.397309172343607,0.084993556261093,115,18.1,PAL,BERT-IMDB
18,0.40137364765317796,0.081015164032665,59,18.1,PAL,BERT-IMDB
19,0.42508816415438705,0.080522915470259,50,18.1,PAL,BERT-IMDB
20,0.42761467469676895,0.078203571277294,135,18.1,PAL,BERT-IMDB
21,0.5029337113852168,0.281122471627298,21,18.1,PAL,BERT-IMDB
22,0.3805710026101431,0.26765321211603416,22,18.1,PAL,BERT-IMDB
23,0.48046410678360807,0.4206781327773458,23,18.1,PAL,BERT-IMDB
24,0.42806456295330886,0.5486665344069891,24,18.1,PAL,BERT-IMDB
25,0.2629032012167249,0.44444114814576174,25,18.1,PAL,BERT-IMDB
