,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.32309092750786345,0.5818041467126938,0,18.1,PAL,BERT-IMDB,0.7169194328312319,0.008045434672477422
1,0.4439633670562643,0.4795986360040639,1,18.1,PAL,BERT-IMDB,0.6600894247885105,0.005998593356620006
2,0.5242618436968558,0.18475302861235146,2,18.1,PAL,BERT-IMDB,0.5198201191338965,0.006190649176520196
3,0.34165670225753697,0.5987142931069913,4,18.1,PAL,BERT-IMDB,0.5198201191338965,0.0032859322124606538
4,0.3332345604912565,0.1846108109726961,5,18.1,PAL,BERT-IMDB,0.4520846437566084,0.0020374709343217866
5,0.3729510213710469,0.403696971836488,6,18.1,PAL,BERT-IMDB,0.4520846437566085,0.00813744484955597
6,0.45015430045129023,0.4088479575825511,7,18.1,PAL,BERT-IMDB,0.4520846437566084,0.000990908353613369
7,0.34265120781258146,0.3798658745582186,8,18.1,PAL,BERT-IMDB,0.4520846437566084,0.0015404774801347566
8,0.30843880606528684,0.2435368359050341,9,18.1,PAL,BERT-IMDB,0.43756959415834107,0.0013802910926480883
9,0.5005740678434455,0.25773182493086183,10,18.1,PAL,BERT-IMDB,0.43756959415834107,0.004123582608338612
10,0.3080760294603186,0.17569883802457964,11,18.1,PAL,BERT-IMDB,0.42964626708549414,0.00873396415039064
11,0.43034942028006623,0.593307032104442,12,18.1,PAL,BERT-IMDB,0.42964626708549414,0.004455043059896321
12,0.4770114870739424,0.22288055524195244,14,18.1,PAL,BERT-IMDB,0.42964626708549414,0.007388131435478518
13,0.5526469106715794,0.4147228464868737,15,18.1,PAL,BERT-IMDB,0.42964626708549414,0.007669731024188966
14,0.4309594305260026,0.5716485135222273,16,18.1,PAL,BERT-IMDB,0.42964626708549414,0.00036606125883592024
15,0.29149781894421484,0.3257799025397992,17,18.1,PAL,BERT-IMDB,0.4184689043756109,0.005140127407491466
16,0.5321140719244076,0.2226011099818389,18,18.1,PAL,BERT-IMDB,0.4184689043756109,0.007683214507416914
17,0.3627244917853693,0.3939965533317729,19,18.1,PAL,BERT-IMDB,0.4184689043756109,0.0018553279927480415
18,0.2673189712913621,0.5799007974170984,20,18.1,PAL,BERT-IMDB,0.4083113897572741,0.006503854313753549
19,0.5510409466381612,0.4113055588396883,21,18.1,PAL,BERT-IMDB,0.4083113897572741,0.009550195483738269
20,0.4893882071505126,0.585831839101631,22,18.1,PAL,BERT-IMDB,0.4083113897572741,0.003597151435271242
21,0.5218691815044653,0.34063749939740423,23,18.1,PAL,BERT-IMDB,0.4083113897572741,0.009964315854759044
22,0.5021557734678747,0.4294172238639323,24,18.1,PAL,BERT-IMDB,0.4083113897572741,0.005848797223698022
23,0.4132690560797699,0.29462594927397673,25,18.1,PAL,BERT-IMDB,0.4083113897572741,0.003224384894385385
24,0.5203078960603498,0.321156753068122,26,18.1,PAL,BERT-IMDB,0.4083113897572741,0.001909484655521142
25,0.4541101204334512,0.4071952070837335,27,18.1,PAL,BERT-IMDB,0.4083113897572741,0.00630815300827263
26,0.5358180449254303,0.4771180743455459,28,18.1,PAL,BERT-IMDB,0.4083113897572741,0.008024088132623104
27,0.4410011719411507,0.16011132610093187,29,18.1,PAL,BERT-IMDB,0.39959798885960174,0.003064806601189295
28,0.4065884498278901,0.14372678738633862,30,18.1,PAL,BERT-IMDB,0.3893388056258542,0.002663527495832855
29,0.4416624528611919,0.3002529062782661,31,18.1,PAL,BERT-IMDB,0.3893388056258542,0.0032196852266525243
30,0.5217718836792417,0.32772392359852504,32,18.1,PAL,BERT-IMDB,0.3893388056258542,0.0062229303347958835
31,0.2627060772932572,0.5543151130192286,33,18.1,PAL,BERT-IMDB,0.38666427612050436,0.003445934374660451
32,0.4994845570295234,0.313793564616833,34,18.1,PAL,BERT-IMDB,0.38666427612050436,0.002336908072417354
33,0.4815107401090901,0.5304451512058651,35,18.1,PAL,BERT-IMDB,0.38666427612050436,0.002441504075401284
34,0.4502255993112537,0.08701558866045367,36,18.1,PAL,BERT-IMDB,0.35548591082864056,0.0035682464940253312
35,0.3752474415586675,0.5135315813508133,37,18.1,PAL,BERT-IMDB,0.35548591082864056,0.000652982661323318
36,0.3865540394720667,0.2304431518147201,38,18.1,PAL,BERT-IMDB,0.35548591082864056,0.00920386631191855
37,0.5307039292124209,0.2558589232468686,39,18.1,PAL,BERT-IMDB,0.35548591082864056,0.006058568435375564
38,0.4745899265035718,0.38820658070659664,40,18.1,PAL,BERT-IMDB,0.35548591082864056,0.005043472360330121
39,0.4722823060344728,0.4516888817354943,41,18.1,PAL,BERT-IMDB,0.35548591082864056,0.003922924957170787
40,0.33801267154274073,0.24175733124006196,42,18.1,PAL,BERT-IMDB,0.35548591082864056,0.009738674043055328
41,0.2675533505794214,0.4686716806271112,43,18.1,PAL,BERT-IMDB,0.3534352243710752,0.004471854771979937
42,0.4957659151655967,0.35120984716557363,44,18.1,PAL,BERT-IMDB,0.3534352243710752,0.0040448235211249985
