,Energy,Error,Method,Architecture
61,0.32159817056505496,0.19053277775985103,Log-FlexiBO+GP,BERT-IMDB
62,0.24150135520634197,0.19124388047995702,Log-FlexiBO+GP,BERT-IMDB
63,0.233490816669061,0.19377032681347198,Log-FlexiBO+GP,BERT-IMDB
64,0.22138967731133602,0.197330847992905,Log-FlexiBO+GP,BERT-IMDB
65,0.20820024882771698,0.19854902630683802,Log-FlexiBO+GP,BERT-IMDB
66,0.18537731535642396,0.21043587482060297,Log-FlexiBO+GP,BERT-IMDB
67,0.162308744981725,0.22519143518472198,Log-FlexiBO+GP,BERT-IMDB
68,0.158367828509352,0.22546697169074104,Log-FlexiBO+GP,BERT-IMDB
69,0.130040263309117,0.22828784748813302,Log-FlexiBO+GP,BERT-IMDB
70,0.111953376037181,0.25998520126846203,Log-FlexiBO+GP,BERT-IMDB
71,0.102864081534157,0.281113495426448,Log-FlexiBO+GP,BERT-IMDB
72,0.39168459110134296,0.202760567896023,Log-FlexiBO+RF,BERT-IMDB
73,0.28219684501196196,0.20349694072704502,Log-FlexiBO+RF,BERT-IMDB
74,0.26095622032654997,0.20563853336698498,Log-FlexiBO+RF,BERT-IMDB
75,0.24744175247776698,0.207243909058928,Log-FlexiBO+RF,BERT-IMDB
76,0.221692832392188,0.23814920945689802,Log-FlexiBO+RF,BERT-IMDB
77,0.171157576131949,0.26027307564514,Log-FlexiBO+RF,BERT-IMDB
78,0.14945685822589402,0.270562990792431,Log-FlexiBO+RF,BERT-IMDB
79,0.14187984926837602,0.278458448464359,Log-FlexiBO+RF,BERT-IMDB
80,0.13422383683330802,0.283072270740288,Log-FlexiBO+RF,BERT-IMDB
81,0.249981957422392,0.21257427875627302,Ratio-FlexiBO+GP,BERT-IMDB
82,0.227060160711175,0.221025086091296,Ratio-FlexiBO+GP,BERT-IMDB
83,0.19531089150884803,0.22521217943698302,Ratio-FlexiBO+GP,BERT-IMDB
84,0.18247969463413802,0.23960902244349397,Ratio-FlexiBO+GP,BERT-IMDB
85,0.16712844722725198,0.25727468021977107,Ratio-FlexiBO+GP,BERT-IMDB
86,0.123796791307696,0.25910716599900196,Ratio-FlexiBO+GP,BERT-IMDB
87,0.349981957422392,0.21257427875627302,Ratio-FlexiBO+RF,BERT-IMDB
88,0.327060160711175,0.221025086091296,Ratio-FlexiBO+RF,BERT-IMDB
89,0.29531089150884804,0.22521217943698302,Ratio-FlexiBO+RF,BERT-IMDB
90,0.282479694634138,0.23960902244349397,Ratio-FlexiBO+RF,BERT-IMDB
91,0.22572684531232504,0.240244031677754,Ratio-FlexiBO+RF,BERT-IMDB
92,0.20288910917479197,0.257310995713028,Ratio-FlexiBO+RF,BERT-IMDB
93,0.191054890621535,0.27596241379700104,Ratio-FlexiBO+RF,BERT-IMDB
94,0.17222091517902602,0.282726629261584,Ratio-FlexiBO+RF,BERT-IMDB
95,0.16119840364416801,0.284540975479513,Ratio-FlexiBO+RF,BERT-IMDB
96,0.15094914292817702,0.290055325183345,Ratio-FlexiBO+RF,BERT-IMDB
97,0.143142856638326,0.29687534286512396,Ratio-FlexiBO+RF,BERT-IMDB
98,0.130947983818569,0.304676040039922,Ratio-FlexiBO+RF,BERT-IMDB
99,0.318749085534591,0.151988590026838,FlexiBO+GP-No Cost,BERT-IMDB
100,0.271619940728899,0.155870596181486,FlexiBO+GP-No Cost,BERT-IMDB
101,0.229478885228758,0.172461735952344,FlexiBO+GP-No Cost,BERT-IMDB
102,0.21520404281545003,0.172930248709465,FlexiBO+GP-No Cost,BERT-IMDB
103,0.19180676836272303,0.175861619155762,FlexiBO+GP-No Cost,BERT-IMDB
104,0.18137975694441102,0.180419674709515,FlexiBO+GP-No Cost,BERT-IMDB
105,0.17172855415083,0.18254319661145102,FlexiBO+GP-No Cost,BERT-IMDB
106,0.16904218794595902,0.190888021091495,FlexiBO+GP-No Cost,BERT-IMDB
107,0.16075117821476298,0.19405174408813602,FlexiBO+GP-No Cost,BERT-IMDB
108,0.16010713777157598,0.195051487732145,FlexiBO+GP-No Cost,BERT-IMDB
109,0.159992075035691,0.19737523193287695,FlexiBO+GP-No Cost,BERT-IMDB
110,0.153831442544715,0.20478749726550002,FlexiBO+GP-No Cost,BERT-IMDB
111,0.150804326694918,0.211890888776057,FlexiBO+GP-No Cost,BERT-IMDB
112,0.14855939326994502,0.21360825618285897,FlexiBO+GP-No Cost,BERT-IMDB
113,0.139920893125304,0.217828253049066,FlexiBO+GP-No Cost,BERT-IMDB
114,0.12801817591611,0.21862744827433803,FlexiBO+GP-No Cost,BERT-IMDB
115,0.295664787634456,0.195024710262533,FlexiBO+RF-No Cost,BERT-IMDB
116,0.28455704388597397,0.199096909197672,FlexiBO+RF-No Cost,BERT-IMDB
117,0.26308079654042105,0.203059522557318,FlexiBO+RF-No Cost,BERT-IMDB
118,0.24282979420617398,0.211380290648642,FlexiBO+RF-No Cost,BERT-IMDB
119,0.23224140963305898,0.21200843558233398,FlexiBO+RF-No Cost,BERT-IMDB
120,0.22366290995158397,0.21415523521216298,FlexiBO+RF-No Cost,BERT-IMDB
121,0.212439445155853,0.21923573290919895,FlexiBO+RF-No Cost,BERT-IMDB
122,0.216135189859077,0.22048916796658602,FlexiBO+RF-No Cost,BERT-IMDB
123,0.20943948151268,0.237161809439082,FlexiBO+RF-No Cost,BERT-IMDB
124,0.197255391592105,0.25234925686218,FlexiBO+RF-No Cost,BERT-IMDB
125,0.18411088722555202,0.25462957742560505,FlexiBO+RF-No Cost,BERT-IMDB
126,0.180563187482358,0.258237072109715,FlexiBO+RF-No Cost,BERT-IMDB
127,0.173399628147943,0.267174031550658,FlexiBO+RF-No Cost,BERT-IMDB
128,0.16112407092622197,0.27051795345326,FlexiBO+RF-No Cost,BERT-IMDB
129,0.151959989728981,0.271043619984638,FlexiBO+RF-No Cost,BERT-IMDB
130,0.146594638279498,0.27809510522893,FlexiBO+RF-No Cost,BERT-IMDB
131,0.13254157011869197,0.28103263312903004,FlexiBO+RF-No Cost,BERT-IMDB
