,Energy,Error,Method,Architecture
0,0.301598170565055,0.179193534392745,PESMO,BERT-IMDB
1,0.231501355206342,0.181540443141756,PESMO,BERT-IMDB
2,0.223490816669061,0.20745687702248,PESMO,BERT-IMDB
3,0.211389677311336,0.22243898506787,PESMO,BERT-IMDB
4,0.208200248827717,0.224616477543052,PESMO,BERT-IMDB
5,0.195377315356424,0.226481830902635,PESMO,BERT-IMDB
6,0.152308744981725,0.22728616482085,PESMO,BERT-IMDB
7,0.138367828509352,0.237990144018889,PESMO,BERT-IMDB
8,0.120040263309117,0.243671512762715,PESMO,BERT-IMDB
9,0.111953376037181,0.251219236554896,PESMO,BERT-IMDB
10,0.102864081534157,0.282319691941825,PESMO,BERT-IMDB
11,0.091684591101343,0.326492599255352,PESMO,BERT-IMDB
12,0.43103672987435,0.221598989725994,PAL,BERT-IMDB
13,0.329572230844294,0.239965635018417,PAL,BERT-IMDB
14,0.312926194637101,0.242566176713407,PAL,BERT-IMDB
15,0.229259622691635,0.24686086160278,PAL,BERT-IMDB
16,0.210009988426902,0.255357073147771,PAL,BERT-IMDB
17,0.205450375763505,0.261156668504433,PAL,BERT-IMDB
18,0.171738644698005,0.263773025055212,PAL,BERT-IMDB
19,0.153194526170097,0.287367571179606,PAL,BERT-IMDB
20,0.141987372994471,0.303750221208977,PAL,BERT-IMDB
21,0.135323177788611,0.309442915315589,PAL,BERT-IMDB
22,0.127810003766378,0.32066428642196,PAL,BERT-IMDB
23,0.114697465993821,0.344563564107268,PAL,BERT-IMDB
24,0.10192102026298,0.351322825729491,PAL,BERT-IMDB
25,0.092989880759158,0.36078749360204,PAL,BERT-IMDB
26,0.091205151191647,0.381048421578982,PAL,BERT-IMDB
27,0.089131329856549,0.387667978116467,PAL,BERT-IMDB
28,0.087433513458427,0.391748100692198,PAL,BERT-IMDB
29,0.084993556261093,0.397309172343607,PAL,BERT-IMDB
30,0.081015164032665,0.401373647653178,PAL,BERT-IMDB
31,0.080522915470259,0.425088164154387,PAL,BERT-IMDB
32,0.078203571277294,0.427614674696769,PAL,BERT-IMDB
33,0.49805076454377,0.231223303590499,ParEGO,BERT-IMDB
34,0.441015557854795,0.285893811842406,ParEGO,BERT-IMDB
35,0.405958491657568,0.285893811842406,ParEGO,BERT-IMDB
36,0.328378106441942,0.285893811842406,ParEGO,BERT-IMDB
37,0.318378106441942,0.285893811842406,ParEGO,BERT-IMDB
38,0.308378106441942,0.285893811842406,ParEGO,BERT-IMDB
39,0.298378106441942,0.285893811842406,ParEGO,BERT-IMDB
40,0.298378106441942,0.291793144748181,ParEGO,BERT-IMDB
41,0.278378106441942,0.292205168381753,ParEGO,BERT-IMDB
42,0.245168097026943,0.293760024370026,ParEGO,BERT-IMDB
43,0.245168097026943,0.315289378611017,ParEGO,BERT-IMDB
44,0.245168097026943,0.329538128652099,ParEGO,BERT-IMDB
45,0.245168097026943,0.3307564796446,ParEGO,BERT-IMDB
46,0.414465741906101,0.234259547683573,SMSEGO,BERT-IMDB
47,0.351762134750444,0.235227829847889,SMSEGO,BERT-IMDB
48,0.321134651983919,0.239541477924645,SMSEGO,BERT-IMDB
49,0.3172773330743,0.240731999129754,SMSEGO,BERT-IMDB
50,0.312875028956187,0.242282885962622,SMSEGO,BERT-IMDB
51,0.281021817285561,0.248700721242665,SMSEGO,BERT-IMDB
52,0.241467521794101,0.261004227301767,SMSEGO,BERT-IMDB
53,0.210574109616832,0.267460402932371,SMSEGO,BERT-IMDB
54,0.201289323526441,0.26829058161108,SMSEGO,BERT-IMDB
55,0.190045930782955,0.271435128967653,SMSEGO,BERT-IMDB
56,0.189944257134973,0.271543405698687,SMSEGO,BERT-IMDB
57,0.171561114015013,0.277157670506217,SMSEGO,BERT-IMDB
58,0.161096954410654,0.290469069201253,SMSEGO,BERT-IMDB
59,0.150646327384576,0.295377913971086,SMSEGO,BERT-IMDB
60,0.14573060271673,0.302830761542326,SMSEGO,BERT-IMDB
61,0.321598170565055,0.190532777759851,Log-FlexiBO+GP,BERT-IMDB
62,0.241501355206342,0.191243880479957,Log-FlexiBO+GP,BERT-IMDB
63,0.233490816669061,0.193770326813472,Log-FlexiBO+GP,BERT-IMDB
64,0.221389677311336,0.197330847992905,Log-FlexiBO+GP,BERT-IMDB
65,0.208200248827717,0.198549026306838,Log-FlexiBO+GP,BERT-IMDB
66,0.185377315356424,0.210435874820603,Log-FlexiBO+GP,BERT-IMDB
67,0.162308744981725,0.225191435184722,Log-FlexiBO+GP,BERT-IMDB
68,0.158367828509352,0.225466971690741,Log-FlexiBO+GP,BERT-IMDB
