,Error,Energy,Method,Architecture
1,0.179193534392745,0.301598170565055,PAL,BERT-IMDB
10,0.181540443141756,0.231501355206342,PAL,BERT-IMDB
8,0.20745687702248,0.223490816669061,PAL,BERT-IMDB
9,0.22243898506787,0.211389677311336,PAL,BERT-IMDB
7,0.224616477543052,0.208200248827717,PAL,BERT-IMDB
11,0.226481830902635,0.195377315356424,PAL,BERT-IMDB
3,0.22728616482085,0.152308744981725,PAL,BERT-IMDB
2,0.237990144018889,0.138367828509352,PAL,BERT-IMDB
5,0.243671512762715,0.120040263309117,PAL,BERT-IMDB
0,0.251219236554896,0.111953376037181,PAL,BERT-IMDB
6,0.282319691941825,0.102864081534157,PAL,BERT-IMDB
4,0.326492599255352,0.091684591101343,PAL,BERT-IMDB
17,0.221598989725994,0.43103672987435,PESMO,BERT-IMDB
11,0.239965635018417,0.329572230844294,PESMO,BERT-IMDB
16,0.242566176713407,0.312926194637101,PESMO,BERT-IMDB
4,0.24686086160278,0.229259622691635,PESMO,BERT-IMDB
9,0.255357073147771,0.210009988426902,PESMO,BERT-IMDB
5,0.261156668504433,0.205450375763505,PESMO,BERT-IMDB
1,0.263773025055212,0.171738644698005,PESMO,BERT-IMDB
13,0.287367571179606,0.153194526170097,PESMO,BERT-IMDB
7,0.303750221208977,0.141987372994471,PESMO,BERT-IMDB
20,0.309442915315589,0.135323177788611,PESMO,BERT-IMDB
12,0.32066428642196,0.127810003766378,PESMO,BERT-IMDB
3,0.344563564107268,0.114697465993821,PESMO,BERT-IMDB
18,0.351322825729491,0.10192102026298,PESMO,BERT-IMDB
0,0.36078749360204,0.092989880759158,PESMO,BERT-IMDB
6,0.381048421578982,0.091205151191647,PESMO,BERT-IMDB
19,0.387667978116467,0.089131329856549,PESMO,BERT-IMDB
15,0.391748100692198,0.087433513458427,PESMO,BERT-IMDB
10,0.397309172343607,0.084993556261093,PESMO,BERT-IMDB
8,0.401373647653178,0.081015164032665,PESMO,BERT-IMDB
14,0.425088164154387,0.080522915470259,PESMO,BERT-IMDB
2,0.427614674696769,0.078203571277294,PESMO,BERT-IMDB
11,0.231223303590499,0.39805076454377,ParEGO,BERT-IMDB
15,0.240168265939191,0.341015557854795,ParEGO,BERT-IMDB
7,0.242939313043247,0.305958491657568,ParEGO,BERT-IMDB
6,0.264939591185683,0.283781064419423,ParEGO,BERT-IMDB
3,0.268206626201321,0.255253444390507,ParEGO,BERT-IMDB
14,0.274422560865259,0.189540106583421,ParEGO,BERT-IMDB
5,0.285893811842406,0.164522882382538,ParEGO,BERT-IMDB
16,0.291793144748181,0.163620568860534,ParEGO,BERT-IMDB
1,0.292205168381753,0.157397149119208,ParEGO,BERT-IMDB
9,0.293760024370026,0.151680970269431,ParEGO,BERT-IMDB
13,0.315289378611017,0.148059627829576,ParEGO,BERT-IMDB
10,0.329538128652099,0.141522417709307,ParEGO,BERT-IMDB
12,0.3307564796446,0.135850003490899,ParEGO,BERT-IMDB
3,0.234259547683573,0.414465741906101,SMSEGO,BERT-IMDB
21,0.235227829847889,0.351762134750444,SMSEGO,BERT-IMDB
18,0.239541477924645,0.321134651983919,SMSEGO,BERT-IMDB
11,0.240731999129754,0.3172773330743,SMSEGO,BERT-IMDB
1,0.242282885962622,0.312875028956187,SMSEGO,BERT-IMDB
12,0.248700721242665,0.281021817285561,SMSEGO,BERT-IMDB
7,0.261004227301767,0.241467521794101,SMSEGO,BERT-IMDB
10,0.267460402932371,0.210574109616832,SMSEGO,BERT-IMDB
6,0.26829058161108,0.201289323526441,SMSEGO,BERT-IMDB
5,0.271435128967653,0.190045930782955,SMSEGO,BERT-IMDB
2,0.271543405698687,0.189944257134973,SMSEGO,BERT-IMDB
19,0.277157670506217,0.171561114015013,SMSEGO,BERT-IMDB
17,0.290469069201253,0.161096954410654,SMSEGO,BERT-IMDB
8,0.295377913971086,0.150646327384576,SMSEGO,BERT-IMDB
13,0.302830761542326,0.14573060271673,SMSEGO,BERT-IMDB
9,0.190532777759851,0.321598170565055,Log-FlexiBO+GP,BERT-IMDB
13,0.191243880479957,0.241501355206342,Log-FlexiBO+GP,BERT-IMDB
17,0.193770326813472,0.233490816669061,Log-FlexiBO+GP,BERT-IMDB
11,0.197330847992905,0.221389677311336,Log-FlexiBO+GP,BERT-IMDB
5,0.198549026306838,0.208200248827717,Log-FlexiBO+GP,BERT-IMDB
1,0.210435874820603,0.185377315356424,Log-FlexiBO+GP,BERT-IMDB
3,0.225191435184722,0.162308744981725,Log-FlexiBO+GP,BERT-IMDB
7,0.225466971690741,0.158367828509352,Log-FlexiBO+GP,BERT-IMDB
12,0.228287847488133,0.130040263309117,Log-FlexiBO+GP,BERT-IMDB
8,0.259985201268462,0.111953376037181,Log-FlexiBO+GP,BERT-IMDB
6,0.281113495426448,0.102864081534157,Log-FlexiBO+GP,BERT-IMDB
15,0.202760567896023,0.391684591101343,Log-FlexiBO+RF,BERT-IMDB
9,0.203496940727045,0.282196845011962,Log-FlexiBO+RF,BERT-IMDB
5,0.205638533366985,0.26095622032655,Log-FlexiBO+RF,BERT-IMDB
3,0.207243909058928,0.247441752477767,Log-FlexiBO+RF,BERT-IMDB
11,0.238149209456898,0.221692832392188,Log-FlexiBO+RF,BERT-IMDB
1,0.26027307564514,0.171157576131949,Log-FlexiBO+RF,BERT-IMDB
12,0.270562990792431,0.149456858225894,Log-FlexiBO+RF,BERT-IMDB
10,0.278458448464359,0.141879849268376,Log-FlexiBO+RF,BERT-IMDB
7,0.283072270740288,0.134223836833308,Log-FlexiBO+RF,BERT-IMDB
11,0.212574278756273,0.249981957422392,Ratio-FlexiBO+GP,BERT-IMDB
8,0.221025086091296,0.227060160711175,Ratio-FlexiBO+GP,BERT-IMDB
3,0.225212179436983,0.195310891508848,Ratio-FlexiBO+GP,BERT-IMDB
2,0.239609022443494,0.182479694634138,Ratio-FlexiBO+GP,BERT-IMDB
4,0.257274680219771,0.167128447227252,Ratio-FlexiBO+GP,BERT-IMDB
1,0.259107165999002,0.123796791307696,Ratio-FlexiBO+GP,BERT-IMDB
