,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,BERT-IMDB,0.0,0.4829772744189495,0.3347354525127337,0,FlexiBO+GP-Log,0.007993137480395205,0.0,0.0,0.6560431104256894
1,BERT-IMDB,0.0,0.5207832150586533,0.2565064051344019,1,FlexiBO+GP-Log,0.008805052727541644,0.0,1.0,0.618554437852021
2,BERT-IMDB,18.1,0.41750983483076215,0.5520183197337781,2,FlexiBO+GP-Log,0.0016074225575175127,18.1,2.0,0.5892262242625774
3,BERT-IMDB,0.0,0.5838808956885557,0.3907859744041934,3,FlexiBO+GP-Log,0.00024971666102867833,18.1,3.0,0.5892262242625774
4,BERT-IMDB,0.0,0.2447615744139985,0.21083742795064286,4,FlexiBO+GP-Log,0.007684208455257595,18.1,4.0,0.403994101554044
5,BERT-IMDB,0.0,0.329468711427844,0.3268194557905809,5,FlexiBO+GP-Log,0.0037344685358797866,18.1,5.0,0.403994101554044
6,BERT-IMDB,0.0,0.3980743653515337,0.4914830653446908,6,FlexiBO+GP-Log,0.004422439921073459,18.1,6.0,0.403994101554044
7,BERT-IMDB,0.0,0.4416695633037501,0.4205670012002929,7,FlexiBO+GP-Log,0.00019675670090924525,18.1,7.0,0.403994101554044
8,BERT-IMDB,0.0,0.10446514063418752,0.31313789158955035,8,FlexiBO+GP-Log,0.0057161973822376436,18.1,8.0,0.30762979724557604
9,BERT-IMDB,18.1,0.2038487061583812,0.29632380868760744,9,FlexiBO+GP-Log,0.0006263963540993133,36.2,9.0,0.30694188488696983
10,BERT-IMDB,18.1,0.4344725018563148,0.25334172748560296,10,FlexiBO+GP-Log,0.008950266362213615,54.300000000000004,10.0,0.30694188488696983
11,BERT-IMDB,0.0,0.5836905150458679,0.3255236827235577,11,FlexiBO+GP-Log,0.0031366602526097377,54.300000000000004,11.0,0.30694188488696983
12,BERT-IMDB,0.0,0.1475306561955143,0.4074095181261879,12,FlexiBO+GP-Log,0.009250031005783671,54.300000000000004,12.0,0.30694188488696983
13,BERT-IMDB,0.0,0.3393944078329418,0.2386243540265109,13,FlexiBO+GP-Log,0.009788306560462777,54.300000000000004,13.0,0.30694188488696983
14,BERT-IMDB,18.1,0.4976651136577578,0.4721522171510352,14,FlexiBO+GP-Log,0.008522118593997595,72.4,14.0,0.30694188488696983
15,BERT-IMDB,0.0,0.4001788780138397,0.4397665681056071,15,FlexiBO+GP-Log,0.0011860062159978135,72.4,15.0,0.30694188488696994
16,BERT-IMDB,0.0,0.3777008371251711,0.4742006859176681,16,FlexiBO+GP-Log,0.007536517079298386,72.4,16.0,0.30694188488696994
17,BERT-IMDB,0.0,0.551537797205405,0.3789447580007073,17,FlexiBO+GP-Log,0.00686997494651675,72.4,17.0,0.30694188488696994
18,BERT-IMDB,0.0,0.3537770647152648,0.2096103414439654,18,FlexiBO+GP-Log,0.0019940837407795447,72.4,18.0,0.3061489134427765
