,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.407855024700591,0.3981099042508942,0,6.8,PAL,LeNet,0.6435938041196868,0.009852878136563829
1,0.5413867948262088,0.3810767080211998,1,6.8,PAL,LeNet,0.6357821554024325,0.004518913520107029
2,0.32166438479557563,0.3532127349301808,2,6.8,PAL,LeNet,0.561261162642477,0.001974671973690623
3,0.31628327524959465,0.3613638956415639,3,6.8,PAL,LeNet,0.5578245918049058,0.0024739362507969756
4,0.3718518688498932,0.2954296741802033,4,6.8,PAL,LeNet,0.5215282701826744,0.004113217603539406
5,0.31172860486716586,0.3895868086106715,5,6.8,PAL,LeNet,0.5187480392988096,0.008559428233914548
6,0.459967102606103,0.18266984773784625,6,6.8,PAL,LeNet,0.4578540235155105,0.0037364920400128443
7,0.4631192657116735,0.4575392274534339,7,6.8,PAL,LeNet,0.4578540235155105,0.005097142840100015
8,0.3987757474341399,0.4919817451176294,8,6.8,PAL,LeNet,0.4578540235155105,0.009500797982779618
9,0.5226040006139749,0.3607844225590404,9,6.8,PAL,LeNet,0.4578540235155105,0.006979793698961353
10,0.2190614520860716,0.37119349508013577,10,6.8,PAL,LeNet,0.39950053957398335,0.0062819319808491295
11,0.2976360180604287,0.2546035150338999,11,6.8,PAL,LeNet,0.388205611719463,0.0031057117244055153
12,0.2006255377576137,0.4898831067310186,12,6.8,PAL,LeNet,0.3788011403776568,0.009273871357701137
13,0.3635897167169865,0.2852345876321206,13,6.8,PAL,LeNet,0.3788011403776568,0.001030912566492157
14,0.20112118028714704,0.485705643910493,14,6.8,PAL,LeNet,0.3787261955592267,7.764001752319616e-05
15,0.17760738286733405,0.570885478579458,15,6.8,PAL,LeNet,0.36884877103950053,0.002073240191113155
16,0.386842011738566,0.29400959399269005,16,6.8,PAL,LeNet,0.36884877103950053,0.00609565562273967
17,0.32724600950589666,0.20809403591727596,17,6.8,PAL,LeNet,0.362675982131621,0.00756065717387391
18,0.4678116052573078,0.5070496072627638,18,6.8,PAL,LeNet,0.362675982131621,0.008651302841571505
19,0.3768472166589414,0.24971987915436786,19,6.8,PAL,LeNet,0.3626759821316209,0.00629529376215455
20,0.5357155854797172,0.535588831612834,20,6.8,PAL,LeNet,0.3626759821316209,0.008829481785537469
21,0.2779454775850766,0.18675283717879948,21,6.8,PAL,LeNet,0.354202760676416,0.003135502873395907
22,0.2561004474622059,0.3825806506157791,22,6.8,PAL,LeNet,0.354202760676416,0.007723161019212551
23,0.5399800509557968,0.5456076933115528,23,6.8,PAL,LeNet,0.354202760676416,0.0008591249655124989
24,0.4939081889280255,0.5008801660381872,24,6.8,PAL,LeNet,0.354202760676416,0.00904232329387417
25,0.5041070008396806,0.4564139651006528,25,6.8,PAL,LeNet,0.354202760676416,0.008099610505137
26,0.21040874229936235,0.5478164708250624,26,6.8,PAL,LeNet,0.354202760676416,0.0032172305741667417
27,0.26590395528238125,0.20332605620659652,27,6.8,PAL,LeNet,0.352181381167324,0.002205778867963355
28,0.250288605399302,0.4851257515891973,28,6.8,PAL,LeNet,0.352181381167324,0.000126956686387234
29,0.4868933695506515,0.3639677135553562,29,6.8,PAL,LeNet,0.352181381167324,0.00013428706598775153
30,0.3582923027740537,0.3618965393770712,30,6.8,PAL,LeNet,0.352181381167324,0.007390595343030992
31,0.3350858123837338,0.2818804642483402,31,6.8,PAL,LeNet,0.352181381167324,0.00972860344394101
32,0.39739824283686015,0.17006623548546207,32,6.8,PAL,LeNet,0.3443309542836641,0.002030597127187793
33,0.3909120453014426,0.1757725151005927,33,6.8,PAL,LeNet,0.3442597337456623,0.0016968321612230652
34,0.2757102503058451,0.4134576116993225,34,6.8,PAL,LeNet,0.3442597337456623,0.009549239464467677
35,0.5355580351966157,0.20622408178902504,35,6.8,PAL,LeNet,0.3442597337456623,0.003782329932868606
36,0.176962824467598,0.271194624391422,36,6.8,PAL,LeNet,0.32825067089167415,0.00330675310900478
37,0.1717103407924721,0.401005346279082,37,6.8,PAL,LeNet,0.32510446125151704,0.007632773575678453
38,0.2841655545526381,0.3435591559425176,38,6.8,PAL,LeNet,0.32510446125151704,0.009486631527146133
39,0.5301646985530586,0.3072917258297282,39,6.8,PAL,LeNet,0.32510446125151704,0.007716451733504529
40,0.4945545875333175,0.5627005021288076,40,6.8,PAL,LeNet,0.32510446125151704,0.006552100140945868
41,0.227544166161952,0.16096648291956694,41,6.8,PAL,LeNet,0.3118735015730677,0.003140494649119766
42,0.25245071700171096,0.3124982216793596,42,6.8,PAL,LeNet,0.3118735015730676,0.0021437925801685554
43,0.1581218883372191,0.500155166582779,43,6.8,PAL,LeNet,0.30508138381917393,0.0015655257901198228
44,0.3552573397884269,0.4080970994985407,44,6.8,PAL,LeNet,0.30508138381917393,0.00861799904826486
45,0.22270891744740307,0.2089950864390627,45,6.8,PAL,LeNet,0.30478063358324425,0.0025099989585346126
46,0.33991022888568295,0.2258247871052916,46,6.8,PAL,LeNet,0.30478063358324425,0.00022051722074213577
47,0.2371671524153009,0.5080810426666713,47,6.8,PAL,LeNet,0.30478063358324425,0.003272207045737441
48,0.3671281395428859,0.4360572097022484,48,6.8,PAL,LeNet,0.30478063358324425,0.0080130678573436
49,0.2669875975958296,0.5935272603796077,49,6.8,PAL,LeNet,0.30478063358324425,0.005155389229313424
50,0.2709863166514862,0.4069099239553981,50,6.8,PAL,LeNet,0.30478063358324425,0.003361277521757756
51,0.5001845415302828,0.17180542485999425,51,6.8,PAL,LeNet,0.30478063358324425,0.0041754801201986415
52,0.3690841439307671,0.16650555457337313,52,6.8,PAL,LeNet,0.30478063358324425,0.0013474619559389878
53,0.2649110979918014,0.180028860953344,53,6.8,PAL,LeNet,0.30478063358324425,0.005305203903208015
54,0.2586081229063349,0.23129721980919635,54,6.8,PAL,LeNet,0.30478063358324425,0.0036248758398598016
55,0.4320013556445594,0.4702600908185986,55,6.8,PAL,LeNet,0.30478063358324425,0.005373915133484867
56,0.5337329685699587,0.3198861745112896,56,6.8,PAL,LeNet,0.30478063358324425,0.008473397457645866
57,0.4025224798102723,0.2812107078101337,57,6.8,PAL,LeNet,0.30478063358324425,0.0011136599984235252
58,0.4969035117954294,0.17517655510773414,58,6.8,PAL,LeNet,0.30478063358324425,9.65339444022384e-05
59,0.5174231771569398,0.4878095589117242,59,6.8,PAL,LeNet,0.30478063358324425,0.002655337866347253
60,0.3414649511248571,0.5065978882332068,60,6.8,PAL,LeNet,0.30478063358324425,0.0007974212860330854
61,0.3761377284965016,0.4692911560656845,61,6.8,PAL,LeNet,0.30478063358324425,0.00023209271033127865
62,0.29881342279861484,0.3344932834820066,62,6.8,PAL,LeNet,0.30478063358324425,0.009020914840645882
63,0.33222025303199065,0.2553525214518043,63,6.8,PAL,LeNet,0.30478063358324425,0.006217380413680632
64,0.5053755953260419,0.2802931555918146,64,6.8,PAL,LeNet,0.30478063358324425,0.006384002776722154
65,0.44861003339068095,0.35424045834209206,65,6.8,PAL,LeNet,0.30478063358324425,0.008047676081781883
66,0.3868330761097525,0.3355964170274591,66,6.8,PAL,LeNet,0.30478063358324425,0.001274557446306771
67,0.170893517990965,0.309580332354243,67,6.8,PAL,LeNet,0.30414475932011453,0.006300094800151812
68,0.5450703124085978,0.3883117365479887,68,6.8,PAL,LeNet,0.30414475932011453,0.0004108604902001023
