,Energy,Error,Method,Architecture
0,0.280014485172817,0.201152,Log-FlexiBO+GP,LeNet
1,0.212456162233935,0.201589511002113,Log-FlexiBO+GP,LeNet
2,0.20402204965195397,0.2131152,Log-FlexiBO+GP,LeNet
3,0.18704220818412198,0.22495686153350503,Log-FlexiBO+GP,LeNet
4,0.18245523679233897,0.238986265995637,Log-FlexiBO+GP,LeNet
5,0.15966482919567002,0.33754416616195193,Log-FlexiBO+GP,LeNet
6,0.286898965919607,0.232235758605105,Log-FlexiBO+RF,LeNet
7,0.255510803524725,0.246545574007718,Log-FlexiBO+RF,LeNet
8,0.244727397094918,0.256409619561801,Log-FlexiBO+RF,LeNet
9,0.20245523679233898,0.273329257333333,Log-FlexiBO+RF,LeNet
10,0.172879732829035,0.33001257164599895,Log-FlexiBO+RF,LeNet
11,0.455136200861063,0.152227398064453,PAL,LeNet
12,0.38922866454753996,0.160438468587716,PAL,LeNet
13,0.309580332354243,0.170893517990965,PAL,LeNet
14,0.295759063292158,0.172714539774456,PAL,LeNet
15,0.285116484931397,0.174013138361886,PAL,LeNet
16,0.277491650907335,0.175075373490985,PAL,LeNet
17,0.271194624391422,0.176962824467598,PAL,LeNet
18,0.26047157284834804,0.180046220049782,PAL,LeNet
19,0.18402204965195398,0.18152000000000001,PAL,LeNet
20,0.17776525972719603,0.18942229354593698,PAL,LeNet
21,0.16704220818412197,0.190732298690966,PAL,LeNet
22,0.16096648291956697,0.22754416616195197,PAL,LeNet
23,0.159377137568905,0.24424760451897098,PAL,LeNet
24,0.455136200861063,0.18932227398064497,PESMO,LeNet
25,0.38922866454753996,0.190438468587716,PESMO,LeNet
26,0.309580332354243,0.191893517990965,PESMO,LeNet
27,0.295759063292158,0.19271453977445602,PESMO,LeNet
28,0.285116484931397,0.194401313836189,PESMO,LeNet
29,0.277491650907335,0.208075373490985,PESMO,LeNet
30,0.271194624391422,0.21896962824467603,PESMO,LeNet
31,0.26047157284834804,0.23046220049782398,PESMO,LeNet
32,0.18402204965195398,0.2452,PESMO,LeNet
33,0.17776525972719603,0.259422293545937,PESMO,LeNet
34,0.16704220818412197,0.270732298690966,PESMO,LeNet
35,0.16096648291956697,0.327544166161952,PESMO,LeNet
36,0.159377137568905,0.344247604518971,PESMO,LeNet
37,0.455136200861063,0.220000322273981,ParEGO,LeNet
38,0.38922866454753996,0.22003438468587697,ParEGO,LeNet
39,0.309580332354243,0.22038935179909602,ParEGO,LeNet
40,0.295759063292158,0.22271453977445602,ParEGO,LeNet
41,0.285116484931397,0.22401313836188602,ParEGO,LeNet
42,0.277491650907335,0.228075373490985,ParEGO,LeNet
43,0.271194624391422,0.236962824467598,ParEGO,LeNet
44,0.26047157284834804,0.240462200497823,ParEGO,LeNet
45,0.18402204965195398,0.25151999999999997,ParEGO,LeNet
46,0.17776525972719603,0.269422293545937,ParEGO,LeNet
47,0.16704220818412197,0.290732298690966,ParEGO,LeNet
48,0.16096648291956697,0.327544166161952,ParEGO,LeNet
49,0.159377137568905,0.344247604518971,ParEGO,LeNet
50,0.290014485172817,0.221152,Ratio-FlexiBO+GP,LeNet
51,0.252456162233935,0.231589511002113,Ratio-FlexiBO+GP,LeNet
52,0.224022049651954,0.241152,Ratio-FlexiBO+GP,LeNet
53,0.218704220818412,0.264956861533505,Ratio-FlexiBO+GP,LeNet
54,0.20824552367923396,0.29898626599563694,Ratio-FlexiBO+GP,LeNet
55,0.185966482919567,0.367544166161952,Ratio-FlexiBO+GP,LeNet
56,0.326898965919607,0.21223575860510502,Ratio-FlexiBO+RF,LeNet
57,0.285551080352472,0.276545574007718,Ratio-FlexiBO+RF,LeNet
58,0.244727397094918,0.28640961956180105,Ratio-FlexiBO+RF,LeNet
59,0.23024552367923398,0.293329257333333,Ratio-FlexiBO+RF,LeNet
60,0.21728797328290303,0.34001257164599896,Ratio-FlexiBO+RF,LeNet
61,0.455136200861063,0.202227398064453,SMSEGO,LeNet
62,0.38922866454753996,0.213438468587716,SMSEGO,LeNet
63,0.309580332354243,0.223893517990965,SMSEGO,LeNet
64,0.295759063292158,0.22714539774456305,SMSEGO,LeNet
65,0.285116484931397,0.23013138361885502,SMSEGO,LeNet
66,0.271194624391422,0.236962824467598,SMSEGO,LeNet
67,0.277491650907335,0.238075373490985,SMSEGO,LeNet
68,0.26047157284834804,0.240462200497823,SMSEGO,LeNet
69,0.18402204965195398,0.261152,SMSEGO,LeNet
70,0.17776525972719603,0.269422293545937,SMSEGO,LeNet
71,0.16704220818412197,0.290732298690966,SMSEGO,LeNet
72,0.16096648291956697,0.327544166161952,SMSEGO,LeNet
73,0.159377137568905,0.34247604518971003,SMSEGO,LeNet
74,0.21142146773523998,0.122326134679496,Ratio-FlexiBO+GP,MobileNet
75,0.20833556165053402,0.14041123629370802,Ratio-FlexiBO+GP,MobileNet
76,0.191533823308453,0.14830895099208302,Ratio-FlexiBO+GP,MobileNet
77,0.17404046114706098,0.149062459624935,Ratio-FlexiBO+GP,MobileNet
78,0.16832064338520902,0.15089509920831398,Ratio-FlexiBO+GP,MobileNet
79,0.166318275002356,0.15232613467949602,Ratio-FlexiBO+GP,MobileNet
80,0.156210857380059,0.154576103674266,Ratio-FlexiBO+GP,MobileNet
81,0.15196799881835502,0.160202413850755,Ratio-FlexiBO+GP,MobileNet
82,0.141947116302878,0.170245925227671,Ratio-FlexiBO+GP,MobileNet
83,0.082900123003109,0.180411236293708,Ratio-FlexiBO+GP,MobileNet
84,0.072225261222442,0.19022342822893304,Ratio-FlexiBO+GP,MobileNet
85,0.069465662268605,0.222296776379731,Ratio-FlexiBO+GP,MobileNet
86,0.264445123550639,0.19377660136363298,Ratio-FlexiBO+RF,MobileNet
87,0.248683421065365,0.200605760976505,Ratio-FlexiBO+RF,MobileNet
88,0.22210857380059199,0.20605760976505,Ratio-FlexiBO+RF,MobileNet
89,0.219405128440203,0.22130550645558897,Ratio-FlexiBO+RF,MobileNet
90,0.12397363709753399,0.30165438438307596,Ratio-FlexiBO+RF,MobileNet
91,0.091694656622686,0.322296776379731,Ratio-FlexiBO+RF,MobileNet
92,0.19663182750023603,0.11232613467949601,Log-FlexiBO+GP,MobileNet
93,0.186210857380059,0.11457610367426599,Log-FlexiBO+GP,MobileNet
94,0.15196799881835502,0.120202413850755,Log-FlexiBO+GP,MobileNet
95,0.134194711630288,0.140245925227671,Log-FlexiBO+GP,MobileNet
96,0.08829001230031099,0.16041123629370801,Log-FlexiBO+GP,MobileNet
97,0.067222526122244,0.209022342822893,Log-FlexiBO+GP,MobileNet
98,0.049465662268605,0.252229677637973,Log-FlexiBO+GP,MobileNet
99,0.226444512355064,0.153776601363633,Log-FlexiBO+RF,MobileNet
100,0.20486834210653598,0.16006057609765098,Log-FlexiBO+RF,MobileNet
101,0.192210857380059,0.170605760976505,Log-FlexiBO+RF,MobileNet
102,0.15194051284402,0.18213055064555897,Log-FlexiBO+RF,MobileNet
103,0.112397363709753,0.260165438438308,Log-FlexiBO+RF,MobileNet
104,0.07169465662268598,0.29222967763797303,Log-FlexiBO+RF,MobileNet
105,0.256606662541097,0.15526591228637102,PAL,MobileNet
106,0.25136427765596303,0.19094912845534198,PAL,MobileNet
107,0.246112159481299,0.19825164978149,PAL,MobileNet
108,0.245894675722548,0.202916188634707,PAL,MobileNet
109,0.200490937752277,0.21103054432256602,PAL,MobileNet
110,0.19848189715106498,0.22282456475455303,PAL,MobileNet
111,0.194228149121534,0.234474080364163,PAL,MobileNet
112,0.17404046114706098,0.264062459624935,PAL,MobileNet
113,0.163879767643816,0.276022616085089,PAL,MobileNet
114,0.14161630669794,0.29038547086222904,PAL,MobileNet
115,0.09465662268605199,0.302296776379731,PAL,MobileNet
116,0.08859649122806999,0.322334398270605,PAL,MobileNet
117,0.07749099123188999,0.33248333919991196,PAL,MobileNet
118,0.18466128305231103,0.20370010571736202,PESMO,MobileNet
119,0.14141155618033402,0.23365592884082897,PESMO,MobileNet
120,0.139096652940233,0.23708674515688002,PESMO,MobileNet
121,0.081464730195353,0.291598658477933,PESMO,MobileNet
122,0.078546271324996,0.304686184846073,PESMO,MobileNet
123,0.07680818390874901,0.311084259411651,PESMO,MobileNet
124,0.073618507002009,0.33708674515688003,PESMO,MobileNet
125,0.060233323910735,0.41968998856203704,PESMO,MobileNet
126,0.047149918634589005,0.438613122787433,PESMO,MobileNet
127,0.11024440183053098,0.200537940554478,ParEGO,MobileNet
128,0.104449503785593,0.20372149077926396,ParEGO,MobileNet
129,0.09572086698092301,0.22236862145589198,ParEGO,MobileNet
130,0.086098356647898,0.22368621455891602,ParEGO,MobileNet
131,0.069554056428631,0.23519112293532,ParEGO,MobileNet
132,0.067518011169599,0.251473605823255,ParEGO,MobileNet
133,0.056753329105897005,0.289290824132182,ParEGO,MobileNet
134,0.055290279698374994,0.32533169187073496,ParEGO,MobileNet
135,0.048884186078493,0.338977014075185,ParEGO,MobileNet
136,0.14141155618033402,0.23365592884082897,SMSEGO,MobileNet
137,0.18466128305231103,0.23370010571736202,SMSEGO,MobileNet
138,0.139096652940233,0.24708674515688003,SMSEGO,MobileNet
139,0.081464730195353,0.251598658477933,SMSEGO,MobileNet
140,0.078546271324996,0.26468618484607304,SMSEGO,MobileNet
141,0.07680818390874901,0.271084259411651,SMSEGO,MobileNet
142,0.073618507002009,0.28708674515688004,SMSEGO,MobileNet
143,0.060233323910735,0.326899885620367,SMSEGO,MobileNet
144,0.047149918634589005,0.338613122787433,SMSEGO,MobileNet
145,0.33827425009739004,0.16737940554478198,Log-FlexiBO+GP,ResNet
146,0.303121372848681,0.16837214907792597,Log-FlexiBO+GP,ResNet
147,0.250297164204449,0.17968621455891698,Log-FlexiBO+GP,ResNet
148,0.23251355967756399,0.196862145589165,Log-FlexiBO+GP,ResNet
149,0.198187448183553,0.20191122935319603,Log-FlexiBO+GP,ResNet
150,0.187655049793733,0.231473605823255,Log-FlexiBO+GP,ResNet
151,0.15684023053948998,0.261929082413218,Log-FlexiBO+GP,ResNet
152,0.15545766284099,0.282533169187073,Log-FlexiBO+GP,ResNet
153,0.13782555712045402,0.30897701407518496,Log-FlexiBO+GP,ResNet
154,0.27696702725919703,0.150774516077237,PAL,ResNet
155,0.214517595117517,0.23301245069567003,PAL,ResNet
156,0.154485431462447,0.3152,PAL,ResNet
157,0.148402305394904,0.389290824132182,PAL,ResNet
158,0.14837233925664003,0.40807651350893603,PAL,ResNet
159,0.48286436326950605,0.17037001057173598,PESMO,ResNet
160,0.36977215746206893,0.21365592884082898,PESMO,ResNet
161,0.363718997532789,0.22370867451568802,PESMO,ResNet
162,0.21301928820432897,0.229159865847793,PESMO,ResNet
163,0.20538791165982398,0.234686184846073,PESMO,ResNet
164,0.19250247220640695,0.23708674515688002,PESMO,ResNet
165,0.200843047356487,0.251108425941165,PESMO,ResNet
166,0.157502022714333,0.326899885620367,PESMO,ResNet
167,0.12329068152987101,0.438613122787433,PESMO,ResNet
168,0.28827425009739,0.170537940554478,ParEGO,ResNet
169,0.27312137284868104,0.18172149077926397,ParEGO,ResNet
170,0.250297164204449,0.183686214558916,ParEGO,ResNet
171,0.225135596775644,0.18686214558916503,ParEGO,ResNet
172,0.18187448183552601,0.19191122935319602,ParEGO,ResNet
173,0.17655049793733102,0.201473605823255,ParEGO,ResNet
174,0.148402305394904,0.219290824132182,ParEGO,ResNet
175,0.144576628409897,0.22533169187073498,ParEGO,ResNet
176,0.12782555712045401,0.338977014075185,ParEGO,ResNet
177,0.30982742500973903,0.177379405544782,Ratio-FlexiBO+GP,ResNet
178,0.27312137284868104,0.18837214907792602,Ratio-FlexiBO+GP,ResNet
179,0.240297164204449,0.199686214558917,Ratio-FlexiBO+GP,ResNet
180,0.23251355967756399,0.21968621455891602,Ratio-FlexiBO+GP,ResNet
181,0.18818744818355299,0.23191122935319602,Ratio-FlexiBO+GP,ResNet
182,0.17765504979373298,0.251473605823255,Ratio-FlexiBO+GP,ResNet
183,0.16684023053949,0.271929082413218,Ratio-FlexiBO+GP,ResNet
184,0.14545766284099,0.292533169187073,Ratio-FlexiBO+GP,ResNet
185,0.12782555712045401,0.34089770140751896,Ratio-FlexiBO+GP,ResNet
186,0.339371899753279,0.202193708674516,Ratio-FlexiBO+RF,ResNet
187,0.255387911659824,0.20223346861848499,Ratio-FlexiBO+RF,ResNet
188,0.219084304735649,0.212110842594117,Ratio-FlexiBO+RF,ResNet
189,0.26301928820432896,0.22822091598658498,Ratio-FlexiBO+RF,ResNet
190,0.16250247220640698,0.233708674515688,Ratio-FlexiBO+RF,ResNet
191,0.245387911659824,0.239223346861848,Ratio-FlexiBO+RF,ResNet
192,0.21084304735648698,0.242110842594117,Ratio-FlexiBO+RF,ResNet
193,0.19250247220640695,0.263708674515688,Ratio-FlexiBO+RF,ResNet
194,0.157502022714333,0.26568998856203696,Ratio-FlexiBO+RF,ResNet
195,0.157502022714333,0.27568998856203697,Ratio-FlexiBO+RF,ResNet
196,0.132329068152987,0.3363861312278739,Ratio-FlexiBO+RF,ResNet
197,0.132329068152987,0.34638613122787393,Ratio-FlexiBO+RF,ResNet
198,0.48286436326950605,0.22037001057173602,SMSEGO,ResNet
199,0.36977215746206893,0.223655928840829,SMSEGO,ResNet
200,0.363718997532789,0.23070867451568802,SMSEGO,ResNet
201,0.21301928820432897,0.231159865847793,SMSEGO,ResNet
202,0.20538791165982398,0.233468618484607,SMSEGO,ResNet
203,0.200843047356487,0.24108425941165101,SMSEGO,ResNet
204,0.19250247220640695,0.283708674515688,SMSEGO,ResNet
205,0.157502022714333,0.326899885620367,SMSEGO,ResNet
206,0.12329068152987101,0.338613122787433,SMSEGO,ResNet
207,0.20709819925249498,0.152240783154181,Log-FlexiBO+GP,SqueezeNet
208,0.19952979185212602,0.174301598918481,Log-FlexiBO+GP,SqueezeNet
209,0.18939412731594898,0.19703390509501603,Log-FlexiBO+GP,SqueezeNet
210,0.17809382824716397,0.219165936221635,Log-FlexiBO+GP,SqueezeNet
211,0.14050875034591298,0.25718876535677204,Log-FlexiBO+GP,SqueezeNet
212,0.116641194141319,0.283554180898153,Log-FlexiBO+GP,SqueezeNet
213,0.10419063051168401,0.349810840660285,Log-FlexiBO+GP,SqueezeNet
214,0.295333066605319,0.168047872008643,Log-FlexiBO+RF,SqueezeNet
215,0.273952979185213,0.17130159891848099,Log-FlexiBO+RF,SqueezeNet
216,0.22952979185212602,0.184103207089989,Log-FlexiBO+RF,SqueezeNet
217,0.18427628354521497,0.19046520952632398,Log-FlexiBO+RF,SqueezeNet
