,Error,Energy,Iteration,Cost,Method,Architecture
0,0.15526591228637102,0.256606662541097,171,13.6,PAL,MobileNet
1,0.19094912845534198,0.25136427765596303,179,13.6,PAL,MobileNet
2,0.19825164978149,0.246112159481299,24,13.6,PAL,MobileNet
3,0.202916188634707,0.245894675722548,54,13.6,PAL,MobileNet
4,0.21103054432256602,0.200490937752277,94,13.6,PAL,MobileNet
5,0.22282456475455303,0.19848189715106498,109,13.6,PAL,MobileNet
6,0.234474080364163,0.194228149121534,4,13.6,PAL,MobileNet
7,0.264062459624935,0.17404046114706098,157,13.6,PAL,MobileNet
8,0.276022616085089,0.163879767643816,139,13.6,PAL,MobileNet
9,0.29038547086222904,0.14161630669794,6,13.6,PAL,MobileNet
10,0.302296776379731,0.09465662268605199,19,13.6,PAL,MobileNet
11,0.322334398270605,0.08859649122806999,123,13.6,PAL,MobileNet
12,0.33248333919991196,0.07749099123188999,158,13.6,PAL,MobileNet
13,0.4099916934886042,0.4807754765813437,173,13.6,PAL,MobileNet
14,0.4882001067592254,0.35856219431180525,51,13.6,PAL,MobileNet
15,0.27833196317213055,0.4559972196882137,186,13.6,PAL,MobileNet
16,0.5497222829265854,0.560949417700094,107,13.6,PAL,MobileNet
17,0.429636034325225,0.38840892230095836,146,13.6,PAL,MobileNet
18,0.3693569420066789,0.08583347135226502,62,13.6,PAL,MobileNet
19,0.35974242856862754,0.4103438764058246,28,13.6,PAL,MobileNet
20,0.3850099343433613,0.4165464145563502,30,13.6,PAL,MobileNet
21,0.4987378641505231,0.5094630953287056,63,13.6,PAL,MobileNet
22,0.18786752012251062,0.27117868970302383,103,13.6,PAL,MobileNet
23,0.4727856310445868,0.2467126448959499,199,13.6,PAL,MobileNet
24,0.22808133074440487,0.27108710021154925,193,13.6,PAL,MobileNet
25,0.41541660060584606,0.5572732083761741,99,13.6,PAL,MobileNet
26,0.526040011200015,0.42381687295128057,124,13.6,PAL,MobileNet
27,0.46370371151757284,0.3016003791763133,56,13.6,PAL,MobileNet
28,0.4065541316827539,0.3520181043804439,93,13.6,PAL,MobileNet
29,0.3020509358563419,0.31473930223212576,190,13.6,PAL,MobileNet
30,0.5010371905910059,0.33807122544111345,2,13.6,PAL,MobileNet
31,0.5182278083776926,0.5658845441545616,130,13.6,PAL,MobileNet
32,0.28072749366008215,0.3890368245647817,145,13.6,PAL,MobileNet
33,0.5341914771171538,0.23391496689506946,20,13.6,PAL,MobileNet
34,0.5323756112579263,0.19019223060092688,71,13.6,PAL,MobileNet
35,0.4707328376037887,0.342888465615271,44,13.6,PAL,MobileNet
36,0.48070526400663305,0.5943872278706532,65,13.6,PAL,MobileNet
37,0.49799781244478747,0.44440834496832804,115,13.6,PAL,MobileNet
38,0.5123917902017207,0.5843396711044637,10,13.6,PAL,MobileNet
39,0.3729122583311736,0.22537174444863756,131,13.6,PAL,MobileNet
40,0.36792669562538494,0.1611244661559109,197,13.6,PAL,MobileNet
41,0.1554238732572753,0.3208633785898079,166,13.6,PAL,MobileNet
