,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,MobileNet,0.0,0.08829001230031099,0.16041123629370801,0,FlexiBO+GP-Log,2.3267632033050492e-05,0.0,0.0,0.23453853856853946
1,MobileNet,13.6,0.3528630482807919,0.3363239397815437,1,FlexiBO+GP-Log,0.0035316530455332365,13.6,1.0,0.23453853856853946
2,MobileNet,0.0,0.2955606608943732,0.14971466975833514,2,FlexiBO+GP-Log,0.009639677045946095,13.6,2.0,0.22700345630766205
3,MobileNet,13.6,0.4347672520421768,0.3270712945948525,3,FlexiBO+GP-Log,0.0032051362916791304,27.2,3.0,0.22700345630766194
4,MobileNet,0.0,0.0715066853567293,0.22635023277198416,4,FlexiBO+GP-Log,0.0064492223036450025,27.2,4.0,0.21401903932444832
5,MobileNet,0.0,0.3444555339445509,0.2514435061605287,5,FlexiBO+GP-Log,0.005376800019506379,27.2,5.0,0.21401903932444832
6,MobileNet,0.0,0.42154570923564055,0.13154912738022867,6,FlexiBO+GP-Log,0.005933999086981401,27.2,6.0,0.20351110339177086
7,MobileNet,13.6,0.4668054009561951,0.29840559523760923,7,FlexiBO+GP-Log,0.003128158414722285,40.8,7.0,0.20351110339177086
8,MobileNet,0.0,0.4011601258628814,0.12133554086008976,8,FlexiBO+GP-Log,0.004525258318867925,40.8,8.0,0.1970244853469021
9,MobileNet,13.6,0.5268854128067959,0.4685248206945792,9,FlexiBO+GP-Log,0.006190947201292481,54.4,9.0,0.1970244853469021
10,MobileNet,13.6,0.12671773644089426,0.5467779937580038,10,FlexiBO+GP-Log,0.007466053196626705,68.0,10.0,0.1970244853469021
11,MobileNet,0.0,0.3935887257142417,0.4724811954567383,11,FlexiBO+GP-Log,0.005133700632452323,68.0,11.0,0.1970244853469021
12,MobileNet,13.6,0.3958034006251868,0.3286173686381025,12,FlexiBO+GP-Log,0.0018986770438340207,81.6,12.0,0.1970244853469021
13,MobileNet,13.6,0.5224450638294698,0.1886920905040283,13,FlexiBO+GP-Log,0.0006709312320867022,95.19999999999999,13.0,0.1970244853469021
14,MobileNet,0.0,0.3773103486969052,0.33542334118453365,14,FlexiBO+GP-Log,0.003269025628473761,95.19999999999999,14.0,0.1970244853469021
15,MobileNet,0.0,0.5352956100908015,0.12813207339138655,15,FlexiBO+GP-Log,0.005099613650599885,95.19999999999999,15.0,0.1970244853469021
16,MobileNet,0.0,0.07786664384824507,0.2289139466964899,16,FlexiBO+GP-Log,0.004881139221117968,95.19999999999999,16.0,0.1970244853469021
17,MobileNet,0.0,0.5368502942532778,0.3840477316050603,17,FlexiBO+GP-Log,0.007114055914200008,95.19999999999999,17.0,0.1970244853469021
18,MobileNet,13.6,0.2037619109829528,0.34819090975565553,18,FlexiBO+GP-Log,0.009767624088537815,108.79999999999998,18.0,0.1970244853469021
19,MobileNet,0.0,0.06197610772268852,0.33358743795873713,19,FlexiBO+GP-Log,0.004560611888204962,108.79999999999998,19.0,0.1906731886880677
20,MobileNet,0.0,0.15593550558952105,0.2642353851656357,20,FlexiBO+GP-Log,0.007134137714929051,108.79999999999998,20.0,0.1906731886880677
21,MobileNet,0.0,0.5719586450636891,0.3798703439636116,21,FlexiBO+GP-Log,0.002420161916415109,108.79999999999998,21.0,0.1906731886880677
22,MobileNet,0.0,0.1820375452920389,0.33107786093589,22,FlexiBO+GP-Log,0.0046782929170705225,108.79999999999998,22.0,0.1906731886880677
23,MobileNet,0.0,0.30453964046173365,0.3414594285402957,23,FlexiBO+GP-Log,0.0038506349345924116,108.79999999999998,23.0,0.1906731886880677
24,MobileNet,0.0,0.2803219979896029,0.32323879327837474,24,FlexiBO+GP-Log,0.0003279618325910616,108.79999999999998,24.0,0.1906731886880677
25,MobileNet,0.0,0.2965650016460701,0.25901516456828344,25,FlexiBO+GP-Log,0.005154422613489299,108.79999999999998,25.0,0.1906731886880677
26,MobileNet,13.6,0.1084480756778088,0.21661318778640729,26,FlexiBO+GP-Log,0.000200607960842476,122.39999999999998,26.0,0.1906731886880677
27,MobileNet,0.0,0.4699214084335329,0.5103849471702178,27,FlexiBO+GP-Log,0.004298370699133532,122.39999999999998,27.0,0.1906731886880677
28,MobileNet,0.0,0.2715687127579605,0.2156060099955946,28,FlexiBO+GP-Log,0.008697066773631634,122.39999999999998,28.0,0.1906731886880677
29,MobileNet,0.0,0.4894948152746184,0.1241553784135644,29,FlexiBO+GP-Log,0.004568342283254989,122.39999999999998,29.0,0.1906731886880677
30,MobileNet,0.0,0.09719746714717052,0.4162112047348989,30,FlexiBO+GP-Log,0.005801882918493199,122.39999999999998,30.0,0.1906731886880677
31,MobileNet,0.0,0.2278812845209112,0.27433221922368617,31,FlexiBO+GP-Log,0.0030243553987229768,122.39999999999998,31.0,0.1906731886880677
32,MobileNet,0.0,0.16446245276001273,0.5205655030147049,32,FlexiBO+GP-Log,0.0040700672673646965,122.39999999999998,32.0,0.1906731886880677
33,MobileNet,0.0,0.4265284300717557,0.4312269992483072,33,FlexiBO+GP-Log,0.005965214463623797,122.39999999999998,33.0,0.1906731886880677
34,MobileNet,13.6,0.3456829364539359,0.3122085310810052,34,FlexiBO+GP-Log,0.004886401032519843,135.99999999999997,34.0,0.1906731886880677
35,MobileNet,0.0,0.2622626113294301,0.26702612708891466,35,FlexiBO+GP-Log,0.007871865206244453,135.99999999999997,35.0,0.1906731886880677
36,MobileNet,13.6,0.3697876142296991,0.2398573511132814,36,FlexiBO+GP-Log,0.005052810416421853,149.59999999999997,36.0,0.1906731886880677
37,MobileNet,13.6,0.14698938122739216,0.3888237044734037,37,FlexiBO+GP-Log,0.0065234583006765325,163.19999999999996,37.0,0.1906731886880677
38,MobileNet,0.0,0.186210857380059,0.11457610367426599,38,FlexiBO+GP-Log,0.00974819470098865,163.19999999999996,38.0,0.17790269165024442
39,MobileNet,13.6,0.10735152867856836,0.2489912634564289,39,FlexiBO+GP-Log,0.008398110166666205,176.79999999999995,39.0,0.17790269165024442
40,MobileNet,0.0,0.05743469164634728,0.25854775138139985,40,FlexiBO+GP-Log,0.006559247409728465,176.79999999999995,40.0,0.17382027692996924
41,MobileNet,0.0,0.3637446520995861,0.25179085633928777,41,FlexiBO+GP-Log,0.00527185741533327,176.79999999999995,41.0,0.17382027692996924
42,MobileNet,13.6,0.5687053472183259,0.3347678800838105,42,FlexiBO+GP-Log,0.0005315591798072051,190.39999999999995,42.0,0.17382027692996924
