,Architecture,Method,Contribution
0,Xception,FlexiBO + GP (Actual),0.6462157478794721
1,Xception,FlexiBO + GP (Actual),0.6942932101028204
2,Xception,FlexiBO + GP (Actual),0.70808810267942
3,Xception,FlexiBO + GP (Actual),0.6392079593738587
4,Xception,FlexiBO + GP (Actual),0.6399466836246664
5,Xception,FlexiBO + RF (Actual),0.5696026018746769
6,Xception,FlexiBO + RF (Actual),0.5965141096160615
7,Xception,FlexiBO + RF (Actual),0.5847665594421815
8,Xception,FlexiBO + RF (Actual),0.5973483251963907
9,Xception,FlexiBO + RF (Actual),0.569305509535928
10,Xception,PAL,0.7914009903785778
11,Xception,PAL,0.7979076526875881
12,Xception,PAL,0.812406438648051
13,Xception,PAL,0.8308051174866525
14,Xception,PAL,0.8176784195581724
15,Xception,RS,0.35090327247649067
16,Xception,RS,0.25924962991561756
17,Xception,RS,0.4252473333204504
18,Xception,RS,0.2578164181309533
19,Xception,RS,0.15696811726370152
20,Xception,SOBO (Acc),0.5286467333602571
21,Xception,SOBO (Acc),0.5257750870649187
22,Xception,SOBO (Acc),0.44553362969571975
23,Xception,SOBO (Acc),0.5426315900953342
24,Xception,SOBO (Acc),0.5310059861275362
25,Xception,SOBO (EC),0.4936593962421581
26,Xception,SOBO (EC),0.4985752913258099
27,Xception,SOBO (EC),0.5098028391795341
28,Xception,SOBO (EC),0.4292257521682284
29,Xception,SOBO (EC),0.5248811729355041
30,SqueezeNet,FlexiBO + GP (Actual),0.4542774658175876
31,SqueezeNet,FlexiBO + GP (Actual),0.4914544892252148
32,SqueezeNet,FlexiBO + GP (Actual),0.484440527431296
33,SqueezeNet,FlexiBO + GP (Actual),0.4787004349669799
34,SqueezeNet,FlexiBO + GP (Actual),0.45280978123522136
35,SqueezeNet,FlexiBO + RF (Actual),0.41065443666955354
36,SqueezeNet,FlexiBO + RF (Actual),0.44324154283161443
37,SqueezeNet,FlexiBO + RF (Actual),0.4015579070139009
38,SqueezeNet,FlexiBO + RF (Actual),0.3888085732848811
39,SqueezeNet,FlexiBO + RF (Actual),0.3952291403678149
40,SqueezeNet,PAL,0.5264829129880787
41,SqueezeNet,PAL,0.5665507481756279
42,SqueezeNet,PAL,0.5693236102150966
43,SqueezeNet,PAL,0.5534314000269208
44,SqueezeNet,PAL,0.5586157321840899
45,SqueezeNet,RS,0.15306875881109447
46,SqueezeNet,RS,0.29730638352524097
47,SqueezeNet,RS,0.3178738480634964
48,SqueezeNet,RS,0.20577027695863503
49,SqueezeNet,RS,0.2344976278644619
50,SqueezeNet,SOBO (Acc),0.3141102068841767
51,SqueezeNet,SOBO (Acc),0.38863188036459606
52,SqueezeNet,SOBO (Acc),0.37653804240232275
53,SqueezeNet,SOBO (Acc),0.3022430144640568
54,SqueezeNet,SOBO (Acc),0.3423285511505986
55,SqueezeNet,SOBO (EC),0.3237007134090112
56,SqueezeNet,SOBO (EC),0.3444962019694323
57,SqueezeNet,SOBO (EC),0.30116599851297476
58,SqueezeNet,SOBO (EC),0.3042112997505569
59,SqueezeNet,SOBO (EC),0.3449901830415765
60,ResNet,FlexiBO + GP (Actual),0.7121838453173904
61,ResNet,FlexiBO + GP (Actual),0.6735213894258377
62,ResNet,FlexiBO + GP (Actual),0.6916770625854127
63,ResNet,FlexiBO + GP (Actual),0.6679948089708938
64,ResNet,FlexiBO + GP (Actual),0.6519929054205618
65,ResNet,FlexiBO + RF (Actual),0.6422992725341703
