,Architecture,Method,Contribution
0,Xception,FlexiBO + GP (Actual),0.396738201500832
1,Xception,FlexiBO + GP (Actual),0.44409631461552795
2,Xception,FlexiBO + GP (Actual),0.38971512318794094
3,Xception,FlexiBO + GP (Actual),0.4029220254845389
4,Xception,FlexiBO + GP (Actual),0.4049581020713441
5,Xception,FlexiBO + GP (Opt),0.6347171722503268
6,Xception,FlexiBO + GP (Opt),0.6257316221637479
7,Xception,FlexiBO + GP (Opt),0.6217649966444432
8,Xception,FlexiBO + GP (Opt),0.6544583722528811
9,Xception,FlexiBO + GP (Opt),0.6429912333060818
10,Xception,FlexiBO + GP (Pess),0.590145715791416
11,Xception,FlexiBO + GP (Pess),0.5382724321008318
12,Xception,FlexiBO + GP (Pess),0.5511401458797922
13,Xception,FlexiBO + GP (Pess),0.5337363457776054
14,Xception,FlexiBO + GP (Pess),0.5639931820367201
15,Xception,FlexiBO + RF (Actual),0.3555991404970718
16,Xception,FlexiBO + RF (Actual),0.37904696130167687
17,Xception,FlexiBO + RF (Actual),0.36721814532528835
18,Xception,FlexiBO + RF (Actual),0.3649911388017042
19,Xception,FlexiBO + RF (Actual),0.34853174740250614
20,Xception,FlexiBO + RF (Opt),0.5761832045187631
21,Xception,FlexiBO + RF (Opt),0.5647221811758525
22,Xception,FlexiBO + RF (Opt),0.564540735602589
23,Xception,FlexiBO + RF (Opt),0.5805748807505698
24,Xception,FlexiBO + RF (Opt),0.5617429897272417
25,Xception,FlexiBO + RF (Pess),0.5265479480729027
26,Xception,FlexiBO + RF (Pess),0.5412202505514356
27,Xception,FlexiBO + RF (Pess),0.4919805759610131
28,Xception,FlexiBO + RF (Pess),0.5267215197178263
29,Xception,FlexiBO + RF (Pess),0.5007171649954679
30,Xception,PAL,0.495832318122702
31,Xception,PAL,0.52139990337462
32,Xception,PAL,0.5296210930330357
33,Xception,PAL,0.49925713752010925
34,Xception,PAL,0.5222558597278741
35,Xception,RS,0.14584640598025828
36,Xception,RS,0.14096203371813276
37,Xception,RS,0.13741697119416008
38,Xception,RS,0.17446659541557968
39,Xception,RS,0.16403455230924113
40,Xception,SOBO (Acc),0.28589081745977146
41,Xception,SOBO (Acc),0.23184240518449817
42,Xception,SOBO (Acc),0.2982031696284012
43,Xception,SOBO (Acc),0.3021860827505985
44,Xception,SOBO (Acc),0.29898653751198023
45,Xception,SOBO (EC),0.23754421818411467
46,Xception,SOBO (EC),0.26323840698875695
47,Xception,SOBO (EC),0.2449714225325033
48,Xception,SOBO (EC),0.28192051157624787
49,Xception,SOBO (EC),0.29144464408037163
50,SqueezeNet,FlexiBO + GP (Actual),0.43878605653282027
51,SqueezeNet,FlexiBO + GP (Actual),0.3920301274463352
52,SqueezeNet,FlexiBO + GP (Actual),0.45082834732631716
