,Architecture,Method,Contribution
0,Xception,PAL,0.5146923921805778
1,Xception,PAL,0.43793688105339706
2,Xception,PAL,0.44954040486573515
3,Xception,PAL,0.5037343342812232
4,Xception,PAL,0.497802365558719
5,Xception,RS,0.10915493627493209
6,Xception,RS,0.08157750543392929
7,Xception,RS,0.11576374908622711
8,Xception,RS,0.11630896859034401
9,Xception,RS,0.10492099720966905
10,Xception,SOBO (Acc),0.3087842655852372
11,Xception,SOBO (Acc),0.27031145489477026
12,Xception,SOBO (Acc),0.2953039397947676
13,Xception,SOBO (Acc),0.3376469521675767
14,Xception,SOBO (Acc),0.36965478975436994
15,Xception,SOBO (EC),0.5024956040091747
16,Xception,SOBO (EC),0.5427144858987738
17,Xception,SOBO (EC),0.5241046133297745
18,Xception,SOBO (EC),0.5363083294168007
19,Xception,SOBO (EC),0.5106615186423289
20,SqueezeNet,PAL,0.4995249709767887
21,SqueezeNet,PAL,0.5024260285132649
22,SqueezeNet,PAL,0.5329155496137206
23,SqueezeNet,PAL,0.45639670329181053
24,SqueezeNet,PAL,0.45493797186177326
25,SqueezeNet,RS,0.11523762214129331
26,SqueezeNet,RS,0.11131780746159378
27,SqueezeNet,RS,0.08891554314317265
28,SqueezeNet,RS,0.14104487917825814
29,SqueezeNet,RS,0.11599751057773824
30,SqueezeNet,SOBO (Acc),0.26750517536549423
31,SqueezeNet,SOBO (Acc),0.3486697388529308
32,SqueezeNet,SOBO (Acc),0.35511138100465417
33,SqueezeNet,SOBO (Acc),0.30630745521390124
34,SqueezeNet,SOBO (Acc),0.2887897724416434
35,SqueezeNet,SOBO (EC),0.5058915609775364
36,SqueezeNet,SOBO (EC),0.5015903592466562
37,SqueezeNet,SOBO (EC),0.5096260705185887
38,SqueezeNet,SOBO (EC),0.565062760061481
39,SqueezeNet,SOBO (EC),0.5386644242579123
40,ResNet,PAL,0.3312951445901922
41,ResNet,PAL,0.34143660761048755
42,ResNet,PAL,0.34086867965033474
43,ResNet,PAL,0.3692039867034337
44,ResNet,PAL,0.33843816210624683
45,ResNet,RS,0.08220510304227342
46,ResNet,RS,0.09344221631916241
47,ResNet,RS,0.06656540816633184
48,ResNet,RS,0.08623737044143791
49,ResNet,RS,0.06273862274583705
50,ResNet,SOBO (Acc),0.18272510678579204
51,ResNet,SOBO (Acc),0.22710537433924222
52,ResNet,SOBO (Acc),0.236312958246992
53,ResNet,SOBO (Acc),0.22549350282111294
54,ResNet,SOBO (Acc),0.2571942976697901
55,ResNet,SOBO (EC),0.383075009380126
56,ResNet,SOBO (EC),0.43798382077418074
57,ResNet,SOBO (EC),0.4022945559588986
58,ResNet,SOBO (EC),0.363817656220605
59,ResNet,SOBO (EC),0.42484482436408977
60,LeNet,PAL,0.4864995733508223
61,LeNet,PAL,0.5072914983523815
62,LeNet,PAL,0.48782770924719804
63,LeNet,PAL,0.5380573066742531
64,LeNet,PAL,0.5134013713283776
65,LeNet,RS,0.0970387664047651
