,Architecture,Method,Contribution
0,Xception,PAL,0.2785948620031389
1,Xception,PAL,0.2619285512673116
2,Xception,PAL,0.2763081119669839
3,Xception,PAL,0.2804432843598224
4,Xception,PAL,0.28111165339217314
5,Xception,RS,0.06012655689987893
6,Xception,RS,0.051159138205478086
7,Xception,RS,0.07997758398548697
8,Xception,RS,0.06782129428577804
9,Xception,RS,0.08321016567655043
10,Xception,SOBO (Acc),0.19360963749257423
11,Xception,SOBO (Acc),0.18998996136121282
12,Xception,SOBO (Acc),0.18158972407723856
13,Xception,SOBO (Acc),0.18825827929842923
14,Xception,SOBO (Acc),0.18055109285627202
15,Xception,SOBO (EC),0.21033466341088689
16,Xception,SOBO (EC),0.24869959019746268
17,Xception,SOBO (EC),0.2252326850588921
18,Xception,SOBO (EC),0.22724195223467564
19,Xception,SOBO (EC),0.2560398667069859
20,SqueezeNet,PAL,0.4018603844225582
21,SqueezeNet,PAL,0.38844777916870676
22,SqueezeNet,PAL,0.37753147202439097
23,SqueezeNet,PAL,0.40936012231813884
24,SqueezeNet,PAL,0.36443170249020257
25,SqueezeNet,RS,0.09440553846071861
26,SqueezeNet,RS,0.08460064948421618
27,SqueezeNet,RS,0.11094838667229917
28,SqueezeNet,RS,0.0713234390196321
29,SqueezeNet,RS,0.10634599582081752
30,SqueezeNet,SOBO (Acc),0.2778480711414396
31,SqueezeNet,SOBO (Acc),0.29566994047853407
32,SqueezeNet,SOBO (Acc),0.2976704238586183
33,SqueezeNet,SOBO (Acc),0.2681101548568407
34,SqueezeNet,SOBO (Acc),0.29079247363125343
35,SqueezeNet,SOBO (EC),0.3141320730242725
36,SqueezeNet,SOBO (EC),0.31689047313537977
37,SqueezeNet,SOBO (EC),0.30679909526176596
38,SqueezeNet,SOBO (EC),0.3488178694861948
39,SqueezeNet,SOBO (EC),0.3787017828044983
40,ResNet,PAL,0.3639477461283552
41,ResNet,PAL,0.36777801412184885
42,ResNet,PAL,0.357745477464268
43,ResNet,PAL,0.40584008527054194
44,ResNet,PAL,0.4157018510830917
45,ResNet,RS,0.07535145935244975
46,ResNet,RS,0.10737294067438714
47,ResNet,RS,0.09277838101008998
48,ResNet,RS,0.09401234806005139
49,ResNet,RS,0.0875558203726222
50,ResNet,SOBO (Acc),0.28438673010635274
51,ResNet,SOBO (Acc),0.2624015673887825
52,ResNet,SOBO (Acc),0.27736945612156433
53,ResNet,SOBO (Acc),0.3057494710044673
54,ResNet,SOBO (Acc),0.27777176408184207
55,ResNet,SOBO (EC),0.29566780789260877
56,ResNet,SOBO (EC),0.36936750399703444
57,ResNet,SOBO (EC),0.3279123938558044
58,ResNet,SOBO (EC),0.3496638963177871
59,ResNet,SOBO (EC),0.3223886915127462
60,LeNet,PAL,0.26179833467365293
61,LeNet,PAL,0.2682948305890871
62,LeNet,PAL,0.26187885452600584
63,LeNet,PAL,0.28665088340283623
64,LeNet,PAL,0.29567222105557306
65,LeNet,RS,0.06263491888129033
66,LeNet,RS,0.08237065824470258
67,LeNet,RS,0.07191591502671295
68,LeNet,RS,0.05712526409989166
69,LeNet,RS,0.06813495631566349
70,LeNet,SOBO (Acc),0.1878773641465877
71,LeNet,SOBO (Acc),0.18579324797696706
72,LeNet,SOBO (Acc),0.18842981818310708
73,LeNet,SOBO (Acc),0.18634492274989473
74,LeNet,SOBO (Acc),0.19020171342258843
75,LeNet,SOBO (EC),0.23953276105735533
76,LeNet,SOBO (EC),0.21475793903327853
77,LeNet,SOBO (EC),0.2762663759945666
78,LeNet,SOBO (EC),0.207963011122552
