,Error,Energy,Iteration,Cost,Method,Architecture
0,0.150774516077237,0.27696702725919703,142,17.8,PAL,ResNet
1,0.23301245069567003,0.214517595117517,14,17.8,PAL,ResNet
2,0.3152,0.154485431462447,199,17.8,PAL,ResNet
3,0.389290824132182,0.148402305394904,165,17.8,PAL,ResNet
4,0.40807651350893603,0.14837233925664003,172,17.8,PAL,ResNet
5,0.4330390585402235,0.285598237633196,87,17.8,PAL,ResNet
6,0.512278189587717,0.374024976079667,49,17.8,PAL,ResNet
7,0.1842936385401036,0.28796775031440836,12,17.8,PAL,ResNet
8,0.442869959132854,0.490091022645591,23,17.8,PAL,ResNet
9,0.25443024137799003,0.33660667893249974,0,17.8,PAL,ResNet
10,0.35509726645076123,0.5286062593265888,123,17.8,PAL,ResNet
11,0.2532660925047176,0.4129303009357572,106,17.8,PAL,ResNet
12,0.5233265634346671,0.24939372139392696,13,17.8,PAL,ResNet
13,0.5482255121625988,0.28602729854823616,124,17.8,PAL,ResNet
14,0.377135266161047,0.3851948367432291,157,17.8,PAL,ResNet
15,0.4356019475200483,0.45946432374653134,102,17.8,PAL,ResNet
16,0.5016181142303351,0.2535251242077056,28,17.8,PAL,ResNet
17,0.16163115833895317,0.3623699934074214,26,17.8,PAL,ResNet
18,0.28518271838496634,0.5742529859900625,76,17.8,PAL,ResNet
19,0.3836470034393631,0.40734158434659673,108,17.8,PAL,ResNet
20,0.42349530742620245,0.20153281727118616,100,17.8,PAL,ResNet
21,0.5032737056689615,0.5792363000296832,166,17.8,PAL,ResNet
22,0.515239527048807,0.297866449438515,135,17.8,PAL,ResNet
23,0.5233293990885961,0.5649557186504168,85,17.8,PAL,ResNet
24,0.23419283146304568,0.4197700508880755,97,17.8,PAL,ResNet
25,0.4138718999806644,0.29157558551552976,183,17.8,PAL,ResNet
26,0.4526601299419656,0.5601427988841636,1,17.8,PAL,ResNet
27,0.3971048873503819,0.2150785579819796,197,17.8,PAL,ResNet
28,0.25824532464627054,0.44664401321983993,56,17.8,PAL,ResNet
29,0.49178131272166525,0.5216141880484361,48,17.8,PAL,ResNet
30,0.3702198476366264,0.43289714633114373,191,17.8,PAL,ResNet
31,0.3381440638491883,0.5677022002401437,107,17.8,PAL,ResNet
32,0.41604640669498094,0.4297080111835423,137,17.8,PAL,ResNet
33,0.21935789338164238,0.3271544070935354,151,17.8,PAL,ResNet
34,0.21010120916477998,0.574054516455836,109,17.8,PAL,ResNet
35,0.5197162984796818,0.5269239027738434,31,17.8,PAL,ResNet
36,0.5040147164342663,0.5954230102688226,112,17.8,PAL,ResNet
37,0.37085542701389185,0.5341953983930144,64,17.8,PAL,ResNet
38,0.21973604983871742,0.3466298254635845,184,17.8,PAL,ResNet
39,0.3306649173867937,0.5903111707444378,45,17.8,PAL,ResNet
40,0.36825326677535203,0.18510215912036526,75,17.8,PAL,ResNet
41,0.43912555905298056,0.38431592329138786,43,17.8,PAL,ResNet
42,0.550725967943777,0.3004350367222528,52,17.8,PAL,ResNet
43,0.20269249497221026,0.40956089995427347,169,17.8,PAL,ResNet
44,0.3775859675124782,0.3246932845691288,196,17.8,PAL,ResNet
45,0.2760584441004194,0.3097960844671803,129,17.8,PAL,ResNet
46,0.31371726621845586,0.54001295873167,146,17.8,PAL,ResNet
47,0.4843770182851578,0.30084217136374297,117,17.8,PAL,ResNet
48,0.3998454628888547,0.30522974017512416,188,17.8,PAL,ResNet
49,0.4107277189892289,0.21143846557984391,152,17.8,PAL,ResNet
50,0.5170194606769398,0.26775024938999725,53,17.8,PAL,ResNet
51,0.4325198981080117,0.15770509008334713,11,17.8,PAL,ResNet
52,0.4571558038193487,0.5673714686565858,54,17.8,PAL,ResNet
53,0.36913971162243014,0.3735324400468173,168,17.8,PAL,ResNet
54,0.1741597968813968,0.4119361379592844,80,17.8,PAL,ResNet
55,0.31385620213834886,0.3187578724236271,174,17.8,PAL,ResNet
