,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,ResNet,0.0,0.5501488409492821,0.2064132396768089,0,FlexiBO+GP-Log,0.000661880390014088,0.0,0.0,0.6430040760613083
1,ResNet,0.0,0.35952142926326297,0.5573163687978572,1,FlexiBO+GP-Log,0.005004934210472095,0.0,1.0,0.5586164412494754
2,ResNet,17.8,0.4430937421154639,0.4899292752474451,2,FlexiBO+GP-Log,0.0006262561210811857,17.8,2.0,0.5514023092893123
3,ResNet,0.0,0.3171649379127065,0.2888851290465476,3,FlexiBO+GP-Log,0.005224706114060927,17.8,3.0,0.4773257579192221
4,ResNet,0.0,0.2237803175701777,0.4719437997107515,4,FlexiBO+GP-Log,0.009852534663613364,17.8,4.0,0.42801343013569226
5,ResNet,17.8,0.2653362489760717,0.43390691773780266,5,FlexiBO+GP-Log,0.004615041238728174,35.6,5.0,0.4260420284117968
6,ResNet,17.8,0.14099215094063988,0.3959392381787554,6,FlexiBO+GP-Log,0.006645239240160268,53.400000000000006,6.0,0.3709066900087037
7,ResNet,0.0,0.42232896941503184,0.3895700312118458,7,FlexiBO+GP-Log,0.009248501758948669,53.400000000000006,7.0,0.3709066900087037
8,ResNet,0.0,0.4860206754634929,0.21059710564874012,8,FlexiBO+GP-Log,0.002281104172497725,53.400000000000006,8.0,0.36588622268869386
9,ResNet,0.0,0.4716205223033279,0.25531351948433323,9,FlexiBO+GP-Log,0.008251469464161488,53.400000000000006,9.0,0.3654027863691647
10,ResNet,0.0,0.3617294835369939,0.4462983621099537,10,FlexiBO+GP-Log,0.0077656646727633566,53.400000000000006,10.0,0.3654027863691647
11,ResNet,17.8,0.15477235440104764,0.4209530202332668,11,FlexiBO+GP-Log,0.009545320708611532,71.2,11.0,0.3654027863691647
12,ResNet,0.0,0.3390334100214296,0.5387012684407635,12,FlexiBO+GP-Log,0.0072948203278432894,71.2,12.0,0.3654027863691647
13,ResNet,0.0,0.5615020720564241,0.486798057769251,13,FlexiBO+GP-Log,0.008799635315379249,71.2,13.0,0.3654027863691647
14,ResNet,0.0,0.5475300642747234,0.3763665644471783,14,FlexiBO+GP-Log,0.005616692549867213,71.2,14.0,0.3654027863691647
15,ResNet,0.0,0.3386528618355009,0.4638467152609591,15,FlexiBO+GP-Log,0.008415456334975674,71.2,15.0,0.3654027863691647
16,ResNet,17.8,0.2997850165301628,0.2196927998511906,16,FlexiBO+GP-Log,0.004940389422438887,89.0,16.0,0.3511395516674686
17,ResNet,0.0,0.4749121858780637,0.1978875550304091,17,FlexiBO+GP-Log,0.008157023377554772,89.0,17.0,0.34624699904728296
18,ResNet,0.0,0.4973057061730668,0.419365288852864,18,FlexiBO+GP-Log,0.0031224996366326,89.0,18.0,0.34624699904728296
19,ResNet,0.0,0.5888851494658726,0.42984641031307,19,FlexiBO+GP-Log,0.00663835101678558,89.0,19.0,0.34624699904728296
20,ResNet,0.0,0.2844648045882032,0.21132999468446007,20,FlexiBO+GP-Log,0.0023085991386280987,89.0,20.0,0.341954191913848
21,ResNet,0.0,0.19539203874995412,0.41173786069478935,21,FlexiBO+GP-Log,0.006688396357820835,89.0,21.0,0.341954191913848
22,ResNet,0.0,0.31212461557326376,0.28821349516701417,22,FlexiBO+GP-Log,0.009145330875606207,89.0,22.0,0.341954191913848
23,ResNet,0.0,0.38781652727630056,0.538042680924878,23,FlexiBO+GP-Log,0.008184537674161592,89.0,23.0,0.341954191913848
24,ResNet,0.0,0.5850154110037029,0.4965439803154215,24,FlexiBO+GP-Log,0.007169591526984806,89.0,24.0,0.341954191913848
25,ResNet,17.8,0.3830230674475457,0.22162249171159376,25,FlexiBO+GP-Log,0.001607709980354387,106.8,25.0,0.341954191913848
26,ResNet,0.0,0.5992523209684721,0.2687871720860007,26,FlexiBO+GP-Log,0.004332686362302139,106.8,26.0,0.341954191913848
27,ResNet,0.0,0.4928555196158487,0.4685995181149553,27,FlexiBO+GP-Log,0.006408830442180468,106.8,27.0,0.341954191913848
28,ResNet,0.0,0.14089823190470424,0.3526315850550125,28,FlexiBO+GP-Log,0.00933295025592207,106.8,28.0,0.3356799277795097
29,ResNet,0.0,0.207101698277098,0.4596751097352863,29,FlexiBO+GP-Log,0.009575728548092294,106.8,29.0,0.3356799277795097
30,ResNet,0.0,0.3986932221991231,0.250236778494256,30,FlexiBO+GP-Log,0.004606436611766019,106.8,30.0,0.3356799277795097
31,ResNet,17.8,0.4303442530570672,0.2120739497140044,31,FlexiBO+GP-Log,0.005644696761378384,124.6,31.0,0.3356799277795097
32,ResNet,17.8,0.5305286245768435,0.4995922055768242,32,FlexiBO+GP-Log,0.009340526663167406,142.4,32.0,0.3356799277795097
33,ResNet,17.8,0.4156005254723133,0.4079092268770384,33,FlexiBO+GP-Log,0.008385983370223851,160.20000000000002,33.0,0.3356799277795097
34,ResNet,17.8,0.5022250902975454,0.4077112553179395,34,FlexiBO+GP-Log,0.0039753126426016906,178.00000000000003,34.0,0.3356799277795097
35,ResNet,0.0,0.4353674023455493,0.5548637565436495,35,FlexiBO+GP-Log,6.215455004266569e-05,178.00000000000003,35.0,0.3356799277795097
36,ResNet,17.8,0.4205295717672376,0.40448353329326375,36,FlexiBO+GP-Log,0.00662479713096166,195.80000000000004,36.0,0.3356799277795097
37,ResNet,0.0,0.22440441158959995,0.5304283429705015,37,FlexiBO+GP-Log,0.007396788692402127,195.80000000000004,37.0,0.3356799277795097
38,ResNet,0.0,0.19942910755263907,0.2381213337240285,38,FlexiBO+GP-Log,0.007275796208893375,195.80000000000004,38.0,0.32594246873986177
39,ResNet,0.0,0.28414716369933235,0.29261738631072465,39,FlexiBO+GP-Log,0.00966051999091054,195.80000000000004,39.0,0.32594246873986177
40,ResNet,0.0,0.14796051965213095,0.5319673327213533,40,FlexiBO+GP-Log,0.004588628070416778,195.80000000000004,40.0,0.32594246873986177
41,ResNet,0.0,0.187655049793733,0.231473605823255,41,FlexiBO+GP-Log,0.006079999570542618,195.80000000000004,41.0,0.3239506535186898
42,ResNet,17.8,0.3567672058787526,0.5252249771806977,42,FlexiBO+GP-Log,0.00907607897777918,213.60000000000005,42.0,0.3239506535186898
43,ResNet,0.0,0.38852229598740695,0.4322219751853707,43,FlexiBO+GP-Log,0.00808024709553527,213.60000000000005,43.0,0.3239506535186898
44,ResNet,17.8,0.44770311332156987,0.1993011943864001,44,FlexiBO+GP-Log,0.008948555351417468,231.40000000000006,44.0,0.32362336101861233
45,ResNet,0.0,0.5047287873977039,0.199718116493126,45,FlexiBO+GP-Log,0.005456762347055718,231.40000000000006,45.0,0.32362336101861233
46,ResNet,0.0,0.4832653165543182,0.5282054930573834,46,FlexiBO+GP-Log,0.002684674584006925,231.40000000000006,46.0,0.32362336101861233
47,ResNet,0.0,0.28073264981561946,0.3848480189990773,47,FlexiBO+GP-Log,0.0022447667568665447,231.40000000000006,47.0,0.3236233610186121
48,ResNet,0.0,0.35643079719685355,0.35683850385084603,48,FlexiBO+GP-Log,0.00016523293980909572,231.40000000000006,48.0,0.3236233610186121
49,ResNet,0.0,0.2443398463598344,0.3654797708743947,49,FlexiBO+GP-Log,0.008620659127046893,231.40000000000006,49.0,0.32362336101861233
50,ResNet,0.0,0.4277509770967294,0.4974852352822423,50,FlexiBO+GP-Log,0.006601578499138119,231.40000000000006,50.0,0.32362336101861233
51,ResNet,0.0,0.15684023053948998,0.261929082413218,51,FlexiBO+GP-Log,0.005023340402549218,231.40000000000006,51.0,0.32082837979379786
52,ResNet,0.0,0.198187448183553,0.20191122935319605,52,FlexiBO+GP-Log,0.009972189989635205,231.40000000000006,52.0,0.31674031277989
53,ResNet,0.0,0.1765252073289313,0.5074554190394079,53,FlexiBO+GP-Log,0.005580812752363085,231.40000000000006,53.0,0.31674031277989
