,Error,Energy,Iteration,Cost,Method,Architecture
0,0.165561020407329,0.293890260849325,91,21.4,PAL,BERT-SQuAD
1,0.18082748343136198,0.23393375740768899,53,21.4,PAL,BERT-SQuAD
2,0.19230190165616398,0.194570451902492,179,21.4,PAL,BERT-SQuAD
3,0.236176281300788,0.171375064799148,148,21.4,PAL,BERT-SQuAD
4,0.24314751599876103,0.152467680662107,168,21.4,PAL,BERT-SQuAD
5,0.24743965855494898,0.14738024066269,4,21.4,PAL,BERT-SQuAD
6,0.5262171156783058,0.9708802843386527,48,21.4,PAL,BERT-SQuAD
7,0.2768800833681155,0.4811215123209053,92,21.4,PAL,BERT-SQuAD
8,0.44144944233601435,0.27974794633079725,42,21.4,PAL,BERT-SQuAD
9,0.220613335002974,0.7222444201979329,58,21.4,PAL,BERT-SQuAD
10,0.4670221146112892,0.7876515213646431,194,21.4,PAL,BERT-SQuAD
11,0.2899737483026494,0.38040061545025017,54,21.4,PAL,BERT-SQuAD
12,0.44150085480067525,0.26208779276986954,189,21.4,PAL,BERT-SQuAD
13,0.3065393350737266,0.5287935930085182,90,21.4,PAL,BERT-SQuAD
14,0.47349550155250253,0.5790243113187205,64,21.4,PAL,BERT-SQuAD
15,0.3909938900866482,0.4941738929968619,183,21.4,PAL,BERT-SQuAD
16,0.25656161100505803,0.35935604300877244,19,21.4,PAL,BERT-SQuAD
17,0.4660653051818465,0.4940804476215367,157,21.4,PAL,BERT-SQuAD
18,0.5541866196260524,0.5935783712129483,6,21.4,PAL,BERT-SQuAD
19,0.5538155268578264,0.38961973285651563,188,21.4,PAL,BERT-SQuAD
20,0.38585361257378625,0.4412299623344791,49,21.4,PAL,BERT-SQuAD
21,0.42154922374076775,0.67412133227782,10,21.4,PAL,BERT-SQuAD
22,0.3586301271115484,0.99590638121909,175,21.4,PAL,BERT-SQuAD
23,0.5406729622755112,0.24240410634497023,62,21.4,PAL,BERT-SQuAD
24,0.5558437209358247,0.310813695184405,149,21.4,PAL,BERT-SQuAD
25,0.491178625742586,0.6520023900246542,108,21.4,PAL,BERT-SQuAD
26,0.42614410264555663,0.22288300817775308,88,21.4,PAL,BERT-SQuAD
27,0.4704070429284598,0.6922060230654077,26,21.4,PAL,BERT-SQuAD
28,0.45545021707872185,0.6024111165336113,164,21.4,PAL,BERT-SQuAD
29,0.47737915730155006,0.6370294564767339,109,21.4,PAL,BERT-SQuAD
30,0.4557488457654315,0.5110806036456297,139,21.4,PAL,BERT-SQuAD
31,0.23703034107963772,0.575086207244518,7,21.4,PAL,BERT-SQuAD
32,0.2877231982913314,0.4899663620636441,180,21.4,PAL,BERT-SQuAD
33,0.25617211568098036,0.5682000383054205,55,21.4,PAL,BERT-SQuAD
34,0.25181413864866636,0.9583109880678691,71,21.4,PAL,BERT-SQuAD
35,0.34061329398832774,0.9815191623291455,81,21.4,PAL,BERT-SQuAD
36,0.3584679022523417,0.7730876113569428,197,21.4,PAL,BERT-SQuAD
37,0.504216076739648,0.6688701218537803,191,21.4,PAL,BERT-SQuAD
38,0.3698759236910509,0.25322364758421384,184,21.4,PAL,BERT-SQuAD
39,0.31528088140203125,0.4652106310299603,167,21.4,PAL,BERT-SQuAD
40,0.22290552342355346,0.8359640894016235,146,21.4,PAL,BERT-SQuAD
41,0.3017315559260879,0.34010226394458454,132,21.4,PAL,BERT-SQuAD
42,0.22238039386951622,0.4597450165180099,72,21.4,PAL,BERT-SQuAD
43,0.30997441230673967,0.5436774853285329,114,21.4,PAL,BERT-SQuAD
44,0.5434061837624603,0.9635729267045066,23,21.4,PAL,BERT-SQuAD
45,0.3123080656621406,0.520893297987539,115,21.4,PAL,BERT-SQuAD
46,0.5229742856873477,0.3575382968040299,145,21.4,PAL,BERT-SQuAD
47,0.4691355301904644,0.9913031323509814,89,21.4,PAL,BERT-SQuAD
48,0.3297804114900607,0.8725109955711094,122,21.4,PAL,BERT-SQuAD
49,0.22487552571163227,0.4542715950481443,16,21.4,PAL,BERT-SQuAD
50,0.32857944028649055,0.8034022679158009,34,21.4,PAL,BERT-SQuAD
51,0.4460409716590284,0.42913214876624084,101,21.4,PAL,BERT-SQuAD
52,0.48578311408642566,0.8122001359020743,150,21.4,PAL,BERT-SQuAD
53,0.3694150865603556,0.5955642383429866,29,21.4,PAL,BERT-SQuAD
54,0.21335659043292857,0.8079370251095718,123,21.4,PAL,BERT-SQuAD
55,0.5093785937019986,0.8069041641795781,118,21.4,PAL,BERT-SQuAD
56,0.3154551541053181,0.4581580121683212,125,21.4,PAL,BERT-SQuAD
57,0.5173752645980267,0.9985510842870334,35,21.4,PAL,BERT-SQuAD
58,0.3776492979106686,0.9328788779581453,32,21.4,PAL,BERT-SQuAD
59,0.43686858648222227,0.8860611193084166,96,21.4,PAL,BERT-SQuAD
60,0.27599505821524295,0.8681346570801008,181,21.4,PAL,BERT-SQuAD
61,0.5552653119698652,0.957619015480501,37,21.4,PAL,BERT-SQuAD
62,0.22227387668527046,0.4113541590078973,198,21.4,PAL,BERT-SQuAD
63,0.24729184778712746,0.41301362766093513,65,21.4,PAL,BERT-SQuAD
64,0.5550490950777581,0.5336202266239165,11,21.4,PAL,BERT-SQuAD
65,0.45409266461508185,0.9153716931332759,60,21.4,PAL,BERT-SQuAD
66,0.2804830025419448,0.7309924539990548,155,21.4,PAL,BERT-SQuAD
67,0.4854447854425502,0.5062671432223652,126,21.4,PAL,BERT-SQuAD
68,0.47115874170030586,0.7409861514628993,187,21.4,PAL,BERT-SQuAD
69,0.2959932952170572,0.2563015067213367,63,21.4,PAL,BERT-SQuAD
70,0.28869961630558366,0.80579851234763,119,21.4,PAL,BERT-SQuAD
71,0.28968306438285213,0.3771657551270755,161,21.4,PAL,BERT-SQuAD
72,0.2681245331933303,0.5733092065769382,47,21.4,PAL,BERT-SQuAD
73,0.5373497780416627,0.4184197772084848,142,21.4,PAL,BERT-SQuAD
74,0.2848372633169586,0.6259036917113519,30,21.4,PAL,BERT-SQuAD
75,0.32198816405531,0.6717961614229956,1,21.4,PAL,BERT-SQuAD
76,0.2794613883722582,0.5305267429868319,192,21.4,PAL,BERT-SQuAD
77,0.2937441633598167,0.9493576240701797,166,21.4,PAL,BERT-SQuAD
78,0.3727593310981655,0.5821059060800631,116,21.4,PAL,BERT-SQuAD
79,0.32307533328825133,0.40740425938166047,131,21.4,PAL,BERT-SQuAD
80,0.24773084504389056,0.6948302147951803,138,21.4,PAL,BERT-SQuAD
81,0.32754908989583065,0.36155486410641813,177,21.4,PAL,BERT-SQuAD
82,0.5449095762800962,0.6064697985539698,140,21.4,PAL,BERT-SQuAD
83,0.21452748921178424,0.8878695651139885,78,21.4,PAL,BERT-SQuAD
84,0.485080918044852,0.904854763011008,190,21.4,PAL,BERT-SQuAD
85,0.4111182403585972,0.36510000510191604,75,21.4,PAL,BERT-SQuAD
86,0.48985235788913706,0.26426327573652897,174,21.4,PAL,BERT-SQuAD
87,0.2881892765901613,0.335604014753074,56,21.4,PAL,BERT-SQuAD
88,0.5179149089555455,0.8168203070487008,136,21.4,PAL,BERT-SQuAD
89,0.4906316815828646,0.9087447033108099,87,21.4,PAL,BERT-SQuAD
90,0.534250817826657,0.7110760287173041,38,21.4,PAL,BERT-SQuAD
91,0.4001150407286528,0.22376364856392447,163,21.4,PAL,BERT-SQuAD
92,0.4405992088562374,0.6590815393012487,151,21.4,PAL,BERT-SQuAD
93,0.3577472598264613,0.2392368981154802,59,21.4,PAL,BERT-SQuAD
94,0.2189908515311148,0.8977034224022665,128,21.4,PAL,BERT-SQuAD
95,0.4282983829109131,0.29577256847912275,94,21.4,PAL,BERT-SQuAD
96,0.46450927426955047,0.31708496524542623,28,21.4,PAL,BERT-SQuAD
97,0.21757740000037595,0.6796991670069912,102,21.4,PAL,BERT-SQuAD
98,0.4761564492500767,0.8989885339375443,85,21.4,PAL,BERT-SQuAD
99,0.378646273569344,0.3136966532117091,50,21.4,PAL,BERT-SQuAD
100,0.501016047771864,0.34423018280514384,137,21.4,PAL,BERT-SQuAD
101,0.3021672736407962,0.6824285060398992,33,21.4,PAL,BERT-SQuAD
102,0.43353305693906885,0.9813168205369996,40,21.4,PAL,BERT-SQuAD
103,0.39212289036778436,0.8029252590334981,79,21.4,PAL,BERT-SQuAD
104,0.22539695164846366,0.9194576305137382,133,21.4,PAL,BERT-SQuAD
105,0.39348235538475973,0.9424352187428288,127,21.4,PAL,BERT-SQuAD
106,0.3205960865681637,0.4415002101704302,159,21.4,PAL,BERT-SQuAD
107,0.2714038306039735,0.7863116153663219,12,21.4,PAL,BERT-SQuAD
108,0.29466716894298606,0.8398004477656766,144,21.4,PAL,BERT-SQuAD
109,0.36995019426688164,0.8143791834441501,25,21.4,PAL,BERT-SQuAD
110,0.3612195842637199,0.9590236185912542,186,21.4,PAL,BERT-SQuAD
111,0.3022611078195604,0.8207151391737102,120,21.4,PAL,BERT-SQuAD
112,0.2661340976637942,0.5504588131714109,105,21.4,PAL,BERT-SQuAD
113,0.23629697400042377,0.43136152445957315,2,21.4,PAL,BERT-SQuAD
114,0.2593975527211836,0.686576662695084,61,21.4,PAL,BERT-SQuAD
115,0.5513213846890348,0.8897194975208771,9,21.4,PAL,BERT-SQuAD
116,0.5156294720337169,0.5502215775652971,124,21.4,PAL,BERT-SQuAD
117,0.5431563794361629,0.5406797525218784,97,21.4,PAL,BERT-SQuAD
118,0.29030442404201373,0.2645955072995925,24,21.4,PAL,BERT-SQuAD
119,0.500921078154462,0.20187459385718615,51,21.4,PAL,BERT-SQuAD
120,0.5586854047306116,0.6112172971325107,135,21.4,PAL,BERT-SQuAD
121,0.5246009695360607,0.3632298716127057,41,21.4,PAL,BERT-SQuAD
122,0.2281339750909241,0.7308567430438105,199,21.4,PAL,BERT-SQuAD
123,0.32651939063587254,0.3827931014761189,111,21.4,PAL,BERT-SQuAD
124,0.4794670612346569,0.5223958532218999,21,21.4,PAL,BERT-SQuAD
125,0.23482649508146672,0.3744081644523143,129,21.4,PAL,BERT-SQuAD
126,0.45321550285777834,0.7858967382857834,172,21.4,PAL,BERT-SQuAD
127,0.55607823449159,0.22289426665651146,185,21.4,PAL,BERT-SQuAD
128,0.33770760295305746,0.4914082967582961,8,21.4,PAL,BERT-SQuAD
129,0.4914243022056235,0.2633213685733435,141,21.4,PAL,BERT-SQuAD
130,0.31185310307746283,0.7783864141860587,110,21.4,PAL,BERT-SQuAD
131,0.4054554933366066,0.21497558833697247,171,21.4,PAL,BERT-SQuAD
132,0.28757207364018034,0.5437923448775258,112,21.4,PAL,BERT-SQuAD
133,0.5357093068396732,0.2966221925126094,99,21.4,PAL,BERT-SQuAD
134,0.4254776543549691,0.22874311841429756,178,21.4,PAL,BERT-SQuAD
135,0.31521659160845117,0.3505124020244238,14,21.4,PAL,BERT-SQuAD
136,0.516275624455954,0.8478063320704678,162,21.4,PAL,BERT-SQuAD
137,0.5344971266321461,0.690416219352632,134,21.4,PAL,BERT-SQuAD
138,0.28191489568523986,0.7247183165435087,95,21.4,PAL,BERT-SQuAD
139,0.22992073384872663,0.7815010980599848,18,21.4,PAL,BERT-SQuAD
140,0.2987894606583132,0.8142997353857948,103,21.4,PAL,BERT-SQuAD
141,0.22079866523965788,0.4012844770729295,170,21.4,PAL,BERT-SQuAD
142,0.437890704326801,0.7693266848604644,45,21.4,PAL,BERT-SQuAD
143,0.4221715764879187,0.4325081862389092,76,21.4,PAL,BERT-SQuAD
144,0.3602019354232418,0.23104120480565174,195,21.4,PAL,BERT-SQuAD
145,0.3830182080812786,0.9448416976496208,158,21.4,PAL,BERT-SQuAD
146,0.4964748646022755,0.2880485911333329,104,21.4,PAL,BERT-SQuAD
147,0.386558321027322,0.21327741888753773,77,21.4,PAL,BERT-SQuAD
148,0.5114532487751704,0.21643553382716507,169,21.4,PAL,BERT-SQuAD
149,0.3194936948692831,0.3957343458104471,152,21.4,PAL,BERT-SQuAD
150,0.5538645106627249,0.5894257208172371,143,21.4,PAL,BERT-SQuAD
151,0.27125302124491857,0.4783086170101023,80,21.4,PAL,BERT-SQuAD
152,0.35060976302146585,0.48966115311318315,196,21.4,PAL,BERT-SQuAD
153,0.4923983501154483,0.9070623696985202,17,21.4,PAL,BERT-SQuAD
154,0.32492769805996957,0.5420127922804668,165,21.4,PAL,BERT-SQuAD
155,0.2575517342562756,0.40195068823399305,130,21.4,PAL,BERT-SQuAD
156,0.5328792496062367,0.8601326914147079,117,21.4,PAL,BERT-SQuAD
157,0.2720003410537419,0.714966598919792,176,21.4,PAL,BERT-SQuAD
158,0.22468989820400428,0.5451629692966845,74,21.4,PAL,BERT-SQuAD
159,0.22672080329983157,0.8325758923458692,36,21.4,PAL,BERT-SQuAD
160,0.3917614643225259,0.3458658628704375,156,21.4,PAL,BERT-SQuAD
161,0.44349368366576425,0.7160102982785916,46,21.4,PAL,BERT-SQuAD
162,0.49631008440637797,0.7857627298125724,27,21.4,PAL,BERT-SQuAD
163,0.2488697027385928,0.3164116676977742,160,21.4,PAL,BERT-SQuAD
164,0.34452878832580996,0.3223967054705179,39,21.4,PAL,BERT-SQuAD
165,0.4572885246421481,0.6788944574501335,86,21.4,PAL,BERT-SQuAD
166,0.39495154118702885,0.6972117131242089,44,21.4,PAL,BERT-SQuAD
167,0.3292636930082689,0.5377761904149233,193,21.4,PAL,BERT-SQuAD
168,0.35659435146149987,0.8255801037345153,107,21.4,PAL,BERT-SQuAD
169,0.5320611781641175,0.349854176765951,15,21.4,PAL,BERT-SQuAD
170,0.3048660376693836,0.7718853192444005,113,21.4,PAL,BERT-SQuAD
171,0.4486761352263302,0.2384523512402168,153,21.4,PAL,BERT-SQuAD
172,0.5547296570551284,0.40576733273374577,173,21.4,PAL,BERT-SQuAD
173,0.3401278641233202,0.5762932370383168,69,21.4,PAL,BERT-SQuAD
174,0.33211596124843334,0.5482690055216556,100,21.4,PAL,BERT-SQuAD
175,0.29843251754215605,0.3207599768552363,20,21.4,PAL,BERT-SQuAD
176,0.5278168727609222,0.4433701133941321,121,21.4,PAL,BERT-SQuAD
177,0.3165498388455293,0.23778093839702935,93,21.4,PAL,BERT-SQuAD
178,0.39647440635006026,0.2905241567867608,43,21.4,PAL,BERT-SQuAD
179,0.45426663838306025,0.4622806723083924,98,21.4,PAL,BERT-SQuAD
180,0.24042654628689097,0.615196872541446,82,21.4,PAL,BERT-SQuAD
181,0.5419675896845966,0.7172027512229601,22,21.4,PAL,BERT-SQuAD
182,0.4115874703422806,0.3088437826544831,5,21.4,PAL,BERT-SQuAD
183,0.2757292250605414,0.9475602921392807,0,21.4,PAL,BERT-SQuAD
184,0.3279508820628694,0.906301257044443,83,21.4,PAL,BERT-SQuAD
185,0.33393085849777654,0.9636216545440229,106,21.4,PAL,BERT-SQuAD
186,0.34473864846066515,0.25418274191795087,182,21.4,PAL,BERT-SQuAD
187,0.5117146612839669,0.9686550357596652,73,21.4,PAL,BERT-SQuAD
188,0.28569879384304164,0.806439515929012,31,21.4,PAL,BERT-SQuAD
189,0.4315356663761437,0.847172188230885,3,21.4,PAL,BERT-SQuAD
190,0.4380396556209164,0.2704259204948321,147,21.4,PAL,BERT-SQuAD
191,0.47224751550419836,0.7167306368426667,57,21.4,PAL,BERT-SQuAD
192,0.48157073404566897,0.5228977601369327,66,21.4,PAL,BERT-SQuAD
193,0.4393491832046197,0.37761933174902806,13,21.4,PAL,BERT-SQuAD
194,0.24886427406881645,0.26624383243814753,68,21.4,PAL,BERT-SQuAD
195,0.5513823575780017,0.3991922162087052,84,21.4,PAL,BERT-SQuAD
196,0.23778162279477863,0.783146929469796,154,21.4,PAL,BERT-SQuAD
197,0.5023654117168164,0.8657218167044224,67,21.4,PAL,BERT-SQuAD
198,0.3355903514389537,0.3865481313133661,52,21.4,PAL,BERT-SQuAD
199,0.3023279046232286,0.3156983829431327,70,21.4,PAL,BERT-SQuAD
0,0.208446293382632,0.3163227853244939,141,21.4,PESMO,BERT-SQuAD
1,0.211420095025055,0.25176763570206895,171,21.4,PESMO,BERT-SQuAD
2,0.229930917660467,0.215993541189273,47,21.4,PESMO,BERT-SQuAD
3,0.272980189572743,0.20193117679833397,51,21.4,PESMO,BERT-SQuAD
4,0.34836799137288504,0.15148200042639998,138,21.4,PESMO,BERT-SQuAD
5,0.379430782277708,0.13207560303730498,79,21.4,PESMO,BERT-SQuAD
6,0.5131028265221769,0.6421473745133838,36,21.4,PESMO,BERT-SQuAD
7,0.4293587054476041,0.8269430361575216,84,21.4,PESMO,BERT-SQuAD
8,0.5295090078177618,0.6235735527358705,4,21.4,PESMO,BERT-SQuAD
9,0.4795866844247714,0.33041933016744923,99,21.4,PESMO,BERT-SQuAD
10,0.32010758943417533,0.8863397646953523,133,21.4,PESMO,BERT-SQuAD
11,0.3150631427018348,0.5554984886008801,177,21.4,PESMO,BERT-SQuAD
12,0.5249402507916381,0.9533563892132727,8,21.4,PESMO,BERT-SQuAD
13,0.3019430447819593,0.7221091354380806,49,21.4,PESMO,BERT-SQuAD
14,0.325945119718135,0.6029369752313204,29,21.4,PESMO,BERT-SQuAD
15,0.2856165616950025,0.6121529117377608,34,21.4,PESMO,BERT-SQuAD
16,0.5507099410372746,0.9566130334070534,192,21.4,PESMO,BERT-SQuAD
17,0.5240333141820019,0.47812302447400434,10,21.4,PESMO,BERT-SQuAD
18,0.45803052396443544,0.28242844010682566,143,21.4,PESMO,BERT-SQuAD
19,0.4901126248792387,0.8157433226037026,28,21.4,PESMO,BERT-SQuAD
20,0.322711840137592,0.8817066528631464,185,21.4,PESMO,BERT-SQuAD
21,0.3453126794288117,0.2704440626233843,85,21.4,PESMO,BERT-SQuAD
22,0.48242468632537394,0.23862778492308825,113,21.4,PESMO,BERT-SQuAD
