,Error,Energy,Iteration,Cost,Method,Architecture
0,0.165561020407329,0.293890260849325,68,21.4,PAL,BERT-SQuAD
1,0.18082748343136198,0.23393375740768899,54,21.4,PAL,BERT-SQuAD
2,0.19230190165616398,0.194570451902492,54,21.4,PAL,BERT-SQuAD
3,0.236176281300788,0.171375064799148,142,21.4,PAL,BERT-SQuAD
4,0.24314751599876103,0.152467680662107,150,21.4,PAL,BERT-SQuAD
5,0.24743965855494898,0.14738024066269,100,21.4,PAL,BERT-SQuAD
6,0.316034635600983,0.5102471147008769,6,21.4,PAL,BERT-SQuAD
7,0.5466887516675198,0.4664600256355267,7,21.4,PAL,BERT-SQuAD
8,0.33794777602939086,0.3574199770430082,8,21.4,PAL,BERT-SQuAD
9,0.5385070677499548,0.42168389467626477,9,21.4,PAL,BERT-SQuAD
10,0.2859933551122118,0.5836122237125057,10,21.4,PAL,BERT-SQuAD
11,0.21933214879424273,0.5207667441228242,11,21.4,PAL,BERT-SQuAD
12,0.3235166534628857,0.5549308281470224,12,21.4,PAL,BERT-SQuAD
13,0.45328948643470934,0.4186770891662769,13,21.4,PAL,BERT-SQuAD
14,0.25805379467990364,0.3373688453777913,14,21.4,PAL,BERT-SQuAD
15,0.20249820011221917,0.5660975459920661,15,21.4,PAL,BERT-SQuAD
16,0.5188430769423119,0.44489173684340994,16,21.4,PAL,BERT-SQuAD
17,0.3210446651036519,0.22972621030828166,17,21.4,PAL,BERT-SQuAD
18,0.4456674287956114,0.1703655604178215,18,21.4,PAL,BERT-SQuAD
19,0.4598017200492039,0.3876228070126899,19,21.4,PAL,BERT-SQuAD
20,0.4603960495333535,0.4223942554289018,20,21.4,PAL,BERT-SQuAD
21,0.18154598889872073,0.255675673025458,21,21.4,PAL,BERT-SQuAD
22,0.18808642485519775,0.3993393561304051,22,21.4,PAL,BERT-SQuAD
23,0.5412939521355068,0.48783883506959275,23,21.4,PAL,BERT-SQuAD
24,0.2676762788407908,0.48667127236320196,24,21.4,PAL,BERT-SQuAD
25,0.2191106557103825,0.27316778975321343,25,21.4,PAL,BERT-SQuAD
26,0.3833119832479885,0.5474844737324596,26,21.4,PAL,BERT-SQuAD
27,0.450754453590296,0.3384309460982168,27,21.4,PAL,BERT-SQuAD
28,0.3700322738661601,0.4191084256671915,28,21.4,PAL,BERT-SQuAD
29,0.3213438439712528,0.40535466628233413,29,21.4,PAL,BERT-SQuAD
30,0.5157914463641369,0.39381918568331614,30,21.4,PAL,BERT-SQuAD
31,0.40383986039233544,0.5016123695010857,31,21.4,PAL,BERT-SQuAD
32,0.3878256281275508,0.39684846156324105,32,21.4,PAL,BERT-SQuAD
33,0.26023355369883616,0.5824310657302438,33,21.4,PAL,BERT-SQuAD
34,0.19554990896629992,0.5924305026292158,34,21.4,PAL,BERT-SQuAD
35,0.38234592152289004,0.25702491238783864,35,21.4,PAL,BERT-SQuAD
36,0.447578553413605,0.43186670456232856,36,21.4,PAL,BERT-SQuAD
37,0.26727784007871863,0.54450076278816,37,21.4,PAL,BERT-SQuAD
38,0.40536957390263756,0.4049177323436291,38,21.4,PAL,BERT-SQuAD
39,0.18740563887018966,0.5837410347605089,39,21.4,PAL,BERT-SQuAD
40,0.4960202193929956,0.3743459195431223,40,21.4,PAL,BERT-SQuAD
41,0.5303448668223665,0.23607847024393525,41,21.4,PAL,BERT-SQuAD
42,0.3182242625244971,0.3754262710190468,42,21.4,PAL,BERT-SQuAD
43,0.19520618464035686,0.2242559430050178,43,21.4,PAL,BERT-SQuAD
44,0.3916370664522327,0.37126743505116155,44,21.4,PAL,BERT-SQuAD
45,0.172839416993694,0.49769002719217126,45,21.4,PAL,BERT-SQuAD
46,0.5431892383267047,0.5350623680826996,46,21.4,PAL,BERT-SQuAD
47,0.5411848664056497,0.3567187417953336,47,21.4,PAL,BERT-SQuAD
48,0.5034427252548732,0.527858491591664,48,21.4,PAL,BERT-SQuAD
49,0.1660331719608629,0.368680577319297,49,21.4,PAL,BERT-SQuAD
50,0.2614218951120772,0.5459182374405858,50,21.4,PAL,BERT-SQuAD
51,0.5158506845588327,0.18676840056764338,51,21.4,PAL,BERT-SQuAD
52,0.33340321593413186,0.4133689733965813,52,21.4,PAL,BERT-SQuAD
53,0.4044067944737207,0.5175496559355087,53,21.4,PAL,BERT-SQuAD
54,0.20432227292429128,0.22669637013389984,2,21.4,PAL,BERT-SQuAD
55,0.38576689508440437,0.5457521752154048,55,21.4,PAL,BERT-SQuAD
56,0.5047712294000097,0.197794994529138,56,21.4,PAL,BERT-SQuAD
57,0.23306441635096084,0.28293905138039727,57,21.4,PAL,BERT-SQuAD
58,0.21346402782376725,0.49899179235193647,58,21.4,PAL,BERT-SQuAD
59,0.21587083124571546,0.42995803260621146,59,21.4,PAL,BERT-SQuAD
60,0.30929639941118314,0.557130394286506,60,21.4,PAL,BERT-SQuAD
61,0.22439682217926432,0.27284219736837323,61,21.4,PAL,BERT-SQuAD
62,0.20333149785789892,0.34505448155523155,62,21.4,PAL,BERT-SQuAD
63,0.21185578937684296,0.2554159537586886,63,21.4,PAL,BERT-SQuAD
64,0.3507912150459877,0.5518259640744945,64,21.4,PAL,BERT-SQuAD
65,0.2146314788445915,0.3036106865526549,65,21.4,PAL,BERT-SQuAD
66,0.409207734202541,0.2887093313952453,66,21.4,PAL,BERT-SQuAD
67,0.2117140070707248,0.4962641946149454,67,21.4,PAL,BERT-SQuAD
68,0.27514696281713313,0.47077557954228855,0,21.4,PAL,BERT-SQuAD
69,0.26118999493871264,0.16000033881032102,69,21.4,PAL,BERT-SQuAD
70,0.3565899678444455,0.4818391683224616,70,21.4,PAL,BERT-SQuAD
71,0.40127805690671353,0.45055027606761633,71,21.4,PAL,BERT-SQuAD
72,0.3912226806644284,0.5233391978923556,72,21.4,PAL,BERT-SQuAD
73,0.43996244374173726,0.23050819384266558,73,21.4,PAL,BERT-SQuAD
74,0.4004616861611765,0.44526921813377474,74,21.4,PAL,BERT-SQuAD
75,0.371084560970532,0.33428027925315573,75,21.4,PAL,BERT-SQuAD
76,0.19657782776007718,0.5759309198544723,76,21.4,PAL,BERT-SQuAD
77,0.48159733863790083,0.36656169851760434,77,21.4,PAL,BERT-SQuAD
78,0.4559202240565805,0.22875036910766613,78,21.4,PAL,BERT-SQuAD
79,0.2760344017793465,0.4306046593640101,79,21.4,PAL,BERT-SQuAD
80,0.251588661257452,0.5226978343123792,80,21.4,PAL,BERT-SQuAD
81,0.2775853229780989,0.16951176208216095,81,21.4,PAL,BERT-SQuAD
82,0.2777144242294817,0.5929265055929431,82,21.4,PAL,BERT-SQuAD
83,0.2235475028432237,0.31786622938504516,83,21.4,PAL,BERT-SQuAD
84,0.25144447017241406,0.17926490678086568,84,21.4,PAL,BERT-SQuAD
85,0.1903035849331817,0.3100105547265044,85,21.4,PAL,BERT-SQuAD
86,0.2973506218463903,0.23510056156962428,86,21.4,PAL,BERT-SQuAD
87,0.45059158827965806,0.44973364567355834,87,21.4,PAL,BERT-SQuAD
88,0.44082086359030415,0.5178566817693354,88,21.4,PAL,BERT-SQuAD
89,0.22866429120863574,0.36695809596404705,89,21.4,PAL,BERT-SQuAD
90,0.4187516769629037,0.31321413498444095,90,21.4,PAL,BERT-SQuAD
91,0.49142717243326256,0.1594245877126132,91,21.4,PAL,BERT-SQuAD
92,0.410693186799761,0.49133546723393257,92,21.4,PAL,BERT-SQuAD
93,0.5004320562348621,0.2689411201874263,93,21.4,PAL,BERT-SQuAD
94,0.4167519054775799,0.5542331207267888,94,21.4,PAL,BERT-SQuAD
95,0.17981205390210608,0.3420888191590461,95,21.4,PAL,BERT-SQuAD
96,0.2204014234026026,0.26297136964973833,96,21.4,PAL,BERT-SQuAD
