,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.3755990374880968,0.3033097834927788,0,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.564985958240265,0.0003701375848731814
1,0.31750372517746417,0.5080507028185015,1,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.5364060101795095,0.00497122409851663
2,0.557678180727534,0.3143014609492718,2,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.5364060101795095,0.0012830331032815435
3,0.2385781086326474,0.1687359074724648,3,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.36705732244191813,0.005364656753269504
4,0.5341638951538001,0.31295794914476016,4,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.36705732244191813,0.009207233274749663
5,0.39605251052696056,0.09018089244114497,5,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.31961421832823556,0.009358797268441039
6,0.3038643162224765,0.26176421628580515,6,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.31961421832823556,0.001977914266228987
7,0.3850573244400425,0.1940742538526784,7,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.31961421832823556,0.006524074965079154
8,0.30104722333650524,0.3868012628718467,8,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.31961421832823556,0.009732572218636519
9,0.2446542269800557,0.3639274544954304,9,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.31961421832823556,0.003333235042907843
10,0.2196681678967201,0.5851232776559396,10,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.31176892409599355,0.0015918951226545363
11,0.39193352458697817,0.3306809095213649,11,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.31176892409599355,0.00038370738060612307
12,0.2677511320589152,0.10598234147954153,12,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.30371755507531617,0.0025501054333625928
13,0.35577417889319607,0.3742098669296232,13,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.30371755507531606,0.006911195696486389
14,0.3190443614504903,0.12234704109023654,14,21.4,FlexiBO+GP-Log,BERT-SQuAD,0.30371755507531606,0.002215273429464698
15,0.493617244454206,0.14279651677208755,15,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.30371755507531606,0.0029154083264198052
16,0.5521837263399443,0.4857730922907805,16,0.0,FlexiBO+GP-Log,BERT-SQuAD,0.30371755507531617,0.004260543807328162
