,Energy,Error,Method,Architecture
37,0.29357049136799,0.172145769791275,Log-FlexiBO+GP,BERT-SQuAD
38,0.28983711387578004,0.17874907814530203,Log-FlexiBO+GP,BERT-SQuAD
39,0.24069141389594498,0.179879801019874,Log-FlexiBO+GP,BERT-SQuAD
40,0.23860671094120997,0.20855589061825897,Log-FlexiBO+GP,BERT-SQuAD
41,0.21582244416702498,0.21309527100672898,Log-FlexiBO+GP,BERT-SQuAD
42,0.214303832473525,0.221534383739999,Log-FlexiBO+GP,BERT-SQuAD
43,0.18353398435801802,0.227716751024298,Log-FlexiBO+GP,BERT-SQuAD
44,0.106873140336414,0.23106302296572198,Log-FlexiBO+GP,BERT-SQuAD
45,0.10224540097866601,0.26202261066980803,Log-FlexiBO+GP,BERT-SQuAD
46,0.093616967859066,0.273433348109632,Log-FlexiBO+GP,BERT-SQuAD
47,0.081969156188831,0.283853515063167,Log-FlexiBO+GP,BERT-SQuAD
48,0.29824723046395896,0.195476390047742,Log-FlexiBO+RF,BERT-SQuAD
49,0.275362246900111,0.21850439150731002,Log-FlexiBO+RF,BERT-SQuAD
50,0.26105175884187304,0.22639023987829202,Log-FlexiBO+RF,BERT-SQuAD
51,0.251887272626505,0.22775173530226997,Log-FlexiBO+RF,BERT-SQuAD
52,0.23191565419058102,0.23977554643041,Log-FlexiBO+RF,BERT-SQuAD
53,0.22032482802488604,0.273960659931423,Log-FlexiBO+RF,BERT-SQuAD
54,0.190890428583243,0.276734614294969,Log-FlexiBO+RF,BERT-SQuAD
55,0.152149356830601,0.277014926948999,Log-FlexiBO+RF,BERT-SQuAD
56,0.14452788525197102,0.28448297486347196,Log-FlexiBO+RF,BERT-SQuAD
57,0.314643131505852,0.19030346598288897,Ratio-FlexiBO+GP,BERT-SQuAD
58,0.308473734199385,0.192506280403033,Ratio-FlexiBO+GP,BERT-SQuAD
59,0.25174051187417,0.19296801136705202,Ratio-FlexiBO+GP,BERT-SQuAD
60,0.24387657306444702,0.19437230851273102,Ratio-FlexiBO+GP,BERT-SQuAD
61,0.197541555446174,0.269570178560208,Ratio-FlexiBO+GP,BERT-SQuAD
62,0.14506777104685098,0.27099289122965803,Ratio-FlexiBO+GP,BERT-SQuAD
63,0.139944240466082,0.281744839658563,Ratio-FlexiBO+GP,BERT-SQuAD
64,0.2848583387135061,0.21616352784670603,Ratio-FlexiBO+RF,BERT-SQuAD
65,0.26133885487258396,0.229333824010062,Ratio-FlexiBO+RF,BERT-SQuAD
66,0.271496235290328,0.22942628092574802,Ratio-FlexiBO+RF,BERT-SQuAD
67,0.269725026146091,0.241672406840548,Ratio-FlexiBO+RF,BERT-SQuAD
68,0.24184992403569003,0.24191327970396304,Ratio-FlexiBO+RF,BERT-SQuAD
69,0.231221597725566,0.248949098540632,Ratio-FlexiBO+RF,BERT-SQuAD
70,0.215533067092494,0.252736091147275,Ratio-FlexiBO+RF,BERT-SQuAD
71,0.21448872094697,0.255397766420239,Ratio-FlexiBO+RF,BERT-SQuAD
72,0.210187064408293,0.257135756577637,Ratio-FlexiBO+RF,BERT-SQuAD
73,0.201220660322252,0.263285230841322,Ratio-FlexiBO+RF,BERT-SQuAD
74,0.175365958181863,0.27745300772749,Ratio-FlexiBO+RF,BERT-SQuAD
75,0.15959050632809,0.28750030543319105,Ratio-FlexiBO+RF,BERT-SQuAD
76,0.130740971534162,0.299530058993953,Ratio-FlexiBO+RF,BERT-SQuAD
77,0.262337551814933,0.160077712567194,FlexiBO+GP-No Cost,BERT-SQuAD
78,0.23174444836852398,0.160525578896933,FlexiBO+GP-No Cost,BERT-SQuAD
79,0.228924263872577,0.172819297383472,FlexiBO+GP-No Cost,BERT-SQuAD
80,0.20948592524352397,0.182159199911228,FlexiBO+GP-No Cost,BERT-SQuAD
81,0.193927429475119,0.185408634425923,FlexiBO+GP-No Cost,BERT-SQuAD
82,0.17723916114174898,0.19226065523694102,FlexiBO+GP-No Cost,BERT-SQuAD
83,0.17330317603811202,0.19263298433704604,FlexiBO+GP-No Cost,BERT-SQuAD
84,0.168713713759099,0.195682435308281,FlexiBO+GP-No Cost,BERT-SQuAD
85,0.15769753966658098,0.196793712894798,FlexiBO+GP-No Cost,BERT-SQuAD
86,0.14033251437699698,0.21063734581377397,FlexiBO+GP-No Cost,BERT-SQuAD
87,0.135243064544869,0.222179405895117,FlexiBO+GP-No Cost,BERT-SQuAD
88,0.323880085624511,0.197427562733768,FlexiBO+RF-No Cost,BERT-SQuAD
89,0.29412624174135404,0.22058710539390602,FlexiBO+RF-No Cost,BERT-SQuAD
90,0.282478900112235,0.237327499780315,FlexiBO+RF-No Cost,BERT-SQuAD
91,0.24726503069795103,0.24219763799219396,FlexiBO+RF-No Cost,BERT-SQuAD
92,0.217253958658456,0.253509321588407,FlexiBO+RF-No Cost,BERT-SQuAD
93,0.210151029799858,0.289030450188556,FlexiBO+RF-No Cost,BERT-SQuAD
94,0.19130659912974898,0.294390192452749,FlexiBO+RF-No Cost,BERT-SQuAD
95,0.18293628542792498,0.301110923382493,FlexiBO+RF-No Cost,BERT-SQuAD
96,0.179377646126347,0.317475470081109,FlexiBO+RF-No Cost,BERT-SQuAD
97,0.174325256524847,0.31909514171483194,FlexiBO+RF-No Cost,BERT-SQuAD
98,0.16843074941774303,0.32045163610843297,FlexiBO+RF-No Cost,BERT-SQuAD
