,Energy,Error,Method,Architecture
0,0.293890260849325,0.165561020407329,PAL,BERT-SQuAD
1,0.233933757407689,0.180827483431362,PAL,BERT-SQuAD
2,0.194570451902492,0.192301901656164,PAL,BERT-SQuAD
3,0.171375064799148,0.236176281300788,PAL,BERT-SQuAD
4,0.152467680662107,0.243147515998761,PAL,BERT-SQuAD
5,0.14738024066269,0.247439658554949,PAL,BERT-SQuAD
6,0.316322785324494,0.208446293382632,PESMO,BERT-SQuAD
7,0.251767635702069,0.211420095025055,PESMO,BERT-SQuAD
8,0.215993541189273,0.229930917660467,PESMO,BERT-SQuAD
9,0.201931176798334,0.272980189572743,PESMO,BERT-SQuAD
10,0.1514820004264,0.348367991372885,PESMO,BERT-SQuAD
11,0.132075603037305,0.379430782277708,PESMO,BERT-SQuAD
12,0.363634123496273,0.214767506396216,ParEGO,BERT-SQuAD
13,0.273387608748356,0.222549579008188,ParEGO,BERT-SQuAD
14,0.210041654294247,0.225633995156405,ParEGO,BERT-SQuAD
15,0.190482822179392,0.225853033309812,ParEGO,BERT-SQuAD
16,0.185201302875211,0.229654728283459,ParEGO,BERT-SQuAD
17,0.149853637878843,0.232073127099409,ParEGO,BERT-SQuAD
18,0.138831442235827,0.235586493799463,ParEGO,BERT-SQuAD
19,0.10566079350836,0.276762398212033,ParEGO,BERT-SQuAD
20,0.09852255411449,0.289395700298665,ParEGO,BERT-SQuAD
21,0.095444009857783,0.297953954461013,ParEGO,BERT-SQuAD
22,0.091723791610165,0.308516757289844,ParEGO,BERT-SQuAD
23,0.085387832717935,0.31100108995264,ParEGO,BERT-SQuAD
24,0.268403993117547,0.242361904733486,SMSEGO,BERT-SQuAD
25,0.238890439288474,0.243724242829479,SMSEGO,BERT-SQuAD
26,0.22597521394405,0.248195593800162,SMSEGO,BERT-SQuAD
27,0.218084679186222,0.249959437688523,SMSEGO,BERT-SQuAD
28,0.21134081981835,0.257269985804903,SMSEGO,BERT-SQuAD
29,0.207553365729771,0.262666066732534,SMSEGO,BERT-SQuAD
30,0.205527546919861,0.269960402166093,SMSEGO,BERT-SQuAD
31,0.191486357058492,0.270175401546627,SMSEGO,BERT-SQuAD
32,0.183980884860217,0.301316532153728,SMSEGO,BERT-SQuAD
33,0.181025588407118,0.30371766900138,SMSEGO,BERT-SQuAD
34,0.179939643789059,0.313020869902165,SMSEGO,BERT-SQuAD
35,0.174633968624614,0.318795942251591,SMSEGO,BERT-SQuAD
36,0.170979934323872,0.330843165539049,SMSEGO,BERT-SQuAD
37,0.29357049136799,0.172145769791275,Log-FlexiBO+GP,BERT-SQuAD
38,0.28983711387578,0.178749078145302,Log-FlexiBO+GP,BERT-SQuAD
39,0.240691413895945,0.179879801019874,Log-FlexiBO+GP,BERT-SQuAD
40,0.23860671094121,0.208555890618259,Log-FlexiBO+GP,BERT-SQuAD
41,0.215822444167025,0.213095271006729,Log-FlexiBO+GP,BERT-SQuAD
42,0.214303832473525,0.221534383739999,Log-FlexiBO+GP,BERT-SQuAD
43,0.183533984358018,0.227716751024298,Log-FlexiBO+GP,BERT-SQuAD
44,0.106873140336414,0.231063022965722,Log-FlexiBO+GP,BERT-SQuAD
45,0.102245400978666,0.262022610669808,Log-FlexiBO+GP,BERT-SQuAD
46,0.093616967859066,0.273433348109632,Log-FlexiBO+GP,BERT-SQuAD
47,0.081969156188831,0.283853515063167,Log-FlexiBO+GP,BERT-SQuAD
48,0.298247230463959,0.195476390047742,Log-FlexiBO+RF,BERT-SQuAD
49,0.275362246900111,0.21850439150731,Log-FlexiBO+RF,BERT-SQuAD
50,0.261051758841873,0.226390239878292,Log-FlexiBO+RF,BERT-SQuAD
51,0.251887272626505,0.22775173530227,Log-FlexiBO+RF,BERT-SQuAD
52,0.231915654190581,0.23977554643041,Log-FlexiBO+RF,BERT-SQuAD
53,0.220324828024886,0.273960659931423,Log-FlexiBO+RF,BERT-SQuAD
