,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,BERT-SQuAD,0.0,0.5392533661803887,0.20231187667029693,0,FlexiBO+GP-Log,0.0049456328213200364,0.0,0.0,0.6324678823379564
1,BERT-SQuAD,0.0,0.2676701853885295,0.2275242869558248,1,FlexiBO+GP-Log,0.006995959661321845,0.0,1.0,0.42267647110495976
2,BERT-SQuAD,0.0,0.5286732665457828,0.33416996734998305,2,FlexiBO+GP-Log,0.009428019289197934,0.0,2.0,0.42267647110495976
3,BERT-SQuAD,0.0,0.30980096875850394,0.340291024305286,3,FlexiBO+GP-Log,0.0054349657914977536,0.0,3.0,0.42267647110495976
4,BERT-SQuAD,0.0,0.3586308687068717,0.2793710886466043,4,FlexiBO+GP-Log,0.009963782156646877,0.0,4.0,0.42267647110495976
5,BERT-SQuAD,0.0,0.4030312490007423,0.27066336727498,5,FlexiBO+GP-Log,0.000779720734311865,0.0,5.0,0.42267647110495976
6,BERT-SQuAD,0.0,0.4187809191571316,0.4062313036710086,6,FlexiBO+GP-Log,0.00960998462115921,0.0,6.0,0.42267647110495976
7,BERT-SQuAD,0.0,0.38020248442202265,0.35027160250737177,7,FlexiBO+GP-Log,0.009244007099480906,0.0,7.0,0.42267647110495976
8,BERT-SQuAD,0.0,0.4207581278489541,0.30192392162881143,8,FlexiBO+GP-Log,0.0022240416720630827,0.0,8.0,0.42267647110495976
9,BERT-SQuAD,21.4,0.47110628288786105,0.5437006298309562,9,FlexiBO+GP-Log,0.006054464484789356,21.4,9.0,0.42267647110495976
10,BERT-SQuAD,0.0,0.4223579781239198,0.2635089355085369,10,FlexiBO+GP-Log,0.00938014343221367,21.4,10.0,0.42267647110495976
11,BERT-SQuAD,0.0,0.19412205831630386,0.34712743634746746,11,FlexiBO+GP-Log,0.009203921431060968,21.4,11.0,0.3746589168314736
12,BERT-SQuAD,0.0,0.1085040717723306,0.5260014306738832,12,FlexiBO+GP-Log,0.0016597853730419975,21.4,12.0,0.3340761137010475
13,BERT-SQuAD,0.0,0.16598478241795356,0.481715990824807,13,FlexiBO+GP-Log,0.0035186653277213846,21.4,13.0,0.3328300420617343
14,BERT-SQuAD,0.0,0.4247054081207686,0.24213446285225634,14,FlexiBO+GP-Log,0.0026596846409793983,21.4,14.0,0.3328300420617343
15,BERT-SQuAD,0.0,0.29905474250026165,0.317430560167067,15,FlexiBO+GP-Log,0.006492885897804891,21.4,15.0,0.3328300420617343
16,BERT-SQuAD,0.0,0.2591983508339324,0.5104849881711735,16,FlexiBO+GP-Log,0.001867454700146161,21.4,16.0,0.3328300420617343
17,BERT-SQuAD,0.0,0.4372648422210239,0.2142574039461903,17,FlexiBO+GP-Log,0.004273505692737578,21.4,17.0,0.33147697224604
18,BERT-SQuAD,0.0,0.3349143133818347,0.3632180680737597,18,FlexiBO+GP-Log,0.004047814621064491,21.4,18.0,0.33147697224604
19,BERT-SQuAD,0.0,0.4953095954644837,0.3967199247307336,19,FlexiBO+GP-Log,0.004528009200092183,21.4,19.0,0.3314769722460401
20,BERT-SQuAD,0.0,0.2579656069562621,0.3826319688823144,20,FlexiBO+GP-Log,0.008934226952018063,21.4,20.0,0.3314769722460401
21,BERT-SQuAD,0.0,0.4679124006267477,0.2616797762174825,21,FlexiBO+GP-Log,0.0017494197746095608,21.4,21.0,0.3314769722460401
22,BERT-SQuAD,0.0,0.39280952466296304,0.4841486567438717,22,FlexiBO+GP-Log,0.006538309082530435,21.4,22.0,0.33147697224604
23,BERT-SQuAD,0.0,0.511823053440338,0.3665296674894711,23,FlexiBO+GP-Log,0.007957624429749892,21.4,23.0,0.33147697224604
24,BERT-SQuAD,0.0,0.20843145117876505,0.40090700854273,24,FlexiBO+GP-Log,0.008334130969914038,21.4,24.0,0.33147697224604
25,BERT-SQuAD,0.0,0.5739734454944799,0.24955265038082425,25,FlexiBO+GP-Log,0.008813055210404609,21.4,25.0,0.33147697224604
26,BERT-SQuAD,21.4,0.23860671094120997,0.20855589061825894,26,FlexiBO+GP-Log,0.009708435437208802,42.8,26.0,0.32365117407143096
27,BERT-SQuAD,0.0,0.4905792934262837,0.34257253269430804,27,FlexiBO+GP-Log,0.00714421528986148,42.8,27.0,0.32365117407143096
28,BERT-SQuAD,0.0,0.08536663690922651,0.43332214975658,28,FlexiBO+GP-Log,0.003104014036225451,42.8,28.0,0.30385076043589043
29,BERT-SQuAD,0.0,0.3139171286655616,0.5491103491893258,29,FlexiBO+GP-Log,0.007374100939997991,42.8,29.0,0.30385076043589043
30,BERT-SQuAD,0.0,0.5083079505997776,0.4489483052193731,30,FlexiBO+GP-Log,0.0064075372826503,42.8,30.0,0.30385076043589043
31,BERT-SQuAD,0.0,0.14408405232573113,0.5285464316914115,31,FlexiBO+GP-Log,0.005164491803287251,42.8,31.0,0.30385076043589043
32,BERT-SQuAD,0.0,0.48417549948663896,0.2361438024261496,32,FlexiBO+GP-Log,0.004166112888939803,42.8,32.0,0.30385076043589043
33,BERT-SQuAD,0.0,0.25074591693695303,0.18437823407873385,33,FlexiBO+GP-Log,0.005054431833702037,42.8,33.0,0.2886124609628016
34,BERT-SQuAD,21.4,0.5465887021280698,0.32765452067753553,34,FlexiBO+GP-Log,8.434297013368508e-05,64.19999999999999,34.0,0.2886124609628016
35,BERT-SQuAD,0.0,0.31701454529520423,0.2642466878169858,35,FlexiBO+GP-Log,0.008428168445611119,64.19999999999999,35.0,0.2886124609628016
36,BERT-SQuAD,0.0,0.214303832473525,0.221534383739999,36,FlexiBO+GP-Log,0.003279593975001428,64.19999999999999,36.0,0.28556018826889673
37,BERT-SQuAD,0.0,0.4321456954934216,0.332102415648708,37,FlexiBO+GP-Log,0.008965456160761703,64.19999999999999,37.0,0.28556018826889673
38,BERT-SQuAD,0.0,0.2657061812153856,0.4443911048784122,38,FlexiBO+GP-Log,0.006324468374316939,64.19999999999999,38.0,0.28556018826889673
39,BERT-SQuAD,0.0,0.366337664282248,0.18950985441749404,39,FlexiBO+GP-Log,0.007053200341943415,64.19999999999999,39.0,0.28556018826889673
40,BERT-SQuAD,21.4,0.3802489342754327,0.473056735043358,40,FlexiBO+GP-Log,1.8159492536251598e-05,85.6,40.0,0.28556018826889673
41,BERT-SQuAD,21.4,0.323424440625575,0.2828902159298019,41,FlexiBO+GP-Log,0.0007973978597221299,107.0,41.0,0.28556018826889673
42,BERT-SQuAD,0.0,0.245881239661222,0.43923638323125375,42,FlexiBO+GP-Log,0.005016074961581196,107.0,42.0,0.28556018826889673
43,BERT-SQuAD,21.4,0.5300587579010134,0.3318835352236774,43,FlexiBO+GP-Log,0.0013061162715255635,128.4,43.0,0.28556018826889673
44,BERT-SQuAD,0.0,0.1404401252711659,0.4493437130560968,44,FlexiBO+GP-Log,0.0036728634500446094,128.4,44.0,0.28556018826889673
45,BERT-SQuAD,21.4,0.4339181844538455,0.21502760216361624,45,FlexiBO+GP-Log,0.009274391506732187,149.8,45.0,0.28556018826889673
46,BERT-SQuAD,0.0,0.3783996718137277,0.33947154786012645,46,FlexiBO+GP-Log,0.0017801502096044094,149.8,46.0,0.28556018826889673
47,BERT-SQuAD,0.0,0.09003659510368595,0.3756486025030945,47,FlexiBO+GP-Log,0.00679930403266234,149.8,47.0,0.2795572103879029
48,BERT-SQuAD,21.4,0.3622110672419521,0.5443648880461679,48,FlexiBO+GP-Log,0.0038224324952569814,171.20000000000002,48.0,0.2795572103879029
49,BERT-SQuAD,21.4,0.4505935817990806,0.3510256125945046,49,FlexiBO+GP-Log,0.008125509952932628,192.60000000000002,49.0,0.2795572103879029
50,BERT-SQuAD,0.0,0.4791915405136803,0.5587072199984701,50,FlexiBO+GP-Log,0.007464691102866319,192.60000000000002,50.0,0.2795572103879029
51,BERT-SQuAD,0.0,0.335121687429468,0.4241203135354811,51,FlexiBO+GP-Log,0.0017186182781514935,192.60000000000002,51.0,0.2795572103879029
52,BERT-SQuAD,21.4,0.4038706293472015,0.30109472594495257,52,FlexiBO+GP-Log,0.007558306661333307,214.00000000000003,52.0,0.2795572103879029
53,BERT-SQuAD,0.0,0.5270003141690314,0.5213288557121868,53,FlexiBO+GP-Log,0.005797683470933547,214.00000000000003,53.0,0.2795572103879029
54,BERT-SQuAD,21.4,0.44994446142599376,0.4434993333039463,54,FlexiBO+GP-Log,0.0037413095613564296,235.40000000000003,54.0,0.2795572103879029
55,BERT-SQuAD,0.0,0.423252516619386,0.4367918257874329,55,FlexiBO+GP-Log,0.008211026418665987,235.40000000000003,55.0,0.2795572103879029
56,BERT-SQuAD,0.0,0.09211802475829198,0.4572898657538471,56,FlexiBO+GP-Log,0.00679521652346172,235.40000000000003,56.0,0.2795572103879029
57,BERT-SQuAD,0.0,0.08306007333447113,0.5559776851776723,57,FlexiBO+GP-Log,0.005232624432094346,235.40000000000003,57.0,0.2785330446901552
58,BERT-SQuAD,0.0,0.5803405181978103,0.4193808403196676,58,FlexiBO+GP-Log,0.004124696037058243,235.40000000000003,58.0,0.2785330446901553
59,BERT-SQuAD,0.0,0.2635410261112265,0.3887183424371821,59,FlexiBO+GP-Log,0.0068758004913988405,235.40000000000003,59.0,0.2785330446901553
60,BERT-SQuAD,0.0,0.4949526705533411,0.3954201547693805,60,FlexiBO+GP-Log,0.0095939066991739,235.40000000000003,60.0,0.2785330446901553
61,BERT-SQuAD,21.4,0.25575577063283794,0.2825792777540531,61,FlexiBO+GP-Log,0.001649483149134325,256.8,61.0,0.2785330446901553
62,BERT-SQuAD,0.0,0.4759652518223477,0.3345856820241789,62,FlexiBO+GP-Log,0.007428092273414785,256.8,62.0,0.2785330446901553
63,BERT-SQuAD,0.0,0.33875125284590313,0.3054956699064113,63,FlexiBO+GP-Log,0.0026160303804506524,256.8,63.0,0.2785330446901552
64,BERT-SQuAD,0.0,0.2406914138959449,0.179879801019874,64,FlexiBO+GP-Log,0.0003970520689031398,256.8,64.0,0.2748742515233473
65,BERT-SQuAD,0.0,0.4766042464977857,0.262433396629675,65,FlexiBO+GP-Log,0.008723049983297591,256.8,65.0,0.2748742515233473
66,BERT-SQuAD,0.0,0.5038165084553063,0.3877828539326844,66,FlexiBO+GP-Log,0.0027674327805745783,256.8,66.0,0.2748742515233473
67,BERT-SQuAD,21.4,0.10379638219618297,0.3652354965520252,67,FlexiBO+GP-Log,0.0017484161840416882,278.2,67.0,0.2739336806878065
68,BERT-SQuAD,21.4,0.10224540097866601,0.26202261066980803,68,FlexiBO+GP-Log,0.0067206627325528566,299.59999999999997,68.0,0.262717108835515
69,BERT-SQuAD,21.4,0.2560627965674601,0.2175387891201691,69,FlexiBO+GP-Log,0.008576158885091945,320.99999999999994,69.0,0.262717108835515
70,BERT-SQuAD,0.0,0.1182632511710442,0.3979897089675303,70,FlexiBO+GP-Log,0.0028585076858282945,320.99999999999994,70.0,0.262717108835515
71,BERT-SQuAD,0.0,0.10794363774518828,0.5431560326120068,71,FlexiBO+GP-Log,0.009461929186311377,320.99999999999994,71.0,0.2627171088355149
72,BERT-SQuAD,0.0,0.10635715485216864,0.5092947794750475,72,FlexiBO+GP-Log,0.0035048908970307336,320.99999999999994,72.0,0.2627171088355149
73,BERT-SQuAD,0.0,0.17632859927720895,0.3262510833487483,73,FlexiBO+GP-Log,0.00849846089577415,320.99999999999994,73.0,0.2627171088355149
74,BERT-SQuAD,0.0,0.515471869458523,0.4523039237141274,74,FlexiBO+GP-Log,0.003073178024781954,320.99999999999994,74.0,0.262717108835515
75,BERT-SQuAD,0.0,0.3829299815538975,0.2547781699579513,75,FlexiBO+GP-Log,0.0031149080234476514,320.99999999999994,75.0,0.262717108835515
76,BERT-SQuAD,0.0,0.5954883375805151,0.4035886769192114,76,FlexiBO+GP-Log,6.682757324173783e-05,320.99999999999994,76.0,0.262717108835515
77,BERT-SQuAD,0.0,0.13742396000487495,0.24693993325099986,77,FlexiBO+GP-Log,9.4155274840938e-05,320.99999999999994,77.0,0.2615575545190713
78,BERT-SQuAD,21.4,0.5472899630640948,0.5408538413154663,78,FlexiBO+GP-Log,0.002971841266157791,342.3999999999999,78.0,0.2615575545190713
79,BERT-SQuAD,21.4,0.4957164318936506,0.3239654260760367,79,FlexiBO+GP-Log,0.003406572506736873,363.7999999999999,79.0,0.2615575545190713
80,BERT-SQuAD,0.0,0.3299192152910433,0.40727801551633375,80,FlexiBO+GP-Log,0.00207709011790008,363.7999999999999,80.0,0.2615575545190713
81,BERT-SQuAD,0.0,0.5696694120362129,0.4071258256669237,81,FlexiBO+GP-Log,0.006492412884587139,363.7999999999999,81.0,0.26155755451907137
82,BERT-SQuAD,21.4,0.455752039475761,0.3299855843283781,82,FlexiBO+GP-Log,0.004016631320741856,385.1999999999999,82.0,0.26155755451907137
83,BERT-SQuAD,21.4,0.4586300255005911,0.1792612513062413,83,FlexiBO+GP-Log,0.008312149231795928,406.59999999999985,83.0,0.26122269027637524
84,BERT-SQuAD,0.0,0.5033185641962941,0.5107904892782875,84,FlexiBO+GP-Log,0.008137132155077432,406.59999999999985,84.0,0.26122269027637524
85,BERT-SQuAD,0.0,0.5138369095303432,0.23829516865317305,85,FlexiBO+GP-Log,0.006195415041793211,406.59999999999985,85.0,0.26122269027637524
86,BERT-SQuAD,0.0,0.5256353358800998,0.2054594743571656,86,FlexiBO+GP-Log,0.001364515916082063,406.59999999999985,86.0,0.26122269027637524
87,BERT-SQuAD,21.4,0.2117464987359196,0.4657257824995018,87,FlexiBO+GP-Log,0.005919023130692026,427.99999999999983,87.0,0.26122269027637524
88,BERT-SQuAD,21.4,0.4656956402200557,0.2828085547138817,88,FlexiBO+GP-Log,0.006793324127512236,449.3999999999998,88.0,0.26122269027637524
89,BERT-SQuAD,0.0,0.18353398435801802,0.227716751024298,89,FlexiBO+GP-Log,0.006906731947567895,449.3999999999998,89.0,0.2606311958789629
90,BERT-SQuAD,0.0,0.09476088249413472,0.3176291154730809,90,FlexiBO+GP-Log,0.006910956489573472,449.3999999999998,90.0,0.2601969479558237
91,BERT-SQuAD,0.0,0.16378592956720994,0.4056653639749488,91,FlexiBO+GP-Log,0.009438576481218706,449.3999999999998,91.0,0.2601969479558237
92,BERT-SQuAD,21.4,0.4008744201342997,0.4460193225179558,92,FlexiBO+GP-Log,0.007731094285219745,470.7999999999998,92.0,0.2601969479558237
93,BERT-SQuAD,0.0,0.584882441800443,0.2122720473352281,93,FlexiBO+GP-Log,0.002687873311783446,470.7999999999998,93.0,0.2601969479558237
94,BERT-SQuAD,21.4,0.5764356065775924,0.41824388322056005,94,FlexiBO+GP-Log,0.0011434702107298725,492.19999999999976,94.0,0.2601969479558237
95,BERT-SQuAD,0.0,0.34533855988252465,0.30394855737505544,95,FlexiBO+GP-Log,0.0019921560448171467,492.19999999999976,95.0,0.2601969479558237
96,BERT-SQuAD,0.0,0.3352774460621211,0.32570705922218823,96,FlexiBO+GP-Log,0.002603933161212568,492.19999999999976,96.0,0.2601969479558237
97,BERT-SQuAD,21.4,0.3880401886905561,0.3049901192690761,97,FlexiBO+GP-Log,0.005730200539314272,513.5999999999998,97.0,0.2601969479558237
98,BERT-SQuAD,21.4,0.081969156188831,0.283853515063167,98,FlexiBO+GP-Log,0.007567412445639206,534.9999999999998,98.0,0.25740354702292656
99,BERT-SQuAD,0.0,0.3852082692460093,0.4422040386481521,99,FlexiBO+GP-Log,0.0017425444895814734,534.9999999999998,99.0,0.25740354702292656
100,BERT-SQuAD,0.0,0.4450680905457835,0.1915998480357082,100,FlexiBO+GP-Log,0.002466781101444765,534.9999999999998,100.0,0.25740354702292656
101,BERT-SQuAD,21.4,0.3818806749219524,0.4294827856818457,101,FlexiBO+GP-Log,0.00035078419757271885,556.3999999999997,101.0,0.25740354702292656
102,BERT-SQuAD,21.4,0.3353405524717886,0.5518920599124084,102,FlexiBO+GP-Log,0.0020425316492681954,577.7999999999997,102.0,0.25740354702292656
103,BERT-SQuAD,0.0,0.2817164301365238,0.451451751565303,103,FlexiBO+GP-Log,0.00015444933680357933,577.7999999999997,103.0,0.25740354702292656
104,BERT-SQuAD,0.0,0.29357049136799,0.172145769791275,104,FlexiBO+GP-Log,0.002844413050913064,577.7999999999997,104.0,0.2522748633850589
105,BERT-SQuAD,21.4,0.37658833268328895,0.2702087950847918,105,FlexiBO+GP-Log,0.0013637396181461429,599.1999999999997,105.0,0.2522748633850589
106,BERT-SQuAD,0.0,0.15343192220909913,0.2648350724050419,106,FlexiBO+GP-Log,0.004866935457854929,599.1999999999997,106.0,0.2522748633850589
107,BERT-SQuAD,21.4,0.4228907478370785,0.3666787718001835,107,FlexiBO+GP-Log,0.0065470596482505175,620.5999999999997,107.0,0.2522748633850589
108,BERT-SQuAD,0.0,0.1630966650793878,0.5287181933604499,108,FlexiBO+GP-Log,0.0076178225949863265,620.5999999999997,108.0,0.2522748633850589
109,BERT-SQuAD,0.0,0.1374114490876068,0.5577195665186854,109,FlexiBO+GP-Log,0.00973495613712685,620.5999999999997,109.0,0.2522748633850589
110,BERT-SQuAD,0.0,0.4409578820470418,0.17623363087957386,110,FlexiBO+GP-Log,0.00822687670899575,620.5999999999997,110.0,0.2522748633850589
111,BERT-SQuAD,0.0,0.23229827427677016,0.4827770640830967,111,FlexiBO+GP-Log,0.00491056478631712,620.5999999999997,111.0,0.2522748633850589
112,BERT-SQuAD,0.0,0.3901108666034833,0.20853044337731808,112,FlexiBO+GP-Log,0.006037220845252293,620.5999999999997,112.0,0.2522748633850589
113,BERT-SQuAD,0.0,0.2344610360556992,0.43046657683524703,113,FlexiBO+GP-Log,0.000941216496464331,620.5999999999997,113.0,0.2522748633850589
114,BERT-SQuAD,0.0,0.37916462818754537,0.29919673628230825,114,FlexiBO+GP-Log,0.006484319051623072,620.5999999999997,114.0,0.2522748633850589
115,BERT-SQuAD,0.0,0.13544229047926395,0.4225002949158061,115,FlexiBO+GP-Log,0.0070611303853957705,620.5999999999997,115.0,0.2522748633850589
116,BERT-SQuAD,0.0,0.4017294422836791,0.1864730103884416,116,FlexiBO+GP-Log,0.007851183541429581,620.5999999999997,116.0,0.2522748633850589
117,BERT-SQuAD,21.4,0.21176646348139366,0.4825120852108114,117,FlexiBO+GP-Log,0.009228091848607609,641.9999999999997,117.0,0.2522748633850589
118,BERT-SQuAD,0.0,0.20462664046775486,0.4971975232640014,118,FlexiBO+GP-Log,0.0019444464719542774,641.9999999999997,118.0,0.2522748633850589
119,BERT-SQuAD,0.0,0.2104290943494473,0.2724363401167837,119,FlexiBO+GP-Log,0.006820580912577259,641.9999999999997,119.0,0.2522748633850589
120,BERT-SQuAD,21.4,0.1029788774713383,0.5274937667151205,120,FlexiBO+GP-Log,0.000730104961085507,663.3999999999996,120.0,0.2522748633850589
121,BERT-SQuAD,0.0,0.4328667341521241,0.4219858187475399,121,FlexiBO+GP-Log,0.005827702144845117,663.3999999999996,121.0,0.2522748633850589
122,BERT-SQuAD,0.0,0.20902585239077345,0.3618439031583416,122,FlexiBO+GP-Log,0.009640160675643984,663.3999999999996,122.0,0.2522748633850589
123,BERT-SQuAD,0.0,0.2685086114296057,0.23775773234889444,123,FlexiBO+GP-Log,0.0023541018989269307,663.3999999999996,123.0,0.2522748633850589
124,BERT-SQuAD,21.4,0.12035989691801995,0.31274878314436794,124,FlexiBO+GP-Log,0.008615961380136183,684.7999999999996,124.0,0.2522748633850589
125,BERT-SQuAD,0.0,0.5993998144576749,0.39599911195283294,125,FlexiBO+GP-Log,0.00181369375092918,684.7999999999996,125.0,0.2522748633850589
126,BERT-SQuAD,0.0,0.2979702730776973,0.4980979248076299,126,FlexiBO+GP-Log,0.009290326570525212,684.7999999999996,126.0,0.2522748633850589
127,BERT-SQuAD,0.0,0.2775870203224383,0.2825170697343559,127,FlexiBO+GP-Log,0.0008627306860071628,684.7999999999996,127.0,0.2522748633850589
128,BERT-SQuAD,0.0,0.4186325745554577,0.4258091803599531,128,FlexiBO+GP-Log,0.004806014770060567,684.7999999999996,128.0,0.2522748633850589
129,BERT-SQuAD,0.0,0.3322521930308467,0.5024157561289309,129,FlexiBO+GP-Log,0.009611298084714236,684.7999999999996,129.0,0.2522748633850589
130,BERT-SQuAD,21.4,0.24357515459226825,0.3537171198542613,130,FlexiBO+GP-Log,0.003105208180354185,706.1999999999996,130.0,0.2522748633850589
131,BERT-SQuAD,0.0,0.2493199089439751,0.3348431662859208,131,FlexiBO+GP-Log,0.007252378311758789,706.1999999999996,131.0,0.2522748633850589
132,BERT-SQuAD,0.0,0.5331776672986714,0.17430847094375532,132,FlexiBO+GP-Log,0.004280912860837514,706.1999999999996,132.0,0.2522748633850589
133,BERT-SQuAD,0.0,0.4554124141626518,0.44542774192247214,133,FlexiBO+GP-Log,0.0017324007948007435,706.1999999999996,133.0,0.2522748633850589
134,BERT-SQuAD,0.0,0.3300672025241039,0.34482911940369965,134,FlexiBO+GP-Log,0.0084874542040232,706.1999999999996,134.0,0.252274863385059
135,BERT-SQuAD,0.0,0.3566551414898028,0.18769657503643514,135,FlexiBO+GP-Log,0.00528391952057189,706.1999999999996,135.0,0.252274863385059
136,BERT-SQuAD,21.4,0.2227504500045145,0.4942024174993445,136,FlexiBO+GP-Log,0.0036896332103228814,727.5999999999996,136.0,0.252274863385059
137,BERT-SQuAD,0.0,0.2032192571587872,0.40949784554266144,137,FlexiBO+GP-Log,0.004423661067459443,727.5999999999996,137.0,0.252274863385059
138,BERT-SQuAD,0.0,0.3927772903292613,0.5391471707454689,138,FlexiBO+GP-Log,0.005859794859686853,727.5999999999996,138.0,0.252274863385059
139,BERT-SQuAD,0.0,0.31906639277909143,0.3533413001169068,139,FlexiBO+GP-Log,0.0015261565628693974,727.5999999999996,139.0,0.252274863385059
140,BERT-SQuAD,0.0,0.5537124727971956,0.4839539867076276,140,FlexiBO+GP-Log,0.0007120934451566419,727.5999999999996,140.0,0.252274863385059
141,BERT-SQuAD,0.0,0.4159691768225593,0.4943114163947726,141,FlexiBO+GP-Log,0.004695143766638345,727.5999999999996,141.0,0.2522748633850589
142,BERT-SQuAD,0.0,0.42796321758853945,0.42686438941203175,142,FlexiBO+GP-Log,0.00940520783978688,727.5999999999996,142.0,0.2522748633850589
143,BERT-SQuAD,0.0,0.1899389425455664,0.3110372400765325,143,FlexiBO+GP-Log,0.008180984079661231,727.5999999999996,143.0,0.2522748633850589
144,BERT-SQuAD,0.0,0.5227356243333044,0.4811423223177659,144,FlexiBO+GP-Log,0.0072882204040299065,727.5999999999996,144.0,0.2522748633850589
145,BERT-SQuAD,0.0,0.5776106017358619,0.21888080402888246,145,FlexiBO+GP-Log,0.00954665892404222,727.5999999999996,145.0,0.2522748633850589
146,BERT-SQuAD,0.0,0.093616967859066,0.273433348109632,146,FlexiBO+GP-Log,0.009782514138419109,727.5999999999996,146.0,0.25218495367140525
147,BERT-SQuAD,0.0,0.3968903319111999,0.3898631093699997,147,FlexiBO+GP-Log,0.003034329152714448,727.5999999999996,147.0,0.25218495367140525
148,BERT-SQuAD,0.0,0.4435665183015911,0.4706965244245776,148,FlexiBO+GP-Log,0.0042992204059686635,727.5999999999996,148.0,0.25218495367140525
149,BERT-SQuAD,0.0,0.19451491278580413,0.4215305473971708,149,FlexiBO+GP-Log,0.0028404263481989936,727.5999999999996,149.0,0.25218495367140525
150,BERT-SQuAD,0.0,0.111492449000038,0.2964225485503181,150,FlexiBO+GP-Log,0.007707483110553517,727.5999999999996,150.0,0.25218495367140525
151,BERT-SQuAD,0.0,0.4225512638784269,0.3931666931679984,151,FlexiBO+GP-Log,0.007885945236537253,727.5999999999996,151.0,0.25218495367140525
152,BERT-SQuAD,21.4,0.11866817078574934,0.4285773218090522,152,FlexiBO+GP-Log,0.004433924482736447,748.9999999999995,152.0,0.25218495367140525
153,BERT-SQuAD,21.4,0.3660375418352493,0.4398528126402418,153,FlexiBO+GP-Log,0.0008253314853344353,770.3999999999995,153.0,0.25218495367140525
154,BERT-SQuAD,0.0,0.22966744681331536,0.4248345301026827,154,FlexiBO+GP-Log,0.005831217315478267,770.3999999999995,154.0,0.25218495367140525
155,BERT-SQuAD,0.0,0.18864986111345985,0.4180289001414424,155,FlexiBO+GP-Log,0.0030367626765658642,770.3999999999995,155.0,0.25218495367140525
156,BERT-SQuAD,0.0,0.4490262176671639,0.21890440192466126,156,FlexiBO+GP-Log,0.009427607835107214,770.3999999999995,156.0,0.25218495367140525
157,BERT-SQuAD,21.4,0.5340275750378177,0.214856043421884,157,FlexiBO+GP-Log,0.006630275934191272,791.7999999999995,157.0,0.25218495367140514
158,BERT-SQuAD,0.0,0.2720917390596225,0.23662805118092065,158,FlexiBO+GP-Log,0.002477938182649387,791.7999999999995,158.0,0.25218495367140514
159,BERT-SQuAD,0.0,0.2946897983652137,0.22010978997511235,159,FlexiBO+GP-Log,0.009604661583297694,791.7999999999995,159.0,0.25218495367140514
160,BERT-SQuAD,21.4,0.2523503053074057,0.4787730963351681,160,FlexiBO+GP-Log,0.003920529047249342,813.1999999999995,160.0,0.25218495367140514
161,BERT-SQuAD,21.4,0.106873140336414,0.23106302296572198,161,FlexiBO+GP-Log,0.004600219836066646,834.5999999999995,161.0,0.2505070281705408
162,BERT-SQuAD,21.4,0.5529595967606826,0.5370997536418318,162,FlexiBO+GP-Log,0.0041925580964016895,855.9999999999994,162.0,0.2505070281705408
163,BERT-SQuAD,0.0,0.210038766962948,0.3547653336260039,163,FlexiBO+GP-Log,0.00027190690904920324,855.9999999999994,163.0,0.2505070281705408
164,BERT-SQuAD,21.4,0.5982161600385325,0.3274244162251705,164,FlexiBO+GP-Log,0.0002591058340237784,877.3999999999994,164.0,0.2505070281705408
165,BERT-SQuAD,21.4,0.3663184435105634,0.35777443559597377,165,FlexiBO+GP-Log,0.007328650779455709,898.7999999999994,165.0,0.25050702817054105
166,BERT-SQuAD,0.0,0.1367642890775637,0.44230338698059257,166,FlexiBO+GP-Log,0.006156219914835476,898.7999999999994,166.0,0.25050702817054105
167,BERT-SQuAD,21.4,0.10634736288056423,0.44364516494245865,167,FlexiBO+GP-Log,0.0016217681903390026,920.1999999999994,167.0,0.25050702817054105
168,BERT-SQuAD,0.0,0.38007233097009663,0.4325316260240246,168,FlexiBO+GP-Log,0.007448152161036059,920.1999999999994,168.0,0.25050702817054105
169,BERT-SQuAD,0.0,0.5763820000868769,0.3883872517948883,169,FlexiBO+GP-Log,0.008055518987280944,920.1999999999994,169.0,0.25050702817054105
