,Unnamed: 0,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD,Total_Cost
0,0,0.4498788344737331,0.2597910658984959,0,18.1,PAL,BERT-IMDB,0.4072046015608751,0.0052332821906638256,18.1
1,1,0.3612837066324506,0.2423107714569891,1,18.1,PAL,BERT-IMDB,0.4839484555795099,0.00013098432256008485,36.2
2,2,0.4031685268082814,0.8361018212647863,2,18.1,PAL,BERT-IMDB,0.4839484555795099,0.0047980643005730884,54.300000000000004
3,3,0.4082919908294217,0.21994543264493555,3,18.1,PAL,BERT-IMDB,0.4971822056824157,0.005769482752432878,72.4
4,4,0.2451505612205694,0.3413994783898248,4,18.1,PAL,BERT-IMDB,0.573667555826911,0.003779942306424458,90.5
5,5,0.384786258444682,0.6880557229284778,5,18.1,PAL,BERT-IMDB,0.5736675558269109,0.005483002560244858,108.6
6,6,0.3406237276271673,0.684114203138939,6,18.1,PAL,BERT-IMDB,0.5736675558269109,0.0023882093501208282,126.69999999999999
7,7,0.5188678530134005,0.2556440348753042,7,18.1,PAL,BERT-IMDB,0.5736675558269109,0.006565727099367808,144.79999999999998
8,8,0.5380458740164051,0.8383238633748277,8,18.1,PAL,BERT-IMDB,0.5736675558269109,0.00818860687876327,162.89999999999998
9,9,0.2987387763335789,0.4414069227418621,9,18.1,PAL,BERT-IMDB,0.5736675558269109,0.005974262415550834,180.99999999999997
10,10,0.3875169062455378,0.8266718507895053,10,18.1,PAL,BERT-IMDB,0.5736675558269109,0.006251140049770013,199.09999999999997
11,11,0.3250407653632059,0.5692735182746547,11,18.1,PAL,BERT-IMDB,0.5736675558269109,0.006190165065501243,217.19999999999996
12,12,0.5543363511265972,0.3619378651875146,12,18.1,PAL,BERT-IMDB,0.5736675558269109,0.009741613455537791,235.29999999999995
13,13,0.4006356625129737,0.6946162525375477,13,18.1,PAL,BERT-IMDB,0.5736675558269109,0.009823581338974641,253.39999999999995
14,14,0.4002261594114125,0.4297643797297298,14,18.1,PAL,BERT-IMDB,0.5736675558269109,0.00866760588091637,271.49999999999994
15,15,0.362566973710342,0.3029731956641576,15,18.1,PAL,BERT-IMDB,0.5736675558269109,0.007710778220755702,289.59999999999997
16,16,0.26505473475681274,0.46818172896223903,16,18.1,PAL,BERT-IMDB,0.5736675558269109,0.004383723383430548,307.7
17,17,0.4965579185460428,0.9814663475245136,17,18.1,PAL,BERT-IMDB,0.5736675558269109,0.003381316712095871,325.8
18,18,0.4941116795942879,0.8604019141853928,18,18.1,PAL,BERT-IMDB,0.5736675558269109,0.0014170567862712758,343.90000000000003
19,19,0.3585834437758325,0.991263882507704,19,18.1,PAL,BERT-IMDB,0.5736675558269109,0.005760354697325885,362.00000000000006
20,20,0.5483829933525954,0.47238865371562505,20,18.1,PAL,BERT-IMDB,0.5736675558269109,0.001675179861950925,380.1000000000001
21,21,0.5027826119866258,0.7573209915322502,21,18.1,PAL,BERT-IMDB,0.5736675558269109,2.8848269340420175e-06,398.2000000000001
22,22,0.32649259925535196,0.091684591101343,22,18.1,PAL,BERT-IMDB,0.6653290587821892,0.0010679276644010504,416.3000000000001
23,23,0.30666267354993826,0.6839224029322793,23,18.1,PAL,BERT-IMDB,0.6653290587821892,0.009469500992165042,434.40000000000015
24,24,0.2696402838120989,0.5616922010621663,24,18.1,PAL,BERT-IMDB,0.6653290587821892,0.003381996373986681,452.50000000000017
25,25,0.29531073651497425,0.27599092585973983,25,18.1,PAL,BERT-IMDB,0.667368619289229,0.008782557412319382,470.6000000000002
26,26,0.461503720802885,0.4195725496640892,26,18.1,PAL,BERT-IMDB,0.667368619289229,0.008179213837573484,488.7000000000002
27,27,0.5132710247753791,0.21851933896655584,27,18.1,PAL,BERT-IMDB,0.667368619289229,0.0068943557824909674,506.80000000000024
28,28,0.2653983612308048,0.6888845327497176,28,18.1,PAL,BERT-IMDB,0.667368619289229,0.008253125575167058,524.9000000000002
29,29,0.35248369595264994,0.1992087967731224,29,18.1,PAL,BERT-IMDB,0.667368619289229,0.004864247495810144,543.0000000000002
30,30,0.4315767096213513,0.6584160196163223,30,18.1,PAL,BERT-IMDB,0.667368619289229,0.009264165930813846,561.1000000000003
31,31,0.2972619205685306,0.4832309178911431,31,18.1,PAL,BERT-IMDB,0.667368619289229,0.0018541673778871024,579.2000000000003
32,32,0.5355040075665345,0.8271707768302088,32,18.1,PAL,BERT-IMDB,0.667368619289229,0.0007907641545077227,597.3000000000003
33,33,0.22728616482085,0.152308744981725,33,18.1,PAL,BERT-IMDB,0.6958535770153179,0.004659081686994353,615.4000000000003
34,34,0.3520464833317857,0.6911025166700882,34,18.1,PAL,BERT-IMDB,0.6958535770153179,0.00284058816226688,633.5000000000003
35,35,0.47670967433839395,0.8050179856032025,35,18.1,PAL,BERT-IMDB,0.6958535770153179,0.004355828378643638,651.6000000000004
36,36,0.17919353439274502,0.301598170565055,36,18.1,PAL,BERT-IMDB,0.7294415580886453,0.004821084114508801,669.7000000000004
37,37,0.5072393500922129,0.8561936751473499,37,18.1,PAL,BERT-IMDB,0.7294415580886453,0.007735307111243909,687.8000000000004
38,38,0.5408506447197142,0.885382002395272,38,18.1,PAL,BERT-IMDB,0.7294415580886453,0.0031219899583709693,705.9000000000004
39,39,0.32951085841660804,0.7550835393653621,39,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0049041918283880045,724.0000000000005
40,40,0.4742968355454785,0.4112982327122091,40,18.1,PAL,BERT-IMDB,0.7294415580886452,0.002796949009232909,742.1000000000005
41,41,0.312205940047128,0.6264043638499343,41,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0001441293773843988,760.2000000000005
42,42,0.3285737588396519,0.9184699673061256,42,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0033038829849528733,778.3000000000005
43,43,0.4667707343415374,0.23858678113079435,43,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0007054896469003857,796.4000000000005
44,44,0.3091086819900649,0.5421500973530962,44,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0040780771158384676,814.5000000000006
45,45,0.3848849085561321,0.6014597430285282,45,18.1,PAL,BERT-IMDB,0.7294415580886452,0.0035486822670135467,832.6000000000006
46,46,0.3327244236132744,0.4593986087674029,46,18.1,PAL,BERT-IMDB,0.7294415580886452,0.009127385593169956,850.7000000000006
47,47,0.3729882525635938,0.8003089450011718,47,18.1,PAL,BERT-IMDB,0.7294415580886452,0.007487061054441119,868.8000000000006
48,48,0.3006256994598552,0.2918499136003921,48,18.1,PAL,BERT-IMDB,0.7294415580886452,0.009462130827710745,886.9000000000007
49,49,0.4056975168036855,0.7904995518628742,49,18.1,PAL,BERT-IMDB,0.7294415580886452,0.002345446772940869,905.0000000000007
50,50,0.3609057477845791,0.8543206802012431,50,18.1,PAL,BERT-IMDB,0.7294415580886453,0.007211727258077761,923.1000000000007
51,51,0.4730825718178925,0.7601285307396335,51,18.1,PAL,BERT-IMDB,0.7294415580886453,0.009044038541143284,941.2000000000007
