,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,BERT-SQuAD,21.4,0.5900915905674191,0.3053008785243576,0,PAL,0.0014425115741401762,21.4,0.0,0.7152369880817082
1,BERT-SQuAD,21.4,0.2091804232043577,0.3940436059141311,1,PAL,0.007273721129491852,42.8,1.0,0.4844214306393486
2,BERT-SQuAD,21.4,0.3825602034541936,0.2247595227284208,2,PAL,0.00963149930623113,64.19999999999999,2.0,0.4162750909917714
3,BERT-SQuAD,21.4,0.4720439831593949,0.5434522407756093,3,PAL,0.008251209295232008,85.6,3.0,0.4162750909917714
4,BERT-SQuAD,21.4,0.15285205645324285,0.3107654799164987,4,PAL,0.006025070725996525,107.0,4.0,0.3630128929818917
5,BERT-SQuAD,21.4,0.15762463033148846,0.4177057458927238,5,PAL,0.0069282931409288115,128.4,5.0,0.3630128929818917
6,BERT-SQuAD,21.4,0.43742311941161227,0.5213243591989559,6,PAL,0.006149034514733405,149.8,6.0,0.3630128929818917
7,BERT-SQuAD,21.4,0.4733466586201819,0.3575000979223685,7,PAL,0.006441385666624528,171.20000000000002,7.0,0.3630128929818917
8,BERT-SQuAD,21.4,0.451411430937502,0.2689172436005798,8,PAL,0.005167162707856509,192.60000000000002,8.0,0.3630128929818917
9,BERT-SQuAD,21.4,0.4767337870319002,0.2947260112465241,9,PAL,0.0013292932861389815,214.00000000000003,9.0,0.3630128929818917
10,BERT-SQuAD,21.4,0.4904664648779698,0.19235529759433492,10,PAL,0.005658857346868982,235.40000000000003,10.0,0.3465018535964308
11,BERT-SQuAD,21.4,0.2724095431549718,0.3605657647279799,11,PAL,0.005317761005200498,256.8,11.0,0.3465018535964308
12,BERT-SQuAD,21.4,0.4927725271965985,0.40039061242417984,12,PAL,0.007545479330429414,278.2,12.0,0.3465018535964308
13,BERT-SQuAD,21.4,0.4290129983777824,0.4617874490364789,13,PAL,0.0029265711946132303,299.59999999999997,13.0,0.3465018535964308
14,BERT-SQuAD,21.4,0.49512124197183294,0.4212671283027323,14,PAL,0.006531291141273198,320.99999999999994,14.0,0.3465018535964308
15,BERT-SQuAD,21.4,0.5843590131682537,0.4839218210415838,15,PAL,0.0024859262119656922,342.3999999999999,15.0,0.3465018535964308
16,BERT-SQuAD,21.4,0.4943561995074589,0.19284105305570026,16,PAL,0.0075221693044110645,363.7999999999999,16.0,0.3465018535964308
17,BERT-SQuAD,21.4,0.3810382452542952,0.3815024024856111,17,PAL,0.002470796666797914,385.1999999999999,17.0,0.3465018535964308
18,BERT-SQuAD,21.4,0.19921885956398933,0.4197602758942439,18,PAL,0.0007687240089249727,406.59999999999985,18.0,0.3465018535964308
19,BERT-SQuAD,21.4,0.242539261508826,0.2515010299704063,19,PAL,0.0073380083447153735,427.99999999999983,19.0,0.33820358949110485
20,BERT-SQuAD,21.4,0.579783686941584,0.25026325715568515,20,PAL,0.001592263266412014,449.3999999999998,20.0,0.33820358949110485
21,BERT-SQuAD,21.4,0.16181537002419194,0.2867574906460373,21,PAL,0.007149468196117847,470.7999999999998,21.0,0.33626557117047184
22,BERT-SQuAD,21.4,0.431593362761039,0.5539444144505401,22,PAL,0.003890509317274735,492.19999999999976,22.0,0.33626557117047184
23,BERT-SQuAD,21.4,0.4629957958809748,0.25827191073263617,23,PAL,0.00585750395553402,513.5999999999998,23.0,0.33626557117047184
24,BERT-SQuAD,21.4,0.5119402425378048,0.5518332772082304,24,PAL,0.002690304910297322,534.9999999999998,24.0,0.33626557117047184
25,BERT-SQuAD,21.4,0.17550295649643374,0.23655237810228866,25,PAL,0.004099286054103904,556.3999999999997,25.0,0.33080688161742033
26,BERT-SQuAD,21.4,0.26999033339348644,0.5189400144010465,26,PAL,0.004241348733628423,577.7999999999997,26.0,0.33080688161742033
27,BERT-SQuAD,21.4,0.3176132546270793,0.4421270746159268,27,PAL,0.007522556628406256,599.1999999999997,27.0,0.33080688161742033
28,BERT-SQuAD,21.4,0.4708852039291749,0.2718236068558247,28,PAL,0.0029057670918976,620.5999999999997,28.0,0.33080688161742033
29,BERT-SQuAD,21.4,0.19535454598967114,0.4421926021208949,29,PAL,0.008694640996482756,641.9999999999997,29.0,0.33080688161742033
30,BERT-SQuAD,21.4,0.1483831510868436,0.3486615001059761,30,PAL,0.0035544013524815344,663.3999999999996,30.0,0.3278961114999015
31,BERT-SQuAD,21.4,0.4341830168997128,0.3421748283414641,31,PAL,0.00947168652822224,684.7999999999996,31.0,0.3278961114999015
32,BERT-SQuAD,21.4,0.3403409176234099,0.3616274475524545,32,PAL,0.009556334748957084,706.1999999999996,32.0,0.3278961114999015
33,BERT-SQuAD,21.4,0.3623168504538775,0.4778876607642771,33,PAL,0.0066575429356897685,727.5999999999996,33.0,0.3278961114999015
