,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.231936920016182,0.41175665949974816,0,15.7,PAL,SqueezeNet,0.5481920081154068,0.0033124983720934776
1,0.4059006214707668,0.3129018421530949,1,15.7,PAL,SqueezeNet,0.4894624225651393,0.005452922680514155
2,0.3974228513251047,0.4463812466252765,2,15.7,PAL,SqueezeNet,0.4894624225651393,0.0020332300298489714
3,0.1731750072543096,0.5580011195199212,3,15.7,PAL,SqueezeNet,0.4634897229095235,0.005429358886012061
4,0.3999313725652112,0.43437250353861706,4,15.7,PAL,SqueezeNet,0.4634897229095235,0.009320820678654786
5,0.4784980961572455,0.20603122382204025,5,15.7,PAL,SqueezeNet,0.40775649198502617,0.007918679579586804
6,0.1900258552696029,0.21332943266943305,6,15.7,PAL,SqueezeNet,0.3515630942753908,0.0018274315302038368
7,0.28556214979894107,0.4502397239717547,7,15.7,PAL,SqueezeNet,0.3515630942753908,0.009749774603750575
8,0.277614216355693,0.24684416502022244,8,15.7,PAL,SqueezeNet,0.3515630942753908,0.008949340012076132
9,0.36325189369354,0.38249488590791897,9,15.7,PAL,SqueezeNet,0.3515630942753908,0.0007982005287489968
10,0.3733599589035079,0.3029075953646502,10,15.7,PAL,SqueezeNet,0.3515630942753908,0.006047526637697229
11,0.3772031009294916,0.5089498742482472,11,15.7,PAL,SqueezeNet,0.3515630942753908,0.00654515164781154
12,0.17432149264904132,0.2576048643564376,12,15.7,PAL,SqueezeNet,0.34684556255444465,6.641078919147669e-05
13,0.17992165165356194,0.30012235691665323,13,15.7,PAL,SqueezeNet,0.34684556255444465,0.006082758369712356
14,0.5056609984456419,0.3714533749157021,14,15.7,PAL,SqueezeNet,0.34684556255444465,0.006609630192326267
15,0.15784593478163705,0.5467114267929158,15,15.7,PAL,SqueezeNet,0.3398841256968965,0.0001320406256736839
16,0.15300707604595998,0.2888835299520465,16,15.7,PAL,SqueezeNet,0.3321952751194883,0.0047747657594031405
17,0.3988490769127566,0.5611900865056006,17,15.7,PAL,SqueezeNet,0.3321952751194883,0.00898960407948068
18,0.42197062431733023,0.4430250710206724,18,15.7,PAL,SqueezeNet,0.3321952751194883,0.00637434077691757
19,0.1562939183474935,0.5115399796582424,19,15.7,PAL,SqueezeNet,0.3321952751194883,0.0027090638964780735
20,0.3215178505824601,0.4427975980939571,20,15.7,PAL,SqueezeNet,0.3321952751194883,0.008068543967057114
21,0.508679896184156,0.3877990429735795,21,15.7,PAL,SqueezeNet,0.3321952751194883,0.007487670906638309
22,0.3102801261189036,0.4064618035391603,22,15.7,PAL,SqueezeNet,0.3321952751194883,0.00013217709667692645
23,0.24358444845052726,0.17687829603991345,23,15.7,PAL,SqueezeNet,0.30842909830982235,0.004038953054486324
24,0.3966345843753972,0.528497729343484,24,15.7,PAL,SqueezeNet,0.30842909830982235,0.0005265598239786107
25,0.14834747534143844,0.5044908360914526,25,15.7,PAL,SqueezeNet,0.3061202234605772,0.008609882477914535
26,0.3716187570783279,0.5313821078139687,26,15.7,PAL,SqueezeNet,0.3061202234605772,0.008005881734748956
27,0.3897391152882079,0.4018573772542799,27,15.7,PAL,SqueezeNet,0.3061202234605772,0.005236082388254738
28,0.5595126650638923,0.514032100373673,28,15.7,PAL,SqueezeNet,0.3061202234605772,0.000676096891993816
29,0.3007676554333474,0.5077951966884218,29,15.7,PAL,SqueezeNet,0.3061202234605772,0.009343408798160296
30,0.254274813241647,0.5489860582536921,30,15.7,PAL,SqueezeNet,0.3061202234605772,0.0003170347972894272
31,0.3958674253676654,0.5669588914261199,31,15.7,PAL,SqueezeNet,0.3061202234605771,0.0025646860628721134
32,0.4044769316737731,0.5440306541115759,32,15.7,PAL,SqueezeNet,0.3061202234605772,0.0032772032199108094
33,0.2134026052898975,0.4171022731269318,33,15.7,PAL,SqueezeNet,0.3061202234605771,0.003979700004153994
34,0.4444640972394528,0.2028866956638518,34,15.7,PAL,SqueezeNet,0.3061202234605771,0.0036228047046010592
35,0.4172051300949734,0.5804364593770623,35,15.7,PAL,SqueezeNet,0.3061202234605772,0.009638785681840489
36,0.22143570657924172,0.3874168088850928,36,15.7,PAL,SqueezeNet,0.3061202234605772,0.0014199201602520695
37,0.4105628131254589,0.35520735538548903,37,15.7,PAL,SqueezeNet,0.3061202234605772,0.00570438268479402
38,0.5260531917223589,0.35046358584167314,38,15.7,PAL,SqueezeNet,0.3061202234605772,0.006999068827757168
39,0.4548792210523445,0.3627783680012805,39,15.7,PAL,SqueezeNet,0.3061202234605772,0.006847035800345419
40,0.16199532544722667,0.4849066710278952,40,15.7,PAL,SqueezeNet,0.3061202234605772,0.004788159034389159
