,Error,Energy,Iteration,Cost,Method,Architecture
0,0.13033556317845899,0.36181655114009603,114,15.7,PAL,SqueezeNet
1,0.138141392622194,0.292000493446826,109,15.7,PAL,SqueezeNet
2,0.148048927437159,0.181541754603559,178,15.7,PAL,SqueezeNet
3,0.150353345142988,0.17270638913616798,70,15.7,PAL,SqueezeNet
4,0.151232809483517,0.17267304813440398,79,15.7,PAL,SqueezeNet
5,0.15209707520108498,0.143466330589369,80,15.7,PAL,SqueezeNet
6,0.173236065919705,0.143466330589369,177,15.7,PAL,SqueezeNet
7,0.19165936221634697,0.11809382824716401,92,15.7,PAL,SqueezeNet
8,0.24995022409009,0.10787481120657699,66,15.7,PAL,SqueezeNet
9,0.27112364492566,0.10669120564396499,80,15.7,PAL,SqueezeNet
10,0.29695003394907105,0.10292367244466198,160,15.7,PAL,SqueezeNet
11,0.28451594494612376,0.3732592102719309,48,15.7,PAL,SqueezeNet
12,0.3374949625530131,0.4858998972734559,87,15.7,PAL,SqueezeNet
13,0.4703518795472983,0.22669984284230493,149,15.7,PAL,SqueezeNet
14,0.49201599858700407,0.12851717388748785,71,15.7,PAL,SqueezeNet
15,0.19885113729629356,0.5061607054154766,15,15.7,PAL,SqueezeNet
16,0.13980914898341348,0.5876370492169741,90,15.7,PAL,SqueezeNet
17,0.3968190321972759,0.1606136590268075,102,15.7,PAL,SqueezeNet
18,0.5361165510167129,0.2785137015595626,169,15.7,PAL,SqueezeNet
19,0.5079789423109823,0.42848487142988545,199,15.7,PAL,SqueezeNet
20,0.4074405584999933,0.41469116667291456,89,15.7,PAL,SqueezeNet
21,0.3918032369252349,0.5558683922138532,28,15.7,PAL,SqueezeNet
22,0.1940496766758384,0.35771465349204445,166,15.7,PAL,SqueezeNet
23,0.3614149097091919,0.14552592654254676,128,15.7,PAL,SqueezeNet
24,0.3569698878927364,0.48229408120032746,193,15.7,PAL,SqueezeNet
25,0.40359028361424587,0.4967648847347785,112,15.7,PAL,SqueezeNet
26,0.4733181410349502,0.23172043380059482,20,15.7,PAL,SqueezeNet
27,0.24013333124185882,0.39915661123818325,163,15.7,PAL,SqueezeNet
28,0.5060067942867642,0.5615755211816919,168,15.7,PAL,SqueezeNet
29,0.29117476786648233,0.2940734890960484,56,15.7,PAL,SqueezeNet
30,0.27846811590397436,0.5261641214400432,180,15.7,PAL,SqueezeNet
31,0.4780751137581305,0.19553380159718478,58,15.7,PAL,SqueezeNet
32,0.4085894780334002,0.5819248707114436,23,15.7,PAL,SqueezeNet
33,0.40494706421418036,0.20721799953951686,0,15.7,PAL,SqueezeNet
34,0.38421149666705756,0.22077024996050587,46,15.7,PAL,SqueezeNet
35,0.213336183833993,0.44750112707338857,17,15.7,PAL,SqueezeNet
36,0.2074454575156732,0.4002956636468566,67,15.7,PAL,SqueezeNet
37,0.2409703709514729,0.351456302758238,137,15.7,PAL,SqueezeNet
38,0.26087576979320914,0.3651237541989228,68,15.7,PAL,SqueezeNet
39,0.16795290646726893,0.2398113212611293,118,15.7,PAL,SqueezeNet
40,0.16622035167160037,0.39586673029291597,191,15.7,PAL,SqueezeNet
41,0.4633168863079229,0.39888720774034164,113,15.7,PAL,SqueezeNet
42,0.1683418945816483,0.1631215788088024,19,15.7,PAL,SqueezeNet
43,0.2612223138688494,0.33743768367692584,173,15.7,PAL,SqueezeNet
44,0.15675813089306687,0.4759972121892863,172,15.7,PAL,SqueezeNet
45,0.19805743051300104,0.21742874680862181,141,15.7,PAL,SqueezeNet
