,Error,Energy,Iteration,Cost,Method,Architecture,Volume,SD
0,0.2899829990486028,0.1275197553427164,0,15.7,FlexiBO+GP-Log,SqueezeNet,0.38052419329909426,0.00989155858857863
1,0.2274672430299837,0.5339684875680578,1,0.0,FlexiBO+GP-Log,SqueezeNet,0.35138988097091084,0.00957852730895023
2,0.3777170181347194,0.3557401983007379,2,15.7,FlexiBO+GP-Log,SqueezeNet,0.35138988097091084,0.009346591455000717
3,0.219165936221635,0.17809382824716394,3,0.0,FlexiBO+GP-Log,SqueezeNet,0.322319212296201,0.004383855834916196
4,0.5352901575234885,0.19849509394658887,4,0.0,FlexiBO+GP-Log,SqueezeNet,0.322319212296201,0.007695048305438433
5,0.4674910094996129,0.1301162094149986,5,15.7,FlexiBO+GP-Log,SqueezeNet,0.322319212296201,0.0016780960062118145
6,0.3236590802992472,0.4849020772555287,6,15.7,FlexiBO+GP-Log,SqueezeNet,0.322319212296201,0.0020496547605269376
7,0.5054437196024917,0.5351882555715378,7,0.0,FlexiBO+GP-Log,SqueezeNet,0.322319212296201,0.0003070465552171453
8,0.349810840660285,0.104190630511684,8,0.0,FlexiBO+GP-Log,SqueezeNet,0.3071508682341807,0.0014361905819281584
9,0.21985652050515267,0.4703388111246586,9,15.7,FlexiBO+GP-Log,SqueezeNet,0.3071508682341808,0.0021118898562807486
10,0.2996005306001053,0.12311354393087205,10,15.7,FlexiBO+GP-Log,SqueezeNet,0.3069296309930013,0.006070887236215578
11,0.15957693824904465,0.576213754810069,11,0.0,FlexiBO+GP-Log,SqueezeNet,0.28167663328756687,0.003316277239092191
12,0.20201682137511492,0.4571309850280365,12,15.7,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.005935366050524703
13,0.4699556651161121,0.5635678192756229,13,15.7,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.0015513969384579774
14,0.4102804143165472,0.38216450334401664,14,0.0,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.007604664268611746
15,0.3906344485455972,0.5463600946943167,15,0.0,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.009633050888675295
16,0.5505473046840731,0.3816117960543843,16,15.7,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.009880965625796774
17,0.3572856459477237,0.3672137713660215,17,0.0,FlexiBO+GP-Log,SqueezeNet,0.27963446919233315,0.0040648786068765794
18,0.174301598918481,0.199529791852126,18,0.0,FlexiBO+GP-Log,SqueezeNet,0.26477695691673286,0.0004041424022334006
19,0.3676578569832445,0.40114715152182856,19,15.7,FlexiBO+GP-Log,SqueezeNet,0.26477695691673286,0.0032187187873711776
20,0.3541082075517588,0.36303651606606496,20,15.7,FlexiBO+GP-Log,SqueezeNet,0.26477695691673286,0.00966549602973098
21,0.5004822074761244,0.2522947861873132,21,15.7,FlexiBO+GP-Log,SqueezeNet,0.26477695691673286,0.006922313984870516
22,0.21077713026428604,0.5240367127417269,22,0.0,FlexiBO+GP-Log,SqueezeNet,0.264776956916733,0.003038398003695649
23,0.152240783154181,0.20709819925249495,23,0.0,FlexiBO+GP-Log,SqueezeNet,0.25352500502805686,0.004867417732901081
24,0.3053829443308839,0.5934388120084052,24,0.0,FlexiBO+GP-Log,SqueezeNet,0.25352500502805686,0.009734669305035748
25,0.3414585587526294,0.2090581634524633,25,0.0,FlexiBO+GP-Log,SqueezeNet,0.25352500502805686,0.007694258312277115
26,0.25718876535677204,0.14050875034591298,26,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.00888812138226727
27,0.1921052991266546,0.21496079749066455,27,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0011651946800859071
28,0.21260385209264684,0.3146210382364293,28,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0020335490072592444
29,0.36080521884261374,0.2821598495643561,29,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.003908029940153545
30,0.539798334293913,0.27322495305032457,30,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0026179544297734547
31,0.5466003924581493,0.4805001426596202,31,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.00726959635470497
32,0.4543576297432708,0.3459056969058547,32,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.005324294779493222
33,0.24829283210437875,0.4048734003204808,33,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0039311163517496885
34,0.3691316978724424,0.3152424926066908,34,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.001848390605968231
35,0.21675424977702967,0.4323092062748184,35,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0011859229700942908
36,0.4812501338058871,0.1184765949384822,36,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.008480931877570694
37,0.41102383813036303,0.4900234133932888,37,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.004502391931334701
38,0.3250165632657222,0.1838951069812998,38,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.003260339282217466
39,0.2516645852684761,0.543145970227964,39,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.003739417418286215
40,0.3127730226654845,0.20261667287273225,40,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0033170226376851453
41,0.3068114785589777,0.5992774823956845,41,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0033810376536366382
42,0.3346694167065081,0.4490576794203025,42,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.008201544535275319
43,0.42854823812897297,0.4106147359290446,43,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.00820585052467718
44,0.152240783154181,0.30410202,44,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.006726854516042213
45,0.26281218952187346,0.20631695893294824,45,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0072877686144760066
46,0.517814009265817,0.1763800152989502,46,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.008903195879741678
47,0.3720444433367688,0.4784793120003072,47,15.7,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0008314244151488038
48,0.4170813366161709,0.176275699168972,48,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.004508645038909659
49,0.25469317790967555,0.5343320004484235,49,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.004335521277525908
50,0.4138786628519723,0.21206415804375844,50,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.00962530551499172
51,0.20604258562527308,0.5388560105516806,51,0.0,FlexiBO+GP-Log,SqueezeNet,0.2522924312000375,0.0042226834693563494
52,0.2254152778758448,0.5244980882104269,52,15.7,FlexiBO+GP-Log,SqueezeNet,0.25229243120003764,0.007834282337174358
53,0.5006379305281993,0.4968701431089958,53,0.0,FlexiBO+GP-Log,SqueezeNet,0.25229243120003764,0.00305358153795289
54,0.3463874254262298,0.24400877321591724,54,0.0,FlexiBO+GP-Log,SqueezeNet,0.25229243120003764,0.0023223775278369664
