,Energy,Error,Method,Architecture
207,0.51426346,0.152240783154181,Log-FlexiBO+GP,SqueezeNet
208,0.4132141,0.152240783154181,Log-FlexiBO+GP,SqueezeNet
209,0.30410202,0.152240783154181,Log-FlexiBO+GP,SqueezeNet
210,0.207098199252495,0.152240783154181,Log-FlexiBO+GP,SqueezeNet
211,0.199529791852126,0.174301598918481,Log-FlexiBO+GP,SqueezeNet
212,0.189394127315949,0.197033905095016,Log-FlexiBO+GP,SqueezeNet
213,0.178093828247164,0.219165936221635,Log-FlexiBO+GP,SqueezeNet
214,0.140508750345913,0.257188765356772,Log-FlexiBO+GP,SqueezeNet
215,0.116641194141319,0.283554180898153,Log-FlexiBO+GP,SqueezeNet
216,0.104190630511684,0.349810840660285,Log-FlexiBO+GP,SqueezeNet
217,0.295333066605319,0.168047872008643,Log-FlexiBO+RF,SqueezeNet
218,0.273952979185213,0.171301598918481,Log-FlexiBO+RF,SqueezeNet
219,0.229529791852126,0.184103207089989,Log-FlexiBO+RF,SqueezeNet
220,0.184276283545215,0.190465209526324,Log-FlexiBO+RF,SqueezeNet
221,0.171775708412935,0.220216892854503,Log-FlexiBO+RF,SqueezeNet
222,0.145457588578706,0.244429080726679,Log-FlexiBO+RF,SqueezeNet
223,0.124190630511684,0.26023534967707,Log-FlexiBO+RF,SqueezeNet
224,0.112923672444662,0.321466420378161,Log-FlexiBO+RF,SqueezeNet
225,0.109522190103724,0.372813180925522,Log-FlexiBO+RF,SqueezeNet
226,0.361816551140096,0.130335563178459,PAL,SqueezeNet
227,0.292000493446826,0.138141392622194,PAL,SqueezeNet
228,0.181541754603559,0.148048927437159,PAL,SqueezeNet
229,0.172706389136168,0.150353345142988,PAL,SqueezeNet
230,0.172673048134404,0.151232809483517,PAL,SqueezeNet
231,0.143466330589369,0.152097075201085,PAL,SqueezeNet
232,0.143466330589369,0.173236065919705,PAL,SqueezeNet
233,0.118093828247164,0.191659362216347,PAL,SqueezeNet
234,0.107874811206577,0.24995022409009,PAL,SqueezeNet
235,0.106691205643965,0.27112364492566,PAL,SqueezeNet
236,0.102923672444662,0.296950033949071,PAL,SqueezeNet
237,0.483521209878272,0.130370010571736,PESMO,SqueezeNet
238,0.370275163287557,0.153655928840829,PESMO,SqueezeNet
239,0.364213769166909,0.17708674515688,PESMO,SqueezeNet
240,0.213309061084049,0.191598658477933,PESMO,SqueezeNet
241,0.2056673034798,0.234686184846073,PESMO,SqueezeNet
242,0.20111625673905,0.261084259411651,PESMO,SqueezeNet
243,0.192764335797233,0.28708674515688,PESMO,SqueezeNet
244,0.157716274743191,0.326899885620367,PESMO,SqueezeNet
245,0.123458395430949,0.338613122787433,PESMO,SqueezeNet
246,0.288666393270452,0.165379405544782,SMSEGO,SqueezeNet
247,0.273492903367774,0.251473605823255,SMSEGO,SqueezeNet
248,0.225441851625874,0.251473605823255,SMSEGO,SqueezeNet
249,0.250637646658731,0.251473605823255,SMSEGO,SqueezeNet
250,0.182121888034248,0.251473605823255,SMSEGO,SqueezeNet
