,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,SqueezeNet,15.7,0.3847379110501839,0.1861033396331897,0,FlexiBO+GP-Log,0.0014623900836468918,15.7,0.0,0.4992402405534373
1,SqueezeNet,15.7,0.3964184466387367,0.2238481623641067,1,FlexiBO+GP-Log,0.001509988934707779,31.4,1.0,0.4992402405534373
2,SqueezeNet,0.0,0.1203194960307012,0.473423820745841,2,FlexiBO+GP-Log,0.00024087987528760736,31.4,2.0,0.3600038018480376
3,SqueezeNet,0.0,0.20413266963894955,0.2424840286814792,3,FlexiBO+GP-Log,0.0038795421896770147,31.4,3.0,0.3182948649507933
4,SqueezeNet,0.0,0.3437906217732745,0.39311704397875336,4,FlexiBO+GP-Log,0.0068479623048181455,31.4,4.0,0.3182948649507933
5,SqueezeNet,15.7,0.2889386338340028,0.3088960406170068,5,FlexiBO+GP-Log,0.0005990149524137201,47.099999999999994,5.0,0.3182948649507933
6,SqueezeNet,0.0,0.2456306860690618,0.26972824690267105,6,FlexiBO+GP-Log,0.005872701891768968,47.099999999999994,6.0,0.3182948649507933
7,SqueezeNet,15.7,0.5656725408889782,0.4344478044556495,7,FlexiBO+GP-Log,0.00611742565356474,62.8,7.0,0.3182948649507933
8,SqueezeNet,0.0,0.3843808032040011,0.2784895567359297,8,FlexiBO+GP-Log,0.007729638069556455,62.8,8.0,0.3182948649507933
9,SqueezeNet,0.0,0.28664441565169185,0.30584862473402585,9,FlexiBO+GP-Log,0.0016909716831683321,62.8,9.0,0.3182948649507933
10,SqueezeNet,0.0,0.34150575369227154,0.3466849360109344,10,FlexiBO+GP-Log,0.005103680923558568,62.8,10.0,0.3182948649507933
11,SqueezeNet,0.0,0.2272153038371205,0.20562027037683256,11,FlexiBO+GP-Log,0.0096798115102828,62.8,11.0,0.31248798963097313
12,SqueezeNet,0.0,0.25097120054075833,0.4997035254579494,12,FlexiBO+GP-Log,0.005594055271253689,62.8,12.0,0.31248798963097313
13,SqueezeNet,0.0,0.3740125252804911,0.2983627086492596,13,FlexiBO+GP-Log,0.0009460253718239275,62.8,13.0,0.31248798963097313
14,SqueezeNet,15.7,0.19372423101743727,0.3906597940986009,14,FlexiBO+GP-Log,0.006498818119630001,78.5,14.0,0.3116265453395461
15,SqueezeNet,0.0,0.1949944908250464,0.3863138942315867,15,FlexiBO+GP-Log,0.009944647645733379,78.5,15.0,0.3115868317294541
16,SqueezeNet,0.0,0.4245217348870668,0.3703698786943712,16,FlexiBO+GP-Log,0.006543973582273091,78.5,16.0,0.3115868317294541
17,SqueezeNet,0.0,0.4368766632606418,0.4901616323863731,17,FlexiBO+GP-Log,0.0024804392696319557,78.5,17.0,0.3115868317294541
18,SqueezeNet,15.7,0.2263624092828929,0.21148467117977005,18,FlexiBO+GP-Log,0.006492790951097515,94.2,18.0,0.3115603925462562
19,SqueezeNet,0.0,0.2776972047475729,0.4724834532664621,19,FlexiBO+GP-Log,0.005708842862288495,94.2,19.0,0.3115603925462562
20,SqueezeNet,0.0,0.4823555879123942,0.3775912012974384,20,FlexiBO+GP-Log,0.0006423374070788691,94.2,20.0,0.3115603925462562
21,SqueezeNet,0.0,0.34012746575809377,0.3637331143078515,21,FlexiBO+GP-Log,0.009121440962872231,94.2,21.0,0.3115603925462562
22,SqueezeNet,0.0,0.17801300537838805,0.3870108250794713,22,FlexiBO+GP-Log,0.00048055038471293116,94.2,22.0,0.3101981033345116
23,SqueezeNet,0.0,0.5544990902583142,0.3848906419419174,23,FlexiBO+GP-Log,0.0061646292006477385,94.2,23.0,0.3101981033345116
24,SqueezeNet,15.7,0.5407362770763346,0.22880922206884485,24,FlexiBO+GP-Log,0.003309166027000509,109.9,24.0,0.3101981033345116
25,SqueezeNet,0.0,0.5310158029632723,0.5403272374950525,25,FlexiBO+GP-Log,0.008970666344662322,109.9,25.0,0.3101981033345116
26,SqueezeNet,15.7,0.2525383632064615,0.2912616489211421,26,FlexiBO+GP-Log,0.009324166281542036,125.60000000000001,26.0,0.3101981033345116
