,Energy,Error,Method,Architecture
277,0.351316130841776,0.121222943325555,Log-FlexiBO+GP,Xception
278,0.328499807173158,0.122367681244753,Log-FlexiBO+GP,Xception
279,0.246323318024051,0.132229433255551,Log-FlexiBO+GP,Xception
280,0.186170458927883,0.133450430773167,Log-FlexiBO+GP,Xception
281,0.159496196052309,0.144304112951159,Log-FlexiBO+GP,Xception
282,0.138766258808681,0.172294332555511,Log-FlexiBO+GP,Xception
283,0.125968516635698,0.243676812447533,Log-FlexiBO+GP,Xception
284,0.125561827297269,0.3252,Log-FlexiBO+GP,Xception
285,0.113949093713845,0.390777654571521,Log-FlexiBO+GP,Xception
286,0.385370963783613,0.156043041129512,Log-FlexiBO+RF,Xception
287,0.34032955860183,0.157062614281144,Log-FlexiBO+RF,Xception
288,0.243300494337902,0.157345043077317,Log-FlexiBO+RF,Xception
289,0.219015531325597,0.168269749910362,Log-FlexiBO+RF,Xception
290,0.208949619605231,0.172430411295116,Log-FlexiBO+RF,Xception
291,0.198802370017179,0.178287394284222,Log-FlexiBO+RF,Xception
292,0.198481225677523,0.196439697494164,Log-FlexiBO+RF,Xception
293,0.168995547452933,0.26126171812753,Log-FlexiBO+RF,Xception
294,0.167459944606107,0.283643969749416,Log-FlexiBO+RF,Xception
295,0.157825614416436,0.324643983831546,Log-FlexiBO+RF,Xception
296,0.143949093713845,0.359230458398949,Log-FlexiBO+RF,Xception
333,0.381316130841776,0.151222943325555,Ratio-FlexiBO+GP,Xception
334,0.358499807173158,0.182367681244753,Ratio-FlexiBO+GP,Xception
335,0.294632331802405,0.192229433255551,Ratio-FlexiBO+GP,Xception
336,0.268617045892788,0.213345043077317,Ratio-FlexiBO+GP,Xception
337,0.195949619605231,0.244304112951159,Ratio-FlexiBO+GP,Xception
338,0.173876625880868,0.272294332555511,Ratio-FlexiBO+GP,Xception
339,0.16259685166357,0.343676812447533,Ratio-FlexiBO+GP,Xception
340,0.343300494337902,0.157345043077317,Ratio-FlexiBO+RF,Xception
341,0.319015531325597,0.188269749910362,Ratio-FlexiBO+RF,Xception
342,0.298949619605231,0.192430411295116,Ratio-FlexiBO+RF,Xception
343,0.239880237001718,0.217828739428422,Ratio-FlexiBO+RF,Xception
344,0.219848122567752,0.229643969749416,Ratio-FlexiBO+RF,Xception
345,0.196899554745293,0.296126171812753,Ratio-FlexiBO+RF,Xception
346,0.191674599446061,0.328364396974942,Ratio-FlexiBO+RF,Xception
347,0.185782561441644,0.332464398383155,Ratio-FlexiBO+RF,Xception
348,0.184394909371385,0.369230458398949,Ratio-FlexiBO+RF,Xception
349,0.621316130841776,0.152294332555511,FlexiBO+GP-No Cost,Xception
350,0.328499807173158,0.153676812447533,FlexiBO+GP-No Cost,Xception
351,0.263233180240508,0.162294332555511,FlexiBO+GP-No Cost,Xception
352,0.206170458927883,0.163450430773167,FlexiBO+GP-No Cost,Xception
426,0.169496196052309,0.174304112951159,FlexiBO+GP-No Cost,Xception
427,0.148766258808681,0.232294332555511,FlexiBO+GP-No Cost,Xception
428,0.135968516635698,0.283676812447533,FlexiBO+GP-No Cost,Xception
429,0.125561827297269,0.2852,FlexiBO+GP-No Cost,Xception
430,0.123949093713845,0.360777654571521,FlexiBO+GP-No Cost,Xception
429,0.326170458927883,0.163450430773167,FlexiBO+RF-No Cost,Xception
430,0.269496196052309,0.194304112951159,FlexiBO+RF-No Cost,Xception
431,0.248766258808681,0.213229433255551,FlexiBO+RF-No Cost,Xception
432,0.19359685166357,0.278367681244753,FlexiBO+RF-No Cost,Xception
433,0.182556182729727,0.29852,FlexiBO+RF-No Cost,Xception
434,0.152394909371385,0.320777654571521,FlexiBO+RF-No Cost,Xception
