,Energy,Error,Architecture,Method,cost
0,0.330014485172817,0.21152,LeNet,FlexiBO+GP,0
1,0.214561622339355,0.215895110021133,LeNet,FlexiBO+GP,0
2,0.194022049651954,0.231152,LeNet,FlexiBO+GP,0
3,0.187042208184122,0.249568615335047,LeNet,FlexiBO+GP,0
4,0.172455236792339,0.28986265995637,LeNet,FlexiBO+GP,0
5,0.16966482919567,0.327544166161952,LeNet,FlexiBO+GP,0
6,0.316898965919607,0.252235758605105,LeNet,FlexiBO+RF,0
7,0.285510803524725,0.265455740077182,LeNet,FlexiBO+RF,0
8,0.274727397094918,0.326409619561801,LeNet,FlexiBO+RF,0
9,0.212455236792339,0.333292573333331,LeNet,FlexiBO+RF,0
10,0.182879732829035,0.340012571645999,LeNet,FlexiBO+RF,0
11,0.280014485172817,0.201152,LeNet,Log-FlexiBO+GP,0
12,0.212456162233935,0.201589511002113,LeNet,Log-FlexiBO+GP,0
13,0.204022049651954,0.2131152,LeNet,Log-FlexiBO+GP,0
14,0.187042208184122,0.224956861533505,LeNet,Log-FlexiBO+GP,0
15,0.182455236792339,0.238986265995637,LeNet,Log-FlexiBO+GP,0
16,0.15966482919567,0.337544166161952,LeNet,Log-FlexiBO+GP,0
17,0.286898965919607,0.232235758605105,LeNet,Log-FlexiBO+RF,0
18,0.255510803524725,0.246545574007718,LeNet,Log-FlexiBO+RF,0
19,0.244727397094918,0.256409619561801,LeNet,Log-FlexiBO+RF,0
20,0.202455236792339,0.273329257333333,LeNet,Log-FlexiBO+RF,0
21,0.172879732829035,0.330012571645999,LeNet,Log-FlexiBO+RF,0
22,0.455136200861063,0.152227398064453,LeNet,Max-Uncertainty + GP,0
23,0.438922866454754,0.160438468587716,LeNet,Max-Uncertainty + GP,0
24,0.389580332354243,0.170893517990965,LeNet,Max-Uncertainty + GP,0
25,0.345759063292158,0.172714539774456,LeNet,Max-Uncertainty + GP,0
26,0.325116484931397,0.174013138361886,LeNet,Max-Uncertainty + GP,0
27,0.307749165090733,0.175075373490985,LeNet,Max-Uncertainty + GP,0
28,0.301194624391422,0.176962824467598,LeNet,Max-Uncertainty + GP,0
29,0.290471572848348,0.180046220049782,LeNet,Max-Uncertainty + GP,0
30,0.214022049651954,0.18152,LeNet,Max-Uncertainty + GP,0
31,0.207765259727196,0.189422293545937,LeNet,Max-Uncertainty + GP,0
32,0.197042208184122,0.190732298690966,LeNet,Max-Uncertainty + GP,0
33,0.190966482919567,0.227544166161952,LeNet,Max-Uncertainty + GP,0
34,0.189377137568905,0.244247604518971,LeNet,Max-Uncertainty + GP,0
35,0.336898965919607,0.262235758605105,LeNet,Max-Uncertainty + RF,0
36,0.295510803524725,0.295455740077182,LeNet,Max-Uncertainty + RF,0
37,0.254727397094918,0.326409619561801,LeNet,Max-Uncertainty + RF,0
38,0.222455236792339,0.333292573333331,LeNet,Max-Uncertainty + RF,0
39,0.19879732829035,0.38012571645999,LeNet,Max-Uncertainty + RF,0
40,0.455136200861063,0.152227398064453,LeNet,PAL,0
41,0.38922866454754,0.160438468587716,LeNet,PAL,0
42,0.309580332354243,0.170893517990965,LeNet,PAL,0
43,0.295759063292158,0.172714539774456,LeNet,PAL,0
44,0.285116484931397,0.174013138361886,LeNet,PAL,0
