,Architecture,Cost,Energy,Error,Iteration,Method,SD,Total_Cost,Unnamed: 0,Volume
0,Xception,19.2,0.24632331802405105,0.132229433255551,0,FlexiBO+GP-Log,0.00509962793752053,19.2,0.0,0.3459815585396549
1,Xception,0.0,0.13277397907953994,0.5097542231791945,1,FlexiBO+GP-Log,0.007166182910057905,19.2,1.0,0.2903144746613141
2,Xception,0.0,0.4744143747410137,0.2568905468532308,2,FlexiBO+GP-Log,0.0009935903770173892,19.2,2.0,0.2903144746613142
3,Xception,0.0,0.351316130841776,0.12122294332555499,3,FlexiBO+GP-Log,0.006247389140543913,19.2,3.0,0.28317474218767325
4,Xception,0.0,0.4849427877971512,0.5232091170042911,4,FlexiBO+GP-Log,0.0060089784759314105,19.2,4.0,0.28317474218767325
5,Xception,19.2,0.4689688521530229,0.4089507969517167,5,FlexiBO+GP-Log,0.005262918889479589,38.4,5.0,0.28317474218767325
6,Xception,0.0,0.3910380373748646,0.5321377058369555,6,FlexiBO+GP-Log,0.0026945138650534663,38.4,6.0,0.28317474218767325
7,Xception,0.0,0.5458151682135691,0.42835933428759615,7,FlexiBO+GP-Log,0.00694343648842116,38.4,7.0,0.28317474218767325
8,Xception,19.2,0.3546378240038517,0.2011393487273017,8,FlexiBO+GP-Log,0.00929026226669585,57.599999999999994,8.0,0.28317474218767325
9,Xception,0.0,0.2496064981446973,0.25793630130775863,9,FlexiBO+GP-Log,0.0011947564856705994,57.599999999999994,9.0,0.28317474218767325
10,Xception,0.0,0.18468188622858225,0.3735228313922712,10,FlexiBO+GP-Log,0.005679096003212424,57.599999999999994,10.0,0.2747772441424379
11,Xception,0.0,0.5381046765344246,0.12506833758808206,11,FlexiBO+GP-Log,0.0019134874399981629,57.599999999999994,11.0,0.2747772441424379
12,Xception,0.0,0.2487702793693237,0.3394000407180825,12,FlexiBO+GP-Log,0.0025887525134474,57.599999999999994,12.0,0.2747772441424379
13,Xception,0.0,0.5405185725052006,0.5040503160599112,13,FlexiBO+GP-Log,0.005069512126627852,57.599999999999994,13.0,0.2747772441424379
14,Xception,0.0,0.3301436398438192,0.2526774847044955,14,FlexiBO+GP-Log,0.0016451542766824545,57.599999999999994,14.0,0.2747772441424379
15,Xception,19.2,0.4135174590867575,0.4916579678843656,15,FlexiBO+GP-Log,0.007110905045535049,76.8,15.0,0.27477724414243776
16,Xception,19.2,0.23890264582524226,0.3649956445839924,16,FlexiBO+GP-Log,0.0018920062715780215,96.0,16.0,0.27471396668435555
17,Xception,0.0,0.40987731099979663,0.24075342965484275,17,FlexiBO+GP-Log,0.00015286161857983927,96.0,17.0,0.27471396668435555
18,Xception,0.0,0.2805697420017342,0.4082613732996455,18,FlexiBO+GP-Log,0.0040370424536580705,96.0,18.0,0.27471396668435555
19,Xception,0.0,0.4326202222306392,0.15748684310101116,19,FlexiBO+GP-Log,0.0007014146578599379,96.0,19.0,0.27471396668435555
20,Xception,0.0,0.4813925462301442,0.1517069729410405,20,FlexiBO+GP-Log,0.0010848578694377764,96.0,20.0,0.27471396668435555
21,Xception,0.0,0.39695325719416796,0.5275235745878054,21,FlexiBO+GP-Log,0.0015138346252029278,96.0,21.0,0.27471396668435555
22,Xception,19.2,0.138766258808681,0.172294332555511,22,FlexiBO+GP-Log,0.008484977487027597,115.2,22.0,0.2468785487490493
23,Xception,19.2,0.12389133754102022,0.453565689922076,23,FlexiBO+GP-Log,0.005239968639410154,134.4,23.0,0.24168807123943206
24,Xception,0.0,0.4399005113984529,0.23707693195238266,24,FlexiBO+GP-Log,0.009444106046643455,134.4,24.0,0.24168807123943206
25,Xception,0.0,0.5172257923837877,0.5124931830255584,25,FlexiBO+GP-Log,0.0012745428645247715,134.4,25.0,0.24168807123943206
26,Xception,0.0,0.1979188621035951,0.1463642372648079,26,FlexiBO+GP-Log,0.0025199141067786235,134.4,26.0,0.24043293908492006
27,Xception,0.0,0.18581386794519295,0.3194869322599316,27,FlexiBO+GP-Log,0.006039674682871298,134.4,27.0,0.24043293908492006
28,Xception,19.2,0.20146457721524896,0.5308220132936804,28,FlexiBO+GP-Log,0.006971592875769431,153.6,28.0,0.24043293908492006
29,Xception,0.0,0.4115895329163203,0.3724266827070753,29,FlexiBO+GP-Log,0.005074935930305152,153.6,29.0,0.24043293908492006
30,Xception,0.0,0.4882806437386023,0.5216869812375695,30,FlexiBO+GP-Log,0.00756253803775355,153.6,30.0,0.24043293908492006
31,Xception,0.0,0.3751793674907575,0.4182104148948823,31,FlexiBO+GP-Log,0.008735297199348398,153.6,31.0,0.24043293908492006
32,Xception,0.0,0.3240762718659513,0.4900987926191484,32,FlexiBO+GP-Log,0.00016610914078115546,153.6,32.0,0.24043293908492006
33,Xception,0.0,0.125968516635698,0.243676812447533,33,FlexiBO+GP-Log,0.005950126288363722,153.6,33.0,0.2377468353460239
34,Xception,19.2,0.3547942079467455,0.30312190445867704,34,FlexiBO+GP-Log,0.005190396420648351,172.79999999999998,34.0,0.2377468353460239
35,Xception,0.0,0.3548177690233038,0.3354533094876625,35,FlexiBO+GP-Log,0.002408208536432316,172.79999999999998,35.0,0.2377468353460239
36,Xception,0.0,0.5928193697283217,0.21961010971256312,36,FlexiBO+GP-Log,0.009760315155761524,172.79999999999998,36.0,0.2377468353460239
37,Xception,0.0,0.4097763799513764,0.4543958935801224,37,FlexiBO+GP-Log,0.003087737761573089,172.79999999999998,37.0,0.2377468353460239
38,Xception,0.0,0.18470231626937,0.3042062504008159,38,FlexiBO+GP-Log,0.008443051634105216,172.79999999999998,38.0,0.2377468353460239
39,Xception,19.2,0.276511608264973,0.2099209795450786,39,FlexiBO+GP-Log,0.008197467802900453,191.99999999999997,39.0,0.2377468353460239
40,Xception,0.0,0.17749361706209,0.2512786602917217,40,FlexiBO+GP-Log,0.0040422349731226,191.99999999999997,40.0,0.2377468353460239
41,Xception,19.2,0.13085386796982665,0.4485283226685174,41,FlexiBO+GP-Log,0.0041729723496650006,211.19999999999996,41.0,0.2377468353460239
42,Xception,19.2,0.3611685990846053,0.2985242139919818,42,FlexiBO+GP-Log,0.002789164277897977,230.39999999999995,42.0,0.2377468353460239
43,Xception,19.2,0.27568926725933673,0.21397696703850336,43,FlexiBO+GP-Log,0.004478402035970392,249.59999999999994,43.0,0.2377468353460239
44,Xception,0.0,0.4167580909663291,0.4300747016252903,44,FlexiBO+GP-Log,0.007556277440876883,249.59999999999994,44.0,0.2377468353460239
45,Xception,19.2,0.3604695025086324,0.4738106741028501,45,FlexiBO+GP-Log,0.009785299701587213,268.79999999999995,45.0,0.2377468353460239
46,Xception,19.2,0.13329239176757315,0.4567196898537106,46,FlexiBO+GP-Log,0.0008248909148350947,287.99999999999994,46.0,0.2377468353460239
47,Xception,0.0,0.29827084361507555,0.27131489144286136,47,FlexiBO+GP-Log,0.008246926538907365,287.99999999999994,47.0,0.2377468353460239
48,Xception,0.0,0.18676635757829485,0.3207233633357731,48,FlexiBO+GP-Log,0.005846356433672253,287.99999999999994,48.0,0.2377468353460239
49,Xception,0.0,0.4654502513891154,0.1917473334388925,49,FlexiBO+GP-Log,0.004585074807200229,287.99999999999994,49.0,0.2377468353460239
50,Xception,0.0,0.4577922652626591,0.4588090669763621,50,FlexiBO+GP-Log,0.009488580909107484,287.99999999999994,50.0,0.2377468353460239
51,Xception,0.0,0.32035210443019485,0.4549838400932645,51,FlexiBO+GP-Log,0.005312157540385132,287.99999999999994,51.0,0.2377468353460239
52,Xception,19.2,0.2623200456218784,0.33405175516382624,52,FlexiBO+GP-Log,0.0071046731992523825,307.19999999999993,52.0,0.2377468353460239
53,Xception,0.0,0.3654787134047209,0.5524576176702806,53,FlexiBO+GP-Log,0.007314693733045149,307.19999999999993,53.0,0.2377468353460239
54,Xception,19.2,0.20105596362254866,0.2652512224548254,54,FlexiBO+GP-Log,0.0021677171585742505,326.3999999999999,54.0,0.2377468353460239
55,Xception,0.0,0.4389255692241382,0.33806950518240625,55,FlexiBO+GP-Log,0.007220477830598125,326.3999999999999,55.0,0.2377468353460238
56,Xception,0.0,0.3276703698787385,0.41147388322895795,56,FlexiBO+GP-Log,0.002653321484178907,326.3999999999999,56.0,0.2377468353460238
57,Xception,0.0,0.1331277165641903,0.3687453396242649,57,FlexiBO+GP-Log,0.004261803355720227,326.3999999999999,57.0,0.2377468353460238
58,Xception,0.0,0.3414661269167664,0.5356602588883609,58,FlexiBO+GP-Log,0.0003227982356965009,326.3999999999999,58.0,0.2377468353460239
59,Xception,0.0,0.14478100027619298,0.5010383514325545,59,FlexiBO+GP-Log,0.006432289992919179,326.3999999999999,59.0,0.2377468353460239
60,Xception,0.0,0.40454478780783604,0.5541821992641357,60,FlexiBO+GP-Log,0.0011948630598493314,326.3999999999999,60.0,0.2377468353460239
61,Xception,0.0,0.13733184280068042,0.42975953620041657,61,FlexiBO+GP-Log,0.008327170576759708,326.3999999999999,61.0,0.2377468353460239
62,Xception,19.2,0.2795577737663704,0.5231555758720373,62,FlexiBO+GP-Log,0.007069300019210863,345.5999999999999,62.0,0.2377468353460239
63,Xception,0.0,0.2059252369407616,0.2554010156156227,63,FlexiBO+GP-Log,0.002246640760579205,345.5999999999999,63.0,0.2377468353460239
64,Xception,19.2,0.326160038521607,0.13532558491552638,64,FlexiBO+GP-Log,6.0714228371154807e-05,364.7999999999999,64.0,0.2377468353460239
65,Xception,0.0,0.3715192323031581,0.5399138668943584,65,FlexiBO+GP-Log,0.0019291250496083511,364.7999999999999,65.0,0.2377468353460239
66,Xception,0.0,0.13831763014359758,0.3497611765462449,66,FlexiBO+GP-Log,0.002349271376036664,364.7999999999999,66.0,0.2377468353460239
67,Xception,19.2,0.4625261006285086,0.4940428251042303,67,FlexiBO+GP-Log,0.005678778512019932,383.9999999999999,67.0,0.2377468353460239
68,Xception,0.0,0.4957882294943098,0.224134137522296,68,FlexiBO+GP-Log,0.002459283491663345,383.9999999999999,68.0,0.2377468353460239
69,Xception,19.2,0.2481154691089659,0.44830146256985176,69,FlexiBO+GP-Log,0.00305564653398675,403.1999999999999,69.0,0.2377468353460239
70,Xception,0.0,0.5054754936549053,0.39170459488911386,70,FlexiBO+GP-Log,3.1088765959647045e-05,403.1999999999999,70.0,0.2377468353460239
71,Xception,19.2,0.4257658384113958,0.4390878621990464,71,FlexiBO+GP-Log,0.00867691871728119,422.39999999999986,71.0,0.2377468353460239
72,Xception,19.2,0.3628213616879061,0.2423476711551069,72,FlexiBO+GP-Log,0.004754681421468238,441.59999999999985,72.0,0.2377468353460239
73,Xception,19.2,0.5688559619062317,0.3012527224729255,73,FlexiBO+GP-Log,0.007781160565368166,460.79999999999984,73.0,0.2377468353460239
